ID,ItemID,ItemName,ItemNum,Reason,Type,LocalizationArea
序号,道具id,道具名,数量（目前只支持1）,活动类型（详见字段说明）,公告类型（1.世界 2 公会  支持1|2多个类型配置）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,2090003,老旧卡册,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212|256,1|2,
2,2090004,魔力卡册,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
3,2090028,派对一等奖礼包,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
4,2090029,派对二等奖礼包,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
5,2090030,派对三等奖礼包,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
6,3020008,魔力之石,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212|24|256,1|2,
7,3020009,混沌金属,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212|24|256,1|2,
8,3020010,初级解封卷轴,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212|256,1|2,
9,3020011,中级解封卷轴,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
10,3020012,高级解封卷轴,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
11,3022007,90级装备水晶,1,10,1|2,
12,3022008,100级装备水晶,1,10,1|2,
13,3022016,100级武器改造石,1,10,1|2,
14,3022024,100级防具改造石,1,10,1|2,
15,3023003,超级金刚石,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212|24|256,1|2,
16,4010010,海葵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
17,4010011,海盗之王卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
18,4010017,哥布灵首领卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
19,4010018,巴风特卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
20,4010025,弓箭哥布灵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
21,4010026,喷射哥布灵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
22,4010027,直升机哥布灵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
23,4010028,沙漠之狼卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
24,4010029,邪骸弓箭手卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
25,4010030,邪骸士兵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
26,4010031,黑蛇卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
27,4010032,木乃伊卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
28,4010037,皮里恩卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
29,4010040,米洛斯卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
30,4010046,邪骸矿工卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
31,4010052,赤苍蝇卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
32,4010053,德古拉伯爵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
33,4010054,暗黑祭司卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
34,4010056,犬妖弓箭手卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
35,4010057,犬妖首领卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
36,4010058,死灵卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
37,4010060,君主魔碑卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
38,4010061,远古海神卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
39,4020002,黄金虫卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
40,4020003,达拉蛙卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
41,4020004,蚁后卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
42,4020010,锹形虫卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
43,4020017,蜗牛王卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
44,4030006,幽灵波利卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
45,4030007,天使波利卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
46,4030012,艾吉欧蜈蚣卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
47,4030013,马克卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
48,4030015,泥人卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
49,4030016,帕莎纳卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
50,4030019,兽人酋长卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
51,4030020,异变鱼卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
52,4030021,土人卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
53,4040003,恶魔波利卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
54,4040008,小巴风特卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
55,4040014,波利之王卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
56,4040017,兽人婴儿卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
57,4040021,九尾狐卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
58,4050009,虎王卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
59,4050010,狂暴月夜猫卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
60,4050011,月夜猫卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
61,4050013,地狱梦魇卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
62,4060016,剑鱼卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
63,4060019,俄塞里斯卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
64,4060021,将军魔碑卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
65,4060023,兽人弓箭手卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
66,4060025,犬妖卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
67,4070002,小恶魔卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
68,4070005,基尔瑟卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
69,4070006,狂暴蚁后卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
70,4070007,蜂后卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
71,4070008,马尔杜克卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
72,4070009,法老王卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
73,4070012,兽人英雄卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
74,4070013,梦魇卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
75,5010011,封印的海盗之王卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
76,5010018,封印的巴风特卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
77,5010037,封印的皮里恩卡片,1,10|11|106|104|103|102|141|140|110|99|52|168|156|69|142|115|158|80|81|162|105|100|177|211|85|86|101|212,1|2,
