ID,SpendDiamond,GetCoin,SendMax,SendMin,DefaultNum,SingleMoneyMax,SingleMoneyMin,RedPacketGetType,RedPacketSendType,IsOn
序号,花费钻石数量,发出铜币总量,发送红包数量上限,发送红包数量下限,默认红包数量,单个红包额度上限,单个红包额度下限,抢夺红包货币类型,发送红包货币类型,是否显示在挡位列表中
1,30,300000,10,5,7,120000,10000,101,103,1
2,80,800000,12,5,8,320000,22222,101,103,1
3,170,1700000,15,5,10,680000,37778,101,103,1
4,350,3500000,18,10,14,700000,64815,101,103,1
5,530,5300000,20,14,17,750000,88333,101,103,1
6,800,8000000,30,22,26,720000,88889,101,103,1
11,9999,300000,20,10,20,80000,10000,101,103,0
12,9999,450000,30,15,30,100000,10000,101,103,0
13,9999,666666,30,15,30,150000,10000,101,103,0
14,9999,888888,40,20,40,200000,10000,101,103,0
15,9999,1000000,40,20,40,250000,15000,101,103,0
