EquipLv,WeaponConsume,OtherConsume,ReturnRatio,PerfectWeaponConsume,PerfectOtherConsume,InheritConsume,EqualInheritConsume
装备等级,武器消耗，档位=消耗Id=消耗数量|档位=消耗Id=消耗数量,非武器消耗，档位=消耗Id=消耗数量|档位=消耗Id=消耗数量,返还比例（道具ID1=返还比例|道具ID2=返还比例）,"完美提炼武器消耗,档位=消耗Id=消耗数量|档位=消耗Id=消耗数量","完美提炼非武器消耗,档位=消耗Id=消耗数量|档位=消耗Id=消耗数量",继承消耗,同级继承消耗
10,1=3021002=2|2=3021002=2|3=3021002=2|4=3021002=3|5=3021002=5|6=3021002=10,1=3021002=1|2=3021002=2|3=3021002=2|4=3021002=3|5=3021002=5|6=3021002=10,3021001=4500|101=3000,1=3021002=5|2=3021002=2|3=3021002=2|4=3021002=3|5=3021002=5|6=3021002=10|7=3021002=11|8=3021002=12|9=3021002=13|10=3021002=14,1=3021002=4|2=3021002=2|3=3021002=2|4=3021002=3|5=3021002=5|6=3021002=10|7=3021002=11|8=3021002=12|9=3021002=13|10=3021002=14,1=3021004=4|2=3021004=2|3=3021004=2|4=3021004=3|5=3021004=5|6=3021004=10|7=3021004=11|8=3021004=12|9=3021004=13|10=3021004=14,1=3021004=1|2=3021004=2|3=3021004=2|4=3021004=3|5=3021004=5|6=3021004=10|7=3021004=11|8=3021004=12|9=3021004=13|10=3021004=14
20,1=3021002=3|2=3021002=3|3=3021002=3|4=3021002=4|5=3021002=6|6=3021002=11,1=3021002=2|2=3021002=3|3=3021002=3|4=3021002=4|5=3021002=6|6=3021002=11,3021001=4500|101=3000,1=3021002=6|2=3021002=3|3=3021002=3|4=3021002=4|5=3021002=6|6=3021002=11|7=3021002=12|8=3021002=13|9=3021002=14|10=3021002=15,1=3021002=5|2=3021002=3|3=3021002=3|4=3021002=4|5=3021002=6|6=3021002=11|7=3021002=12|8=3021002=13|9=3021002=14|10=3021002=15,1=3021004=5|2=3021004=3|3=3021004=3|4=3021004=4|5=3021004=6|6=3021004=11|7=3021004=12|8=3021004=13|9=3021004=14|10=3021004=15,1=3021004=2|2=3021004=3|3=3021004=3|4=3021004=4|5=3021004=6|6=3021004=11|7=3021004=12|8=3021004=13|9=3021004=14|10=3021004=15
30,1=3021002=4|2=3021002=4|3=3021002=4|4=3021002=5|5=3021002=7|6=3021002=11,1=3021002=3|2=3021002=4|3=3021002=4|4=3021002=5|5=3021002=7|6=3021002=11,3021001=4500|101=3000,1=3021002=6|2=3021002=3|3=3021002=3|4=3021002=4|5=3021002=6|6=3021002=11|7=3021002=12|8=3021002=13|9=3021002=14|10=3021002=15,1=3021002=6|2=3021002=4|3=3021002=4|4=3021002=5|5=3021002=7|6=3021002=11|7=3021002=12|8=3021002=13|9=3021002=14|10=3021002=15,1=3021004=6|2=3021004=4|3=3021004=4|4=3021004=5|5=3021004=7|6=3021004=11|7=3021004=12|8=3021004=13|9=3021004=14|10=3021004=15,1=3021004=3|2=3021004=4|3=3021004=4|4=3021004=5|5=3021004=7|6=3021004=11|7=3021004=12|8=3021004=13|9=3021004=14|10=3021004=15
40,1=3021002=5|2=3021002=5|3=3021002=5|4=3021002=6|5=3021002=8|6=3021002=12,1=3021002=4|2=3021002=5|3=3021002=5|4=3021002=6|5=3021002=8|6=3021002=12,3021001=4500|101=3000,1=3021002=8|2=3021002=5|3=3021002=5|4=3021002=6|5=3021002=8|6=3021002=12|7=3021002=13|8=3021002=14|9=3021002=15|10=3021002=16,1=3021002=7|2=3021002=5|3=3021002=5|4=3021002=6|5=3021002=8|6=3021002=12|7=3021002=13|8=3021002=14|9=3021002=15|10=3021002=16,1=3021004=7|2=3021004=5|3=3021004=5|4=3021004=6|5=3021004=8|6=3021004=12|7=3021004=13|8=3021004=14|9=3021004=15|10=3021004=16,1=3021004=4|2=3021004=5|3=3021004=5|4=3021004=6|5=3021004=8|6=3021004=12|7=3021004=13|8=3021004=14|9=3021004=15|10=3021004=16
50,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=1|5=3021002=1|6=3021002=1,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=1|5=3021002=1|6=3021002=1,3021001=4500|101=3000,1=3021002=8|2=3021002=5|3=3021002=5|4=3021002=6|5=3021002=8|6=3021002=12|7=3021002=13|8=3021002=14|9=3021002=15|10=3021002=16,1=3021002=8|2=3021002=6|3=3021002=6|4=3021002=7|5=3021002=9|6=3021002=12|7=3021002=13|8=3021002=14|9=3021002=15|10=3021002=16,1=3021004=8|2=3021004=6|3=3021004=6|4=3021004=7|5=3021004=9|6=3021004=12|7=3021004=13|8=3021004=14|9=3021004=15|10=3021004=16,1=3021004=5|2=3021004=6|3=3021004=6|4=3021004=7|5=3021004=9|6=3021004=12|7=3021004=13|8=3021004=14|9=3021004=15|10=3021004=16
60,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=1|5=3021002=1|6=3021002=1,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=1|5=3021002=1|6=3021002=1,3021001=4500|101=3000,1=3021002=10|2=3021002=7|3=3021002=7|4=3021002=8|5=3021002=10|6=3021002=13|7=3021002=14|8=3021002=15|9=3021002=16|10=3021002=17,1=3021002=9|2=3021002=7|3=3021002=7|4=3021002=8|5=3021002=10|6=3021002=13|7=3021002=14|8=3021002=15|9=3021002=16|10=3021002=17,1=3021004=9|2=3021004=7|3=3021004=7|4=3021004=8|5=3021004=10|6=3021004=13|7=3021004=14|8=3021004=15|9=3021004=16|10=3021004=17,1=3021004=6|2=3021004=7|3=3021004=7|4=3021004=8|5=3021004=10|6=3021004=13|7=3021004=14|8=3021004=15|9=3021004=16|10=3021004=17
70,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,3021001=4500|101=3000,1=3021002=11|2=3021002=8|3=3021002=8|4=3021002=9|5=3021002=11|6=3021002=13|7=3021002=14|8=3021002=15|9=3021002=16|10=3021002=17,1=3021002=10|2=3021002=8|3=3021002=8|4=3021002=9|5=3021002=11|6=3021002=13|7=3021002=14|8=3021002=15|9=3021002=16|10=3021002=17,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=12|6=3021004=3|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=12|6=3021004=3|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3
80,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,3021001=4500|101=3000,1=3021002=12|2=3021002=9|3=3021002=9|4=3021002=10|5=3021002=12|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021002=11|2=3021002=9|3=3021002=9|4=3021002=10|5=3021002=12|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=12|6=3021004=3|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=12|6=3021004=3|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3
90,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,3021001=4500|101=3000,1=3021002=13|2=3021002=10|3=3021002=10|4=3021002=11|5=3021002=13|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021002=12|2=3021002=10|3=3021002=10|4=3021002=11|5=3021002=13|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=12|6=3021004=3|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=12|6=3021004=3|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3
100,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,3021001=4500|101=3000,1=3021002=13|2=3021002=10|3=3021002=10|4=3021002=11|5=3021002=13|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021002=12|2=3021002=10|3=3021002=10|4=3021002=11|5=3021002=13|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=10|6=3021004=15|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=10|6=3021004=15|7=3021004=3|8=3021004=3|9=3021004=3|10=3021004=3
110,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,1=3021002=1|2=3021002=1|3=3021002=1|4=3021002=3|5=3021002=3|6=3021002=3,3021001=4500|101=3000,1=3021002=13|2=3021002=10|3=3021002=10|4=3021002=11|5=3021002=13|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021002=12|2=3021002=10|3=3021002=10|4=3021002=11|5=3021002=13|6=3021002=14|7=3021002=15|8=3021002=16|9=3021002=17|10=3021002=18,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=10|6=3021004=15|7=3021004=15|8=3021004=15|9=3021004=15|10=3021004=15,1=3021004=1|2=3021004=2|3=3021004=3|4=3021004=7|5=3021004=10|6=3021004=15|7=3021004=15|8=3021004=15|9=3021004=15|10=3021004=15
