ID,Comment,MinMana,MaxMana
EntityID,注释,掉落魔力的最小值,掉落魔力的最大值
26051,链锤哥布灵,3,5
26052,榔头哥布灵,3,5
26053,螳螂,3,5
26054,艾斯蜘蛛,3,5
26055,喷射哥布灵,3,5
26056,基尔瑟,3,5
26057,梦魇,3,5
26058,傀儡娃娃,3,5
26059,米洛斯,3,5
26060,马尔杜克,3,5
26061,狂暴野猫,3,5
26062,黑狐,3,5
26063,兽人弓箭手,3,5
26064,弓箭哥布灵,3,5
26065,木乃伊,3,5
26066,邪骸士兵,3,5
26067,邪骸俘虏,3,5
26068,邪骸法师,3,5
26069,兽人腐尸,3,5
26070,犬妖弓箭手,3,5
26071,邪骸海盗,3,5
26072,刺刀哥布灵,3,5
26073,刺锤哥布灵,3,5
26074,大斧哥布灵,3,5
26075,狼,3,5
26076,人鱼士兵,3,5
26077,海神,3,5
26078,流浪之狼,3,5
26079,大斧犬妖,3,5
26080,榔头犬妖,3,5
26081,刺锤犬妖,3,5
26082,蛇女伊丝,3,5
26083,邪骸弓箭手,3,5
26084,海盗之王,150,250
26085,皮里恩,150,250
26086,蚁后,150,250
26087,兽人英雄,150,250
26088,哥布灵首领,150,250
26089,黄金虫,150,250
26121,兽人战士,3,5
26122,狂暴木乃伊,3,5
26123,风魔巫师,3,5
26124,杰洛米,3,5
26125,沙漠之狼,3,5
26126,兽人女战士,3,5
26127,野猪,60,80
26128,兽人弓箭手,3,5
26129,邪骸兽人,60,80
26130,邪骸弓箭手,3,5
26131,邪骸战士,60,80
26132,炸弹波利,3,5
26133,诺可伊,320,480
26134,鬼女,60,80
26135,直升机哥布灵,60,80
26136,白幽灵,3,5
