ID,ItemID,,ServerLevelLimit,ExpectValue,
编号,道具ID,道具名称(策划用),服务器等级限制,单次产出期望价值(Zeny币),分类(策划)
1,101,铜币,30=50,0.01,货币
2,101,铜币,51=55,0.0094,货币
3,101,铜币,56=60,0.0089,货币
4,101,铜币,61=65,0.0084,货币
5,101,铜币,66=70,0.008,货币
6,101,铜币,71=75,0.0076,货币
7,101,铜币,76=80,0.0073,货币
8,101,铜币,81=85,0.007,货币
9,101,铜币,86=90,0.0067,货币
10,101,铜币,91=95,0.0064,货币
11,101,铜币,96=999,0.0062,货币
12,102,Zeny,0=999,1,货币
13,103,喵喵果实,0=999,10,货币
14,104,喵喵果实,0=999,10,货币
15,110,波利币,0=999,0,货币
16,301,波利点数,0=999,0,货币
17,302,元气,0=999,5,货币
18,303,委托券,0=999,0,货币
19,304,宝石碎片,0=999,700,货币
20,401,公会贡献,0=999,10,货币
21,402,声望,0=999,17,货币
22,501,勇气徽章,0=999,50,货币
23,502,战场徽章,0=999,0,货币
24,503,魔物硬币,0=999,1,货币
25,601,卢恩骑士团纹章,0=999,50,货币
26,602,沙漠守望者纹章,0=999,50,货币
27,603,造物者纹章,0=999,50,货币
28,604,骑士团纹章,0=999,50,货币
29,605,阿尔奇商盟纹章,0=999,50,货币
30,606,米德加兹教廷纹章,0=999,50,货币
31,607,商人公会纹章,0=999,50,货币
32,608,探险家协会纹章,0=999,50,货币
33,609,吉芬评议会纹章,0=999,50,货币
34,701,协同之证,0=999,10,货币
35,2034001,蓝色水晶,0=999,374,不流通&有真实价值量
36,2034002,紫色水晶,0=999,886,不流通&有真实价值量
37,2033002,血迹树枝,0=999,2000,不流通&有真实价值量
38,2035002,小恶魔兑换券,0=999,600,不流通&有真实价值量
39,2010008,天地树果实,0=999,2500,不流通&有真实价值量
40,3024022,阿克坦齿轮,0=999,0,不流通&有真实价值量
41,3021001,莫拉硬币,0=999,500,不流通&有真实价值量
42,3020001,神之金属原石,0=999,200,212版本临时
43,3020002,铝原石,0=999,200,212版本临时
44,2023003,职业经验心得,0=999,0,ItemFunction表
45,2023004,角色经验心得,0=999,0,ItemFunction表
46,2090001,MVP参与礼包,0=999,955,ItemFunction表
47,2090002,神秘箱子,0=999,1934,ItemFunction表
48,2090003,老旧卡册,0=999,5700,ItemFunction表
49,2090004,魔力卡册,0=999,48913,ItemFunction表
50,2090005,童话世界时装礼盒,0=999,0,ItemFunction表
51,2090006,水手服时装礼盒,0=999,0,ItemFunction表
52,2090007,执事女仆时装礼盒,0=999,0,ItemFunction表
53,2090008,一箱铜币,0=999,500,ItemFunction表
54,2090009,职业头饰图纸礼包,0=999,0,ItemFunction表
55,2090010,小恶魔时装礼盒,0=999,0,ItemFunction表
56,2090013,5元充值返利礼包,0=999,1000,ItemFunction表
57,2090014,25元充值返利礼包,0=999,630,ItemFunction表
58,2090015,95元充值返利礼包,0=999,2380,ItemFunction表
59,2090016,125元充值返利礼包,0=999,3130,ItemFunction表
60,2090017,325元充值返利礼包,0=999,8130,ItemFunction表
61,2090018,645元充值返利礼包,0=999,16130,ItemFunction表
62,2090019,zeny袋子,0=999,300,ItemFunction表
63,2090020,铜币宝箱,0=999,2000,ItemFunction表
64,2090021,铜币袋子,0=999,300,ItemFunction表
65,2090025,zeny宝箱,0=999,2000,ItemFunction表
66,2090026,装备精炼礼包,0=999,1500,ItemFunction表
67,2090027,无敌头饰包,0=999,0,ItemFunction表
68,2090028,派对一等奖礼包,0=999,80000,ItemFunction表
69,2090029,派对二等奖礼包,0=999,50000,ItemFunction表
70,2090030,派对三等奖礼包,0=999,27500,ItemFunction表
71,2090031,派对幸运奖礼包,0=999,4687,ItemFunction表
72,2090032,铜币大宝箱,0=999,3000,ItemFunction表
73,2090033,元气补充袋,0=999,600,ItemFunction表
74,2090034,派对参与奖礼包,0=999,1025,ItemFunction表
75,2050013,纪念晶石,0=999,1296,ItemFunction表
76,2050012,精致的纪念币,0=999,2936,ItemFunction表
77,2050011,纪念币,0=999,442.75,ItemFunction表
78,1010010,小恶魔套装（女）,0=999,0,ItemFunction表
79,2040006,绵绵岛的建设物资,0=999,0,ItemFunction表
80,1010009,小恶魔套装（男）,0=999,0,ItemFunction表
81,2050005,公会狩猎礼盒,0=999,1095,ItemFunction表
82,2050006,封印碎片,0=999,500,ItemFunction表
83,2090035,头饰卡片转蛋,0=999,11919,ItemFunction表
84,2090036,铠甲卡片转蛋,0=999,16228,ItemFunction表
85,2090037,副手卡片转蛋,0=999,18120,ItemFunction表
86,2090038,鞋子卡片转蛋,0=999,11409,ItemFunction表
87,2090039,披风卡片转蛋,0=999,43173,ItemFunction表
88,2090040,首饰卡片转蛋,0=999,19546,ItemFunction表
89,2090041,武器卡片转蛋,0=999,20733,ItemFunction表
90,2091036,神秘紫箱,0=999,0,ItemFunction表
91,2091037,头饰水晶礼包,0=999,15525,ItemFunction表
92,60600010,40级增强礼包,0=999,15900,ItemFunction表
93,60601010,小型神之金属包,0=999,20000,ItemFunction表
94,2091062,蚁后参与礼包,0=999,684.32,ItemFunction表
95,2091073,皮里恩参与礼包,0=999,684.32,ItemFunction表
96,2091060,天使波利参与礼包,0=999,745.92,ItemFunction表
97,60610070,时装礼包,0=999,0,ItemFunction表
98,2091044,初学者戒指礼包,0=999,0,ItemFunction表
99,2091040,智力箱子,0=999,1000,ItemFunction表
100,2091046,点心嘴饰合理礼包,0=999,0,ItemFunction表
101,2091047,Ragnarok Origin礼盒,0=999,65,ItemFunction表
102,2091039,敏捷箱子,0=999,1000,ItemFunction表
103,60610040,以太因子补充礼包,0=999,0,ItemFunction表
104,2091051,队长礼包,0=999,283,ItemFunction表
105,60600000,起跑线礼包,0=999,87700,ItemFunction表
106,2091069,兽人英雄参与礼包,0=999,684.32,ItemFunction表
107,2091041,药水箱子,0=999,695,ItemFunction表
108,2091049,数字宝箱,0=999,0,ItemFunction表
109,2091048,前期支持礼包,0=999,65,ItemFunction表
110,60610210,猫耳泳镜礼包,0=999,0,ItemFunction表
111,2091072,俄塞里斯参与礼包,0=999,684.32,ItemFunction表
112,60610100,高级瞳色调色剂礼包,0=999,0,ItemFunction表
113,2091074,虎王参与礼包,0=999,684.32,ItemFunction表
114,60600050,80级增强礼包,0=999,125100,ItemFunction表
115,2091043,扩建券箱子,0=999,12500,ItemFunction表
116,60610090,高级发型调色剂礼包,0=999,0,ItemFunction表
117,2091061,黄金虫参与礼包,0=999,745.92,ItemFunction表
118,2091063,哥布灵首领参与礼包,0=999,684.32,ItemFunction表
119,2091064,海盗之王参与礼包,0=999,684.32,ItemFunction表
