Id,Des,MainLuaUi,IndividualPanelNames,MainIcon,ExtraUi
ID,策划用,主界面上需要显示的UI界面，包括以下区域：\r\nMain：底图\r\nMainRoleInfo：主角头像区域；\r\nVehicle：上载具按钮；\r\nExp：经验条；\r\nQuickItem：快捷道具区域；\r\nMainChat：聊天框；\r\nQuickPanel：快捷任务追踪/组队界面\r\nCookingDouble：烹饪\r\nTeamFrame：PVP队伍显示用\r\nMainArena：PVP用\r\nDungeonTimer：副本计时器\r\nMainTowerDefense：塔防主UI\r\nMap：新小地图\r\nSkillControllerContainer：技能施法区域（含选中按钮，切换按钮）；\r\nMoveControllerContainer：移动摇杆\r\nSkillSelectBoss：目标锁定\r\nBattle：战场,Danmu：弹幕,需要显示的按钮（对应OpenSystemTable表里面需要在主UI上显示的按钮）,额外需要显示的特殊UI和按钮：\r\nBtnFunctionOpen：功能预告\r\nBtnShowAction：表情按钮 BtnTowerRewardInfo\r\nAutoBattleButton：自动按钮\r\nBtnSwitchUI：切换按钮\r\nBtnExit：退出按钮\r\nBtnInfo：问号按钮（教程用）\r\nCameraButton：相机按钮\r\nBagButton：背包按钮\r\nDungeonExtend：副本额外按钮\r\nBtnShowAction2: 坐下\r\nBtnTowerRewardInfo： 无限塔奖励信息\r\HalloweenPartyMain：万圣夜UI
1,野图通用UI，主界面上该有的UI都有,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,109|110|112|102|106|105|107|108|111|122|6000|114|113|115|117|118|150|9006|170|180|172|11208|119|199|20000|11220|30000|12119|21000|9014,BtnFunctionOpen|BtnShowAction|AutoBattleButton|BtnSwitchUI|CameraButton|BagButton|BtnShowAction2
2,副本,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|DungeonExtend|ShortcutChat|DungeonTarget|WatchWarInfo|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|122|6000|113|115|9006|118|172|199|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2
3,副本（无退出按钮）,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|DungeonExtend|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|122|6000|113|115|9006|118|172|199|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|CameraButton|BagButton|BtnShowAction2
4,双人烹饪,Main|CookingDouble|MainChat|ShortcutChat|DungeonTarget|MoveControllerContainer,GMEntry,,
5,新手副本,Main|MainRoleInfo|DungeonExtend|ShortcutChat|DungeonTarget|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss,GMEntry,,
6,PVP准备场景,Main|MainRoleInfo|Exp|MainChat|MainArena|Vehicle|DungeonTarget|Map|SystemInfo|MoveControllerContainer|PokemonShortCut,GMEntry,102|106|20000,BtnExit|BagButton|BtnShowAction|BtnShowAction2
7,PVP场景,Main|MainRoleInfo|Exp|MainChat|QuickItem|Vehicle|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,GMEntry,102|106|20000,BtnExit|BagButton|BtnShowAction|AutoBattleButton|BtnShowAction2
8,无限塔,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|WatchWarInfo|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|122|6000|113|114|115|9006|118|172|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2|BtnTowerRewardInfo
9,组队等候区,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|114|115|9006|118|172|199|20000|9014,BtnShowAction|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2
10,战场,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|ShortcutChat|DungeonTarget|WatchWarInfo|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|Battle|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|115|9006|172|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2
11,一转试炼副本,Main|MainRoleInfo|Vehicle|Exp|MainChat|DungeonExtend|ShortcutChat|DungeonTarget|QuickPanel|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss,GMEntry,110|102|106|105|107|108|111|122|6000|113|114|115|9006|118|172|199,BtnShowAction|BtnSwitchUI|CameraButton|BtnExit|BtnShowAction2
12,擂台,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|WatchWarInfo|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,Danmu|GMEntry,102|106|20000,BtnInfo|BagButton|BtnShowAction|AutoBattleButton|BtnShowAction2
13,擂台组队等候区,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|122|6000|113|114|115|9006|118|172|199|20000|9014,BtnShowAction|BtnSwitchUI|BtnInfo|CameraButton|BagButton|BtnInfo|BtnShowAction2
14,英雄挑战,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|DungeonTimer|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|114|115|9006|118|172|199|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2
15,躲避球,Main|MiniChat|ShortcutChat|DungeonTarget|MoveControllerContainer,GMEntry,,BtnExit
16,黑暗迷宫,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|DungeonExtend|ShortcutChat|DungeonTarget|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|114|115|9006|118|172|199|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2
17,抢滩登录,Main|ShortcutChat|DungeonTarget|SkillControllerContainer|SkillSelectBoss,GMEntry,,BtnExit
18,装死教学,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|DungeonExtend|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|114|115|9006|118|172|199,BtnShowAction|BtnSwitchUI|BtnExit|CameraButton|BagButton|BtnShowAction2
19,迷雾之森躲避球,Main|MiniChat|ShortcutChat|DungeonTarget|Map|MoveControllerContainer,GMEntry,,BtnExit
20,主题舞会,Main|MainRoleInfo|Exp|MainChat|ShortcutChat|PartyMain|DungeonTarget|Map|SystemInfo|MoveControllerContainer|RoleNurturance_TipsBtn,Danmu|GMEntry,109|110|112|102|106|105|107|108|111|122|6000|114|113|115|9006|117||118|172|199|20000|21000|9014,BtnFunctionOpen|BtnShowAction|CameraButton|BagButton|BtnShowAction2
21,观战,MainWatchWar|MainChat|ShortcutChat|WatchWarInfo|DungeonTarget|Map,Danmu|GMEntry,,
22,观战(极限挑战),MainWatchWar|MainChat|ShortcutChat|WatchWarInfo|DungeonTimer|DungeonTarget|Map,Danmu|GMEntry,,
23,观战(擂台),MainWatchWar|MainChat|ShortcutChat|WatchWarInfo|DungeonTarget|Map,Danmu|GMEntry,,
24,塔防,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|MainTowerDefense|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|RoleNurturance_TipsBtn|PokemonShortCut,Danmu|GMEntry,102|107|122|20000,BtnShowAction|AutoBattleButton|BtnSwitchUI|CameraButton|BagButton|BtnShowAction2
25,公会匹配赛,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|WatchWarInfo|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,Danmu|GMEntry,102|20000,BtnInfo|BagButton|BtnShowAction|AutoBattleButton|BtnShowAction2
26,公会匹配赛等候区,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,Danmu|GMEntry,110|102|106|107|113|115|9006|118|199|20000,BtnShowAction|BtnSwitchUI|BtnInfo|CameraButton|BagButton|BtnInfo|BtnShowAction2
27,观战(公会匹配赛),MainWatchWar|MainChat|ShortcutChat|WatchWarInfo|DungeonTarget|Map|MainGuildMatch,Danmu|GMEntry,,
28,英灵殿,Main|MainRoleInfo|Vehicle|Exp|DungeonExtend|ShortcutChat|DungeonTarget|WatchWarInfo|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|MainChat|QuickPanel,Danmu|GMEntry,107,BtnShowActio|BtnSwitchUI|BtnExit|CameraButton|BtnShowAction2
29,观战(战场),MainWatchWar|MainChat|ShortcutChat|WatchWarInfo|DungeonTarget|Map|Battle,Danmu|GMEntry,,
30,转生回忆,Main|MainRoleInfo|SkillControllerContainer|MoveControllerContainer|DungeonTarget|DungeonTimer,GMEntry,,BtnExit
31,狩猎场（博仁斯攻略战）UI显示,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|115|118|9006|172|11208|180|20000|11220|300009014,BtnShowAction|AutoBattleButton|BtnSwitchUI|CameraButton|BagButton|BtnShowAction2
32,GVG,Main|MainRoleInfo|Vehicle|Exp|QuickItem|MainChat|QuickPanel|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|SkillSelectBoss|PokemonShortCut,Danmu|GMEntry,110|102|106|105|107|108|111|6000|113|115|9006|172|20000|9014,BtnShowAction|AutoBattleButton|BtnSwitchUI|CameraButton|BagButton|BtnShowAction2
33,万圣尖叫夜,Main|MainRoleInfo|Vehicle|Exp|MainChat|ShortcutChat|DungeonTarget|Map|SystemInfo|SkillControllerContainer|MoveControllerContainer|RoleNurturance_TipsBtn,Danmu|GMEntry,109|110|106|105|107|108|111|122|6000|113|115|9006|117||118|172|199|11220|20000|21000|9014,BtnShowAction|BtnSwitchUI|CameraButton|BagButton|BtnShowAction2|HalloweenPartyMain
