BeginDay,DungeonLevel,DungeonPara_Normal,DungeonPara_Hard,DungeonPara_Single,WeaponLv,ArmourLv,CloakLv,ShoesLv,OrnamentLv,OffHandLv
开服天数[int],副本等级节点[int],副本难度系数_普通[float],副本难度系数_挑战[float],副本难度系数_单人[float],武器装备等级=武器精炼等级,盔甲装备等级=盔甲精炼等级,披风装备等级=披风精炼等级,鞋子装备等级=鞋子精炼等级,饰品装备等级=饰品精炼等级,副手装备等级=副手精炼等级
1,30,1,1,1,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0
2,35,1,1,1,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0,30=0|30=0|30=0
3,40,1,1,1,40=4|40=5|40=4,40=3|40=5|40=3,40=3|40=5|40=3,40=3|40=5|40=3,40=4|40=5|40=4,40=3|40=5|40=3
4,45,1,1,1,40=4|40=5|40=4,40=3|40=5|40=3,40=3|40=5|40=3,40=3|40=5|40=3,40=4|40=5|40=4,40=3|40=5|40=3
5,48,1,1,1,40=4|40=5|40=4,40=3|40=5|40=3,40=3|40=5|40=3,40=3|40=5|40=3,40=4|40=5|40=4,40=3|40=5|40=3
6,48,1,1,1,40=4|40=5|40=4,40=3|40=5|40=3,40=3|40=5|40=3,40=3|40=5|40=3,40=4|40=5|40=4,40=3|40=5|40=3
7,48,1,1,1,40=4|40=5|40=4,40=3|40=5|40=3,40=3|40=5|40=3,40=3|40=5|40=3,40=4|40=5|40=4,40=3|40=5|40=3
8,48,1,1,1,40=4|40=5|40=4,40=3|40=5|40=3,40=3|40=5|40=3,40=3|40=5|40=3,40=4|40=5|40=4,40=3|40=5|40=3
9,48,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
10,48,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
11,48,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
12,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
13,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
14,53,1,1,1,50=5|50=7|50=5,50=4|50=7|50=4,50=4|50=7|50=4,50=4|50=7|50=4,50=5|50=7|50=5,50=4|50=7|50=4
