FuntionId,MainId,ActType,RedDotID,FreeAwardId,FreeAwardIdCD,CountShow
功能ID,售卖礼包主键ID,对应服务器ActType（对应payment限购一定要修改为对应的type),红点对应的功能ID（19只能对应1884；39只能对应1885）,免费礼包awardid,免费礼包刷新时间（领取后CD刷新为自然时间2*24小时，精确到秒，单位秒）,限购描述（直接填文本，不填默认为：购买周限制在每周一5点重置）
1881,10173|10174|10175|10176|10177|10178|10179,19,1884,7502000,172800,购买周限制在每周一0点重置
1882,10200|10201|10202|10203|10204|10205|10206,19,1884,7502000,172800,购买周限制在每周一0点重置
1883,10162|10163|10164|10165|10166|10167|10168|10169|10170|10171|10172,19,1884,7502000,172800,购买周限制在每周一0点重置
1886,10195,39,1885,7501110,172800,
1887,10196,39,1885,7501110,172800,
1888,10197,39,1885,7501110,172800,
1889,10198,39,1885,7501110,172800,
18810,10199,39,1885,7501110,172800,
18811,20007|20006|20005|20004|20003|20001,19,,,,
18812,20013|20012|20011|20010|20009|20008,19,,,,
18813,20019|20018|20017|20016|20015|20014,19,,,,
