Id,Name,EnglishName,NameRemarks,ProfessionType,ProfessionIcon,ParentProfession,PresentM,PresentF,DefaultEquipM,DefaultEquipF,MoveSpeed,AI,SkillLineNum,SkillIds,ParentTransfromSkills,RootTransfromSkills,BaseLvRequired,JobLvRequired,MissionRequired,SkillPointRequired,FixedSkillIds,FixedUnlockSkillIds,FixedCommonSkillIds,AttrRecommend,ProfessionPreSwitch,HatredCount,ASPD,BornBuff,PreinstallAttr,SkillTabName,SkillTabAtlas,SkillTabIcon,CommonAttackSkillID,IsCommonAttack,CancelTargetDis,DefaultWeaponID,AttrAriseList,MercenaryRecommend,MatchDuty,BagShowSkillSlot,RrofessionPainting,ProfessionSharePic,ChooseJobPic
编号,名字,职业英文名,名字备注（策划用）,职业转数,职业图标,父职业（0为无父职业）,表现ID(男),表现ID(女),裸模(男),裸模(女),移动速度,自动战斗AI,职业技能栏行数,拥有的技能（如果技能有额外被动，用等号链接）,父节点替换技能（上一个职业的技能替换，服务器用）,根节点替换技能（本系最初始职业的技能替换，客户端用）,需要的Base等级,需要的Job等级,需要完成的任务,必投技能点,职业固定技能,职业固定技能，初始未解锁,通用技能ID,流派推荐加点ID,职业预览是否开启,造成仇恨倍率,攻速,出生Buff(id=概率,预设属性（读取EntityTable中的ID对应的属性，为空则不预设）,技能面板页签名,技能面板图集,技能面板页签图标,点击怪物自动释放技能,是否默认开启自动普攻（0为不开启，1为开启）,自动取消目标距离,默认武器id（转职试炼副本专用）,推荐提升属性（加点体验副本）,佣兵推荐,匹配职责\r\n1=坦克 2=治疗\r\n3=输出,背包里显示的职业特性Slot框\r\n枚举类型来源于协议生产工具EquipPos\r\n当前枚举状态\r\nHorse=11 坐骑\r\nTROLLEY=12 手推车\r\nBATTLE_HORSE=13 战斗坐骑\r\nBATTLE_BIRD=14 猎鹰,职业立绘路径（男性图片路径=女性图片路径）,分享专用职业立绘,选择职业立绘
1000,初心者,Novice,初心者,0,UI_Common_Profession_Icon_07.png,0,10,11,10,11,4.6,Player_Auto_Novice,3,100001|100002|100003|100005|1002850025,,,0,0,,0,100001=1|100005=2,100003|100002|1002850025,,100001,,10000,156,10401=10000|10501=10000|921301=10000|926901=10000,,通用技能,,UI_CommonIcon_CareerIcon_Tongyong.png,100001,1,5,,,111|151,3,11,,,
2000,剑士,Swordman,剑士,1,UI_Common_Profession_Icon_01.png,1000,20,21,20,21,4.6,Player_Auto_Swordman,3,200004|200005|200006|200007|200009|200010|200011|200027,100001=200001|100002=200002|100003=200003|100005=200022,100001=200001|100002=200002|100003=200003|100005=200022,10,10,,0,,,200001|200002|200003|200022,200001|200002,1,10000,156,10401=10000|10501=10000|921301=10000|908801=10000,,剑士,CommonIcon,UI_CommonIcon_CareerIcon_Swordman_01.png,200001,1,5,,2=3301201|1=3301101,111|151,1|3,11|,Career/Swordman_M.png=Career/Swordman_F.png,UI_Share_Pic_Swordman_M.png=UI_Share_Pic_Swordman_F.png,
2101,骑士,Knight,骑士,2,UI_Common_Profession_Icon_08.png,2000,1020,1021,1020,1021,4.6,Player_Auto_Knight,3,210103|210104|210105|210106|210107|210108|210109|210112|200012|200013|210113=210116|210114|210115|210119,200001=210101,100001=210101,40,50,,40,,,210101|200002|200003|200022,200001|200002|200003,1,10000,156,10401=10000|10501=10000|921301=10000|908801=10000,,骑士,CommonIcon,UI_CommonIcon_CareerIcon_Swordman_02.png,210101,1,5,,,111|151,1|3,11|13,Painting/Knight_M.png=Painting/Knight_F.png,UI_Share_Pic_Knight_M.png=UI_Share_Pic_Knight_F.png,ChoosePic/UI_Choose_Pic_Knight_M.png=ChoosePic/UI_Choose_Pic_Knight_F.png
2102,骑士领主,LordKnight,骑士领主,3,UI_Common_Profession_Icon_14.png,2101,2020,2021,2020,2021,4.6,Player_Auto_LordKnight,3,210202|210203|210204|210205|210206|210207|210208|210209=210211,210101=210201,100001=210201,70,90,,80,,,210201|200002|200003|200022,200004|200005|200006,,10000,156,10401=10000|10501=10000|921301=10000|908801=10000,,骑士领主,CommonIcon,UI_CommonIcon_CareerIcon_Swordman_03.png,210201,1,5,,,111|151,1|3,11|13,Painting/LordKnight_M.png=Painting/LordKnight_F.png,,
2201,十字军,Crusader,十字军,2,UI_Common_Profession_Icon_22.png,2000,1120,1121,1120,1121,4.6,Player_Auto_Crusader,3,220102|220103|220105|220106|220107|220108|220109|220110|220111|220112|220113|220114|220115|220116,200001=220101,100001=220101,40,50,,40,,,220101|200002|200003|200022,200011|200012|200013,1,10000,156,10401=10000|10501=10000|921301=10000|908801=10000,,十字军,CommonIcon,UI_CommonIcon_CareerIcon_Crusader_01.png,220101,1,5,,,111|151,1|3,11|13,Painting/Crusader_M.png=Painting/Crusader_F.png,,ChoosePic/UI_Choose_Pic_Crusader_M.png=ChoosePic/UI_Choose_Pic_Crusader_F.png
2202,圣殿十字军,Paladin,圣殿十字军,3,UI_Common_Profession_Icon_23.png,2201,2120,2121,2120,2121,4.6,Player_Auto_Paladin,3,220202|220203|220206|220207|220208|220209|220210|220211|220212|220213|220214,220101=220201,100001=220201,70,90,,80,,,220201|200002|200003|200022,200014|200015|200016,,10000,156,10401=10000|10501=10000|921301=10000|908801=10000,,圣殿十字军,CommonIcon,UI_CommonIcon_CareerIcon_Crusader_02.png,220201,1,5,,,111|151,1|3,11|13,Painting/Paladin_M.png=Painting/Paladin_F.png,,
3000,服事,Acolyte,服事,1,UI_Common_Profession_Icon_04.png,1000,30,31,30,31,4.6,Player_Auto_Acolyte,3,300001|300002|300003|300004|300008|300009|300010|300011|300012|300013,100001=300005|100002=300006|100003=300007|100005=300025,100001=300005|100002=300006|100003=300007|100005=300025,10,10,,0,,,300005|300006|300007|300025,300001|300002,1,5000,156,101601=10000|101701=10000|921301=10000,,服事,CommonIcon,UI_CommonIcon_CareerIcon_Acolyte_01.png,300005,0,8,,4=3301301|5=3301401,101|131,2,11,Career/Acolyte_M.png=Career/Acolyte_F.png,UI_Share_Pic_Acolyte_M.png=UI_Share_Pic_Acolyte_F.png,
3101,牧师,Priest,牧师,2,UI_Common_Profession_Icon_11.png,3000,1030,1031,1030,1031,4.6,Player_Auto_Priest,3,310102|310103|310104|310105|310106|310107|310108|300014|300015|300016|310109|310111|310112|310114=310115,300005=310101,100001=310101,40,50,,40,,,310101|300006|300007|300025,300001|300002|300003,1,5000,156,101601=10000|101701=10000|921301=10000,,牧师,CommonIcon,UI_CommonIcon_CareerIcon_Acolyte_02.png,310101,0,8,,,101|131,2|3,11,Painting/Priest_M.png=Painting/Priest_F.png,UI_Share_Pic_Priest_M.png=UI_Share_Pic_Priest_F.png,ChoosePic/UI_Choose_Pic_Priest_M.png=ChoosePic/UI_Choose_Pic_Priest_F.png
3102,神官,HighPriest,神官,3,UI_Common_Profession_Icon_17.png,3101,2030,2031,2030,2031,4.6,Player_Auto_HighPriest,3,310202|310203|310204|310205|310206|310207|310208|310209|310210|310211,310101=310201,100001=310201,70,90,,80,,,310201|300006|300007|300025,300004|300005|300006,,5000,156,101601=10000|101701=10000|921301=10000,,神官,CommonIcon,UI_CommonIcon_CareerIcon_Acolyte_03.png,310201,0,8,,,101|131,2|3,11,Painting/Priest_M.png=Painting/Priest_F.png,,
