ID,,TypeID
卡片属性ID,属性名（策划用）,分类id
14,力量(装备),101
16,智力(装备),104
18,敏捷(装备),102
20,灵巧(装备),105
22,体质(装备),103
24,幸运(装备),106
27,物理攻击,109
32,物理防御,111
36,魔法攻击,110
41,魔法防御,112
47,生命上限,107
49,魔法上限,108
51,命中,701
53,闪避,702
55,暴击,703
48,生命上限%,107
50,魔法上限%,108
59,暴伤%,703
71,装备加速因子,115
76,Hp恢复%,107
78,SP恢复%,108
84,可变吟唱时间%,114
88,魔法值消耗%,108
174,火属性技能攻击%,201
176,无属性技能攻击%,201
182,风属性技能防御%,202
183,地属性技能防御%,202
185,水属性技能防御%,202
188,暗属性技能防御%,202
189,念属性技能防御%,202
191,毒属性技能防御%,202
192,对风属性魔物攻击%,201
193,对地属性魔物攻击%,201
194,对火属性魔物攻击%,201
195,对水属性魔物攻击%,201
196,对无属性魔物攻击%,201
202,对动物种族增伤%,301
203,对人形种族增伤%,301
204,对恶魔种族增伤%,301
205,对植物种族增伤%,301
208,对鱼贝种族增伤%,301
213,受到人形种族减伤%,302
219,受到天使种族减伤%,302
222,对小体型魔物增伤%,401
224,对大体型魔物增伤%,401
207,对无形种族魔物伤害,301
249,远程物理伤害,706
197,对圣属性魔物伤害,201
65,物理伤害,706
66,魔法伤害,706
225,对boss魔物伤害,706
211,对龙族种族魔物伤害,301
82,固定吟唱时间,114
220,受到昆虫种族伤害减免,302
212,受到动物种族伤害减免,302
221,受到龙族种族伤害减免,302
266,冰冻抗性,503
217,受到无形种族伤害减免,302
186,受到无属性伤害减免,202
67,受到物理伤害减免,707
68,受到魔法伤害减免,707
190,受到不死属性伤害减免,202
184,受到火属性伤害减免,202
74,移动速度,807
267,石化抗性,503
57,暴击防护,703
28,物理攻击,109
261,黑暗抗性,503
264,眩晕抗性,503
265,睡眠抗性,503
223,对中体型魔物伤害,401
229,受小体型魔物伤害减免,402
230,受中体型魔物伤害减免,402
90,治疗效果%,709
310,近战物理伤害%,706
198,对暗属性魔物攻击%,201
37,魔法攻击,110
91,受治疗效果,709
102,技能公共CD,114
173,地属性技能伤害,201
175,水属性技能伤害,201
177,圣属性技能伤害,201
214,受到恶魔种族伤害减免,302
216,受到不死种族伤害减免,302
510014910,无视小、中、大体型魔物，给予100%伤害,802
510015213,对哥布灵的伤害增加25%,301
510019859,你的普攻有10%几率触发二连击,803
510018041,对兽人系魔物造成30%伤害度，兽人酋长，兽人英雄除外,301
510022485,对犬妖的伤害+20%,301
510017637,受到魔法攻击时，20%伤害反射给敌人，每一点体质，额外反伤0.2%,708
510014304,可将铠甲转为念属性,203
510018647,受到近距离物理普通攻击时，20%伤害会反射给敌人，每1点体质，额外反伤0.2%。,708
510020364,可使用<a href=MarkSkillTips@@10007@@1><color=$$Blue$$>瞬间移动Lv.1</color></a>,602
510023495,攻击有一定几率念咒<a href=MarkSkillTips@@400003@@2><color=$$Blue$$>雷击术Lv.2</color></a>,603
510020566,可使用<a href=MarkSkillTips@@10002@@1><color=$$Blue$$>解毒Lv.1</color></a>,602
510019960,可使用<a href=MarkSkillTips@@200005@@3><color=$$Blue$$>怒爆Lv.3</color></a>,602
510020061,可使用<a href=MarkSkillTips@@10005@@1><color=$$Blue$$>痊愈术Lv.1</color></a>,602
510020162,可使用<a href=MarkSkillTips@@500005@@1><color=$$Blue$$>隐匿Lv.1</color></a>,602
510020263,可使用<a href=MarkSkillTips@@10004@@3><color=$$Blue$$>施毒Lv.3</color></a>,602
510020465,可使用<a href=MarkSkillTips@@10006@@1><color=$$Blue$$>治愈术Lv.1</color></a>,602
510024606,受到致死伤害的时候，生命值为1，无法移动和释放技能持续3秒，3秒内无敌生命值魔法值回复至70%（内置CD3分钟）,804
510019354,物理攻击时3%概率触发<a href=MarkSkillTips@@200004@@1><color=$$Blue$$>狂击Lv.1</color></a>，若学习了该技能，则技能触发等级为学习后的等级。,603
510020667,可使用<a href=MarkSkillTips@@10003@@1><color=$$Blue$$>火狩Lv.1</color></a>,602
510025313,物理攻击时3%概率触发<a href=MarkSkillTips@@700005@@1><color=$$Blue$$>二连矢Lv.1</color></a>，若学习了该技能，则技能触发等级为学习后的等级。,603
510023798,物理攻击时3%概率触发<a href=MarkSkillTips@@510103@@1><color=$$Blue$$>深红切割Lv.1</color></a>，若学习了该技能，则技能触发等级为学习后的等级。,603
510023192,物理攻击时3%概率触发<a href=MarkSkillTips@@410103@@1><color=$$Blue$$>雷鸣术Lv.1</color></a>，若学习了该技能，则技能触发等级为学习后的等级。,603
510024303,攻击有5%几率扣除目标最大魔法值8%的魔法值(普通攻击的扣除上限为100，技能的扣除上限为300),501
510024000,受到魔法攻击时，20%伤害反射给敌人,708
510014506,可将铠甲转为圣属性,203
510024101,受到近距离物理普通攻击时，20%伤害会反射给敌人,203
510024404,受到致死伤害的时候，生命值为1，无法移动和释放技能持续3秒，3秒内无敌生命值魔法值回复至40%（内置CD5分钟）,804
510015516,可以看到隐匿或是伪装的魔物,801
510019556,避免陷入<a href=MarkTips@@ATTR_TIPS_VERTIGO_STATE><color=$$Blue$$>眩晕</color></a>的状态,504
510025414,对所有魔物伤害+12%,706
510023899,对所有魔物伤害+8%,706
510015617,对不死系魔物暴击+7,703
510015718,对无形系魔物暴击+7,703
510015819,对鱼贝系魔物暴击+7,703
510025616,每一点命中增加0.05%物理伤害，最多增加12%,706
510018344,击杀鱼贝系魔物，魔法值回复5,108
510024202,攻击有20%几率扣除目标最大魔法值10%的魔法值(普通攻击的扣除上限为100，技能的扣除上限为300),108|501
510022384,对植物系魔物暴击+7,703
510023293,击杀龙族系魔物，魔法值回复5,108
510024808,精炼每+2，智力+1,104
510026020,精炼每+2，水属性技能伤害+1%,201
510016728,受到物理伤害时，有5%的几率自动念咒<a href=MarkSkillTips@@300004@@5><color=$$Blue$$>天使之光Lv.5</color></a>,604
510024909,精炼+10，生命上限+5%,107
510016021,可将铠甲转为为毒属性,203
510022990,铠甲不可被破坏,505
510016526,可将铠甲转为地属性,203
510017031,可将铠甲转为火属性,203
510018748,可将铠甲转为水属性,203
510018849,可将铠甲转为风属性,203
510021374,精炼+10，生命上限+3%,107
510014405,力量80以上时，物理攻击+20。体质80以上时，生命值上限+3%。幸运80以上时，暴击+3。,109|107|703
510025919,精炼+12，物理伤害+2%,706
510022081,精炼+10，魔法伤害+3%,706
510019152,无限霸体(受击不会停顿且无法被击退),805
510016425,咏唱时间不会被中断,801
510014203,可避免陷入<a href=MarkTips@@ATTR_TIPS_DARK_STATE><color=$$Blue$$>黑暗</color></a>状态,504
510015415,避免陷入<a href=MarkTips@@ATTR_TIPS_CONFUSION_STATE><color=$$Blue$$>恐惧</color></a>状态,504
510022586,消耗魔力矿石的技能不再消耗魔力矿石,806
510016930,避免陷入<a href=MarkTips@@ATTR_TIPS_SILENT_STATE><color=$$Blue$$>沉默</color></a>的状态,504
510019657,避免陷入<a href=MarkTips@@ATTR_TIPS_SLEEP_STATE><color=$$Blue$$>睡眠</color></a>的状态,504
510026121,自身生命低于30%时，受到除异常状态外的所有伤害减少10%,707
907401,普攻附带半径2.5米的溅射伤害。,801
510014001,攻击2%概率使目标<a href=MarkTips@@ATTR_TIPS_COMA_STATE><color=$$Blue$$>眩晕</color></a>,501
510014102,攻击敌人时，有5%的几率使敌人陷入<a href=MarkTips@@ATTR_TIPS_DARK_STATE><color=$$Blue$$>黑暗</color></a>状态,501
510022283,对挑战勇士攻击+100,801
510015112,攻击敌人时，有5%的几率使敌人陷入<a href=MarkTips@@ATTR_TIPS_FROZEN_STATE><color=$$Blue$$>冰冻</color></a>状态,501
510016324,攻击敌人时，有5%的几率使敌人陷入<a href=MarkTips@@ATTR_TIPS_DAMNATION_STATE><color=$$Blue$$>诅咒</color></a>状态,501
