FunctionNumber,Type,Id,Name,SortId,,RedSignID,ShowType,Position
功能按钮编号,类型（0为静态满足条件开启，1为动态满足条件开启喵果礼包）,功能ID,功能名称,按钮排序ID,备注(策划用）,红点ID,1固定位置，2灯，3铃铛,位置（1的不填）0=0=0
1,0,11201,登录奖励,10,七日登陆，领取完后该功能按钮消失,24,1,
2,0,11202,RO月礼,20,30次签到，签完后该功能按钮消失,36,1,
3,0,998,问卷调查,70,50级开启问卷调查,,3,440=0=0
4,0,11203,成长悦礼,30,10级开启,45,1,
5,0,11207,兑换礼包,60,1级开启，兑换码礼包，输入CDKey可以兑换礼包,,3,240=0=0
6,0,10816,喵喵丰收,50,,114,2,-386=-46=0
7,0,11204,卡普拉贵宾卡,40,特权月卡,80,1,
8,0,126,返利月卡,41,返利月卡,,1,
10,0,11213,回归奖励,21,回归奖励,111,3,140=0=0
11,0,11311,萌新奖励,1,萌新奖励，萌新状态失效，奖励领取完后按钮消失,300,3,40=0=0
12,0,11333,意见反馈,65,50级开启意见反馈,301,3,340=0=0
