SceneId,SceneName,Region,IsOpen,BgAtlas,BgIcon,LocalKapulaId,LocalMonster,RelatedArea,LabyrinthAreaDes1,LabyrinthArea1,LabyrinthAreaMonster1,LabyrinthAreaDes2,LabyrinthArea2,LabyrinthAreaMonster2,LabyrinthAreaDes3,LabyrinthArea3,LabyrinthAreaMonster3,LocalizationArea
场景ID,场景名称,区域,是否开放,场景背景图集,场景背景图片,本地图所有的卡普拉ID,本场景拥有怪物ID,周边相连场景ID,相关迷宫描述1,相关迷宫1,相关迷宫怪物1,相关迷宫描述2,相关迷宫2,相关迷宫怪物2,相关迷宫描述3,相关迷宫3,相关迷宫怪物3,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,普隆德拉西门,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,3750|3765,1006|1008|1029|1005,7|8|23|501,下水道,501|503,1005|1009|1026|1038,,,,,,,
4,普隆德拉南门,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,3725,1001|1002|1003|1004,7|11|21,,1201|1202|1203|1204|1205|1206|1207|1208,,,,,,,,
5,普隆德拉北门,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,3840,1003|1010|1011|1024|1062|1063,9|27|23|502,北森迷宫,502|524|525,1011|1024|1027|1029|1034|1035,,,,,,,
7,普隆德拉,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,1021|1022|1023|1024|1025,,4|1|14|15|24|27|41|57,,14|15|24|27|41|57,,,,,,,,
8,哥布灵森林,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4830,1013|1014|1015|1016|1017|1018|1039|1040|1062|1063,1,,,,,,,,,,
9,芋虫峡谷,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4800,1019|1028|1037|1031|1063,5|17,,,,,,,,,,
10,吉芬北部,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4680,1023|1010|1038|1063,16|17,,,,,,,,,,
11,沙漠岔道,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5100,1067|1075|1070|1051|1076|1054|1061,4|19|13,,,,,,,,,,
12,吉芬西部,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4650,1049|1030|1011|1063,16,,,,,,,,,,
13,波利岛,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5130,1001|1054|1052|1063,11,,,,,,,,,,
14,家园,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,7,,,,,,,,,,
15,乐园团,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,7|18,,,,,,,,,,
16,吉芬,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,1600|1601|1602,,10|12|23|504,吉芬塔,504|515|520,,,,,,,,
17,花园,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4710,,9|10|23,废弃矿坑,521,,,,,,,,
18,转职大厅,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,15,,,,,,,,,,
19,苏克拉特,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5191|5190,1124|1098|1109|1110|1111|1061,11|26|506|38,蚂蚁密穴,506,,,,,,,,
20,柏伊亚岚岛,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4140,,21|505,海底洞窟,505|511|519|523,,,,,,,,
21,伊斯鲁得岛,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,1300,,4|20|22|40|60|61,,1211|1212|1213|1214|1215|1216|1217|1218|40|60|61,,,,,,,,
22,沉没之船,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4230,,21|507,沉船迷宫,507|522,,,,,,,,
23,吉芬东部,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4620,1030|1024|1008|1057|1063,16|5|17,,,,,,,,,,
