ID,professionalID,LinkType,LinkAddress
序号,职业ID,跳转类型（1=抽奖概率类型；2=二合一概率表示；3=四合一概率表示；4=普通齿轮重置概率表示；5=稀有齿轮重置概率表示）,链接地址
0,2000,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
1,2101,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
2,2102,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
3,2201,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
4,2202,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
5,3000,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
6,3101,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
7,3102,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
8,3201,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
9,3202,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
10,4000,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
11,4101,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
12,4102,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
13,5000,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
14,5101,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
15,5102,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
16,7000,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
17,7101,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
18,7102,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
19,6000,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
20,6101,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
21,6102,1,https://ragnarokorigin.gungho.jp/gacha/veruscore/
