MajorID,ItemID,SequenceId,txt,Remarks,Label,cost,FloatLimit,Tab,ShowCountDown,BuyLimitNum,WeightPoolParameter,Weight,ServerDays,Bind,LimitProfession,LimitLevel,LimitSex,DeliverWay,DisplayType,DisplayTime,CheckDisplay,Check,LocalizationArea
主键,商品ID,排序id,商品名字(策划用),备注（策划QA用）,标签（1为折扣标签，2为限时标签）,货币消耗，包含价格消耗和货币类型（103喵喵果实，102Zeny币，101铜币），一个商品支持多个货币类型，但刷新出来时只随一个货币类型，配置方式举例：103=100|102=10000；cost字段支持 101=Function的配置形式，即前面为类型，后面为函数名,浮动系数，浮动系数下限=浮动系数上限（800=1200即为系数为0.8~1.2之间浮动）,包含2个参数一级页签和二级页签，一级页签（1为“喵喵果实”，2为“万事屋”，3为“神秘商店”，4为“投食”），二级页签（1默认为1号位，2默认为2号位），动态显示，不配则先不显示该页签，1=1热销，1=2礼包，2=1zeny，2=2铜币，3=1每日限时,是否显示倒计时（0不显示，1显示）,限购数量，用于控制限购的数量，-1代表无限次,权重池参数，用于标注出每个权重随机池，1个页签下支持多个权重随机池，不同的商品在各自对应的随机池中进行随机。,刷新权重，控制刷新出来道具的权重，对应WeightPoolParameter,服务器开服天数配置，格式举例1：7=10，即开服第7天至开服第10天，每过一次5点则计为1天,绑定字段，将对购买后的道具进行绑定操作（0不绑定，1绑定）,职业限制，若商品配置了对应值则只有对应职业可见，0默认为无职业限制,等级限制，若商品配置了该字段，则当角色达到对应等级后才能看见该商品，否则隐藏。,0含义为所有性别可见；\r\n1含义为男性可见；\r\n2含义为女性可见。,0=0：大陆版本直接进背包；1=邮件ID，韩国版本走邮件；7006为付费邮件，7007为普通邮件,0或者不填写，则不读后面的字段，1=不循环：开始日期=开始时间|结束日期=结束时间。2=每日循环：开始时间|结束时间。3=每周循环：星期x=星期x=星期x|开始时间|结束时间。4=每月固定日期循环：日期1=日期2=日期3=…|开始时间|结束时间。5=每月时间段循环：开始日=开始时间|结束日=结束时间。6=每年时间段循环：开始日期=开始时间|结束日期=结束时间,售卖时间，格式根据左边字段的枚举来,不符合check时，是否显示道具（0为不显示，1为显示）,条件2是通行证,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
10001,2033002,100000,血迹树枝,喵喵果实-热销（权重值参数为1001）,1=50,103=40,,101,,7,1001,,,1,,45=-1,,1=7006,,,,,
10002,2023001,100010,素质轮回石,喵喵果实-热销（权重值参数为1001）,1=50,103=100,,101,,2,1001,,,1,,20=-1,,1=7006,,,,,
10003,2023002,100020,技能重置棒,喵喵果实-热销（权重值参数为1001）,1=50,103=100,,101,,2,1001,,,1,,20=-1,,1=7006,,,,,
10004,1400201,100230,战斗加速糖,喵喵果实-热销（权重值参数为1001）,,103=20,,101,,-1,1001,,,1,,20=-1,,1=7006,,,,,
10005,1400301,100240,幸运打宝糖,喵喵果实-热销（权重值参数为1001）,,103=30,,101,,-1,1001,,,1,,41=-1,,1=7006,,,,,
10006,2033002,100260,血迹树枝,喵喵果实-热销（权重值参数为1001）,,103=40,,101,,-1,1001,,,1,,45=-1,,1=7006,,,,,
10007,2040016,100250,以太因子补充卡,喵喵果实-热销（权重值参数为1001）,,103=100,,101,,-1,1001,,,1,,45=-1,,1=7006,,,,,
10008,2023001,100270,素质轮回石,喵喵果实-热销（权重值参数为1001）,,103=100,,101,,-1,1001,,,1,,20=-1,,1=7006,,,,,
10009,2023002,100280,技能重置棒,喵喵果实-热销（权重值参数为1001）,,103=100,,101,,-1,1001,,,1,,20=-1,,1=7006,,,,,
