MajorId,PackId,SystemId,RedDotId,Name,GachaponType,Sort,TimeLimit,ServerDaylLimit,LevelLimit,JobLimit,GenderLimit,RefreshLimitNum,ConsumeType,ConsumeOnceNum,RefreshOnceType,ConsumeOnceFirst,ConsumeTenNum,RefreshTenType,ConsumeTenFirst,ScoresNum,ShopId,ScoresItemID,UIType,Texture,ShowItem,showaction,PreviewItem,SkillPreviewWheelIDs,Label,Txt,MallID,ProbabilityID,ToggleAtlas,ToggleOffImage,ToggleOnImage
奖池ID主键,奖池内容id，多个|分隔，（GachaponPackTable的PackId）,功能id,红点ID,奖池名字,奖池消耗类型（0和不填为消耗物品同时获得物品；1为先抽取，确认结果再消耗物品）,排序（限时的排前面）,时间限制（读取timelimit表id）,服务器天数限制（开启活动时的服务器天数，默认没有限制）,等级限制(base闭区间，小于等于0处理为1）,"职业限制(职业Id,0通用,不填默认为0)",性别限制（男0 女1 无限制2，不填默认为无限制2）,"抽取总次数限制（刷新类型=数量）(type:0不刷新,1每天0点,2每天5点,3每周周一0点，4每周一5点，9为CD9|小时)9|12，无限制配置为0=-1",抽取消耗物品规则（0、扣除喵果，103/104都可以扣除先后顺序为global的RechargeMoneyReduceType配置；1、只能扣除103；2、只能扣除104；3、先扣103再扣104；4、先扣104再扣103；5、只能扣除指定非喵果的一般物品itemid）,抽取1次消耗（itemid=数量）消耗顺序即配置顺序,"抽取1次优惠刷新规则（刷新类型=数量）(type:0不刷新,1每天0点,2每天5点,3每周周一0点，4每周一5点，9为CD9|小时)9|12，无限制配置为0=-1",抽取1次的优惠配置（itemid=数量）消耗顺序即配置顺序,抽取10次的（itemid=数量）消耗顺序即配置顺序,"抽取10次优惠刷新规则（刷新类型=数量）(type:0不刷新,1每天0点,2每天5点,3每周周一0点，4每周一5点，9为CD9|小时)9|12，无限制配置为0=-1",抽取10次的优惠配置（itemid=数量）消耗顺序即配置顺序,抽取获得积分配置（类型=积分itemid=数量）（类型1为免费抽取不给积分；2为免费抽取给积分；配置为抽取1次所给的积分，10次则乘以10）,对应的积分商店ID,该奖池所有使用过的积分itemid（用于检测在抽奖洁面时，过期自动兑换为魔法水晶）,界面UI类型（1头饰扭蛋；2时装扭蛋；3齿轮扭蛋；4卡片扭蛋；5为载具；6显示图片,Uitype为6时，图片显示,1、2、5类界面，配置显示模型的itemid|itemid,显示模型动作配置类型=间隔秒=动作ID|动作ID（1为按照动作顺序播放；2为随机播放后面的动作ID),大奖预览（itemid=数量|分隔）需要在item表判断一下性别，不符合则不显示,齿轮技能预览配置（1=齿轮itemid|齿轮itemid；2=网页url跳转功能参数类型1）,标签显示（itemid=类型1=本地化字段；|分隔；1为箭头；2为气泡）,奖池说明,商店ID(卖场malltable对应的商店id）,ProbabilityInterface中的InterfaceID，具体道具去ProbabilityDetails表格中查询,小图标图集,关闭显示,开启显示
1007,1008,19907,,无限抽取奖池,1,1000,,1=9999,10=999,1000|2000|2101|2102|2201|2202|3000|3101|3102|3201|3202|4000|4101|4102|5000|5101|5102|7000|7101|7102|6000|6101|6102,2,0=-1,5,,,,60649999=1,,,,,,6,Others/UI_Gacha_AllHeadsShowing.png,,,,,,1.该奖池为可循环抽取\n2.抽取物品后，点击确认后扣除抽奖券，获得抽取物品\n3.点击概率详情查看奖池物品概率,,6007,,,
1012,100000,199,,齿轮扭蛋,0,40,,1=9999,55=999,2000|2101|2102|2201|2202|3000|3101|3102|3201|3202|4000|4101|4102|5000|5101|5102|7000|7101|7102|7201|7202|7211|7212|6000|6101|6102|6201|6202,2,0=-1,5,102=4500,,,102=45000,,,,,,3,,,,,2=1,,1.该奖池消耗zeny抽取\n2.点击概率详情查看齿轮概率\n3.点击技能预览查看对应齿轮的技能,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1013,100010,199,,超级齿轮扭蛋,0,50,,1=9999,55=999,2000|2101|2102|2201|2202|3000|3101|3102|3201|3202|4000|4101|4102|5000|5101|5102|7000|7101|7102|7201|7202|7211|7212|6000|6101|6102|6201|6202,2,0=-1,5|0,60640030=1|103=66,,,60640030=10|103=660,,,,,,3,,,,,2=1,,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看齿轮概率\n3.点击技能预览查看对应齿轮的技能\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1014,100020,199,,小天使之翼普通奖池,0,60,,10=16,11=999,,2,0=-1,5|0,60640010=1|103=50,,,60640010=10|103=500,,,,,,1,,1100002,2=10=3,1100002=1,,1100002=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1015,100030,199,,小恶魔之翼普通奖池,0,70,,1=9,11=999,,2,0=-1,5|0,60640010=1|103=50,,,60640010=10|103=500,,,,,,1,,1100004,2=10=10,1100004=1,,1100004=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1016,100040,199,,天使波利眼罩普通奖池,0,80,,17=23,11=999,,2,0=-1,5|0,60640010=1|103=50,,,60640010=10|103=500,,,,,,1,,1080037,2=10=11,1080037=1,,1080037=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1017,100050,199,,瓦尔基里头盔普通奖池,0,90,,24=30,11=999,,2,0=-1,5|0,60640010=1|103=50,,,60640010=10|103=500,,,,,,1,,1070111,2=10=10,1070111=1,,1070111=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1018,100060,199,,鲨鱼恶霸普通奖池,0,100,,1=31,65=999,,2,0=-1,5|0,60640020=1|103=50,,,60640020=10|103=500,,,,,,5,,1020024,,1020024=1,,1020024=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1019,100070,199,,恶魔派对普通奖池,0,110,,1=17,11=999,,2,0=-1,5|0,60640000=1|103=50,,,60640000=10|103=500,,,,,,2,,1010005|1010006,2=10=21,1010005=1|1010006=1,,1010005=2=PICK_UP|1010006=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1020,200001,199,,稀有卡池,0,10,,9999=9999,999=999,,2,0=-1,0,103=450,,,103=4500,,,,,,4,,,,4030012=1|4030016=1|4010029=1|4010010=1|4010040=1,,,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1021,200002,199,,高级卡片扭蛋,0,30,,1=9999,25=999,,2,0=-1,5|0,60640041=1|103=300,,,60640041=10|103=3000,,,,,,4,,,,4010025=1|4010027=1|4030015=1|4040021=1|4060016=1,,,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1022,200003,199,,普通卡片扭蛋,0,20,,1=9999,25=999,,2,0=-1,5|0,60640040=1|103=100,,,60640040=10|103=1000,,,,,,4,,,,4010044=1|4010014=1|4020015=1|4050002=1|4020013=1,,,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1023,100025,199,,小天使之翼高级奖池,0,65,,10=16,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1100002,2=10=3,1100002=1,,1100002=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
