LevelDiff,Bonus,,,,,,,,,,,,,,,,
等级差,经验加成(百分比),,,,,,,,,,,,,,,,
26,30,,,,,,,,,,,,,,,,
25,30,,,,,,,,,,,,,,,,
24,30,,,,,,,,,,,,,,,,
23,30,,,,,,,,,,,,,,,,
22,30,,,,,,,,,,,,,,,,
21,30,,,,,,,,,,,,,,,,
20,30,,,,,,,,,,,,,,,,
19,30,,,,,,,,,,,,,,,,
18,30,,,,,,,,,,,,,,,,
17,30,,,,,,,,,,,,,,,,
16,30,,,,,,,,,,,,,,,,
15,100,,,,,,,,,,,,,,,,
14,100,,,,,,,,,,,,,,,,
13,100,,,,,,,,,,,,,,,,
12,100,,,,,,,,,,,,,,,,
11,100,,,,,,,,,,,,,,,,
10,110,,,,,,,,,,,,,,,,
9,110,,,,,,,,,,,,,,,,
8,110,,,,,,,,,,,,,,,,
7,110,,,,,,,,,,,,,,,,
6,110,,,,,,,,,,,,,,,,
5,110,,,,,,,,,,,,,,,,
4,110,,,,,,,,,,,,,,,,
3,110,,,,,,,,,,,,,,,,
2,110,,,,,,,,,,,,,,,,
1,110,,,,,,,,,,,,,,,,
0,100,,,,,,,,,,,,,,,,
-1,100,,,,,,,,,,,,,,,,
-2,100,,,,,,,,,,,,,,,,
-3,100,,,,,,,,,,,,,,,,
-4,100,,,,,,,,,,,,,,,,
-5,100,,,,,,,,,,,,,,,,
-6,70,,,,,,,,,,,,,,,,
-7,70,,,,,,,,,,,,,,,,
-8,70,,,,,,,,,,,,,,,,
-9,70,,,,,,,,,,,,,,,,
-10,70,,,,,,,,,,,,,,,,
-11,50,,,,,,,,,,,,,,,,
-12,50,,,,,,,,,,,,,,,,
-13,50,,,,,,,,,,,,,,,,
-14,50,,,,,,,,,,,,,,,,
-15,50,,,,,,,,,,,,,,,,
-16,30,,,,,,,,,,,,,,,,
-17,30,,,,,,,,,,,,,,,,
-18,30,,,,,,,,,,,,,,,,
-19,30,,,,,,,,,,,,,,,,
-20,30,,,,,,,,,,,,,,,,
-21,30,,,,,,,,,,,,,,,,
-22,30,,,,,,,,,,,,,,,,
-23,30,,,,,,,,,,,,,,,,
-24,30,,,,,,,,,,,,,,,,
-25,30,,,,,,,,,,,,,,,,
-26,30,,,,,,,,,,,,,,,,
