ID,Name,Icon,Action,ActionPassive,ActiveName,PassiveNameOne,PassiveNameTwo,UseSex,Single,BaseLevel,FriendIntimacy,Type,RequestDistance,ActiveDistance,WaitingTime,ActiveAngle,PassiveAngle,,LimitSceneType,,Fx,FxHightPercent,FxFollow
ID,图标上显示的动作名字,图标资源,动作资源（该编号不能超过1000）单人动作填写单人动作资源；双人动作填写主动方动作资源,双人动作被动方的动作资源（该编号不能超过1000）,双人动作的主动方资源名,双人动作的被动方资源名,双人动作的被动方资源名（被动方动作受主动方性别影响）,0都有，1只有男，2只有女,单人（1代表单人，0代表双人）,Base等级,好感度（仅用于双人动作）,类型（0代表单人  1代表持续性双人  2代表片段型双人，10代表宠物用，不在表情界面显示按钮）,请求距离,开始距离,被动方等待主动方靠近时间,主动方朝向被动方后，主动方顺时针旋转角度,被动方朝向主动方后，被动方顺时针旋转角度,主动方、被动方朝向说明（策划用）,不能使用的场景类型（参数填场景类型ID，对应SceneTable表SceneType列，多个场景不能使用填写示例：3|4|5|6）,不能使用场景说明（策划用）,特效ID（多个特效用|隔开）,特效根据身高的百分比高度（范围为0-1）,0.被动方，1.主动方
2,躺下,UI_Pose_tangxia.png,17,,,,,0,1,1,0,0,,,,,,,,,,,
3,赌气,UI_Pose_duqi.png,2,,,,,0,1,1,0,0,,,,,,,,,,,
4,飞吻,UI_Pose_feiwen.png,3,,,,,0,1,1,0,0,,,,,,,,,,,
5,撒娇,UI_Pose_sajiao.png,4,,,,,2,1,1,0,0,,,,,,,,,,,
6,告白,UI_Pose_gaobai.png,20,,,,,0,1,1,0,0,,,,,,,,,,,
7,卖萌,UI_Pose_maimeng.png,19,,,,,0,1,1,0,0,,,,,,,,,,,
8,嘲笑,UI_Pose_chaoxiao.png,18,,,,,0,1,1,0,0,,,,,,,,,,,
9,加油,UI_Pose_jiayou.png,21,,,,,0,1,1,0,0,,,,,,,,,,,
10,讨厌,UI_Pose_taoyan.png,22,,,,,0,1,1,0,0,,,,,,,,,,,
11,抚摸,UI_Pose_fumo.png,7,,,,,0,1,1,0,0,,,,,,,,,,,
12,鼓掌,UI_Pose_guzhang.png,8,,,,,0,1,1,0,0,,,,,,,,,,,
13,食用,UI_Pose_shiyong.png,9,,,,,0,1,1,0,0,,,,,,,,,,,
14,敬礼,UI_Pose_jingli.png,10,,,,,0,1,1,0,0,,,,,,,,,,,
15,思考,UI_Pose_sikao.png,11,,,,,1,1,1,0,0,,,,,,,,,,,
16,揉眼睛,UI_Pose_rouyanjing.png,12,,,,,2,1,1,0,0,,,,,,,,,,,
17,比心,UI_Pose_bixin.png,13,14,01_A,01_P,01_P,0,0,1,10,2,15,0.7,10,0,0,面对面,,,,,
18,拥抱,UI_Pose_yongbao.png,15,16,01_A,01_P,02_P,0,0,1,0,2,15,0.5,10,0,0,面对面,,,,,
19,亲吻,UI_Pose_qinwen.png,23,24,01_A,01_P,01_P,0,0,1,50,2,15,0.9,10,0,0,面对面,,,,,
20,击掌,UI_Pose_jizhang.png,25,25,,,,0,0,1,0,2,15,0.9,10,0,0,面对面,,,,,
21,交互,UI_Pose_jizhang.png,26,26,,,,0,0,1,0,10,15,1.5,10,0,0,面对面,,,,,
22,撒娇,UI_Pose_jizhang.png,27,,,,,0,1,1,0,10,,,,,,,,,,,
