OrnamentID,Model,Name,ItemCost,MoneyCost,OrnamentLevel
"配饰ID,可以不连续，要给同一载具预留",配饰模型名称,配饰方案名称,激活所需材，职业载具的进阶模型也配在这里，不需要配消耗,货币消耗，主要指：喵喵果实、银币、铜币,配饰品质（用于计算典藏值）
1,Mount_YangTuo0001,缤纷梦想,3024012=4|101=300000,,1
2,Mount_DaoZeiZaiJu0001,缤纷梦想,3024012=4|101=300000,,1
3,Mount_GongJianShouZaiJu0001,缤纷梦想,3024012=4|101=300000,,1
4,Mount_HuLi0001,缤纷梦想,3024012=4|101=300000,,1
5,Mount_ShiZi0001,缤纷梦想,3024012=4|101=300000,,1
6,Mount_YeZhu0001,缤纷梦想,3024012=4|101=300000,,1
7,Mount_YangTuo0001,缤纷梦想,3024012=4|101=300000,,1
8,Mount_DaoZeiZaiJu0001,缤纷梦想,3024012=4|101=300000,,1
9,Mount_GongJianShouZaiJu0001,缤纷梦想,3024012=4|101=300000,,1
10,Mount_HuLi0001,缤纷梦想,3024012=4|101=300000,,1
11,Mount_ShiZi0001,缤纷梦想,3024012=4|101=300000,,1
12,Mount_YeZhu0001,缤纷梦想,3024012=4|101=300000,,1
