LevelRange,DamUpPara
怪物等级-玩家等级,怪物伤害增加（怪物类型=伤害增加量|怪物类型=伤害增加量）
1,0=0|1=0|3=0|4=0|5=0
2,0=0|1=0|3=0|4=0|5=0
3,0=0|1=0|3=0|4=0|5=0
4,0=0|1=0|3=0|4=0|5=0
5,0=1000|1=1000|3=1000|4=1000|5=1000
6,0=1500|1=1500|3=1500|4=1500|5=1500
7,0=2000|1=2000|3=2000|4=2000|5=2000
8,0=3000|1=3000|3=3000|4=3000|5=3000
9,0=5000|1=5000|3=5000|4=5000|5=5000
10,0=8000|1=8000|3=8000|4=8000|5=8000
11,0=8800|1=8800|3=8800|4=8800|5=8800
12,0=9000|1=9000|3=9000|4=9000|5=9000
13,0=9300|1=9300|3=9300|4=9300|5=9300
14,0=9600|1=9600|3=9600|4=9600|5=9600
15,0=10000|1=10000|3=10000|4=10000|5=10000
16,0=12000|1=12000|3=12000|4=12000|5=12000
17,0=15000|1=15000|3=15000|4=15000|5=15000
18,0=17000|1=17000|3=17000|4=17000|5=17000
19,0=21000|1=21000|3=21000|4=21000|5=21000
20,0=22000|1=22000|3=22000|4=22000|5=22000
