Id,ShortId,EquipId,AttrName,Type,ShowDetail,FloorNum,AttrTips
素质属性ID,排序ID,装备属性ID（没有填-1）,用于显示的属性名,属性类型(1 一级属性， 2二级属性),二级属性是否显示详细信息（0不显示，1显示）,是否保留两位小数,属性的轻提示
127,1,-1,生命值,2,0,0,战斗中承受敌方伤害，为0时死亡
128,2,-1,魔法值,2,0,0,为0时无法释放需要消耗魔法值的技能
117,7,121,物理攻击,2,1,0,提升物理系技能的伤害能力
119,8,123,物理防御,2,1,0,减免物理系技能的伤害能力
118,9,122,魔法攻击,2,1,0,提升魔法系技能的伤害能力
120,10,124,魔法防御,2,1,0,减免魔法系技能的伤害能力
116,12,-1,移动速度,2,0,0,移动速度
93,11,-1,攻击速度,2,0,0,每1秒可进行普通攻击的次数，技能的次数会受到衰减
129,17,-1,命中,2,0,0,提升物理系技能或者普通攻击击中目标的几率
130,18,-1,闪避,2,0,0,降低敌方物理系技能或者普通攻击击中自身的几率
133,19,-1,暴击,2,0,0,提升普通攻击打出高额伤害的几率
134,20,-1,暴击防护,2,0,0,降低敌方普通攻击打出高额伤害的几率
59,21,-1,暴伤,2,0,1,提升暴击时的高额伤害
60,22,-1,暴伤防护,2,0,1,降低敌方暴击时的高额伤害
301,27,-1,固定吟唱,2,0,0,当前释放吟唱技能固定吟唱减少的百分比
302,28,-1,可变吟唱,2,0,0,当前释放吟唱技能可变吟唱减少的百分比
427,33,-1,物伤加成,2,0,1,提升物理系技能或者普通攻击的伤害
429,34,-1,魔伤加成,2,0,1,降低敌方物理系技能或者普通攻击的伤害
428,35,-1,物伤减免,2,0,1,提升魔法系技能的伤害
430,36,-1,魔伤减免,2,0,1,降低敌方魔法系技能的伤害
90,23,-1,治疗,2,0,1,治疗技能获得的治疗加成值
91,24,-1,受治疗,2,0,1,被治疗技能作用的加成值
