MedalId,Name,Dec,MaxLv,BaseMaxLv,Object,Activition,ActivitionDec,Consume,Atlas,Spt,OnceConsume,OnceConsumeZeny,LocalizationArea
勋章id,勋章名称,描述,最大等级,玩家Base等级对应的上限,作用对象（0代表玩家，1代表佣兵）,激活条件（多个类型，1代表任务激活，配置格式1=任务id；2代表Base等级，配置格式2=Base等级；3代表特定勋章等级达到要求，配置格式：3=勋章id=等级；4代表光辉勋章总等级，配置格式4=光辉总等级；5代表完成某个成就系统，配置格式5=成就id。6代表成就等级达到要求，格式：6=成就等级。7代表宠物等级，7=宠物等级。多个激活任务时用竖线隔开）,激活条件描述（和激活条件一一对应，多个条件时竖线|隔开）,"消耗(声望=A*Lv^2+B*Lv+C),填写A=B=C,均为浮点",图集,图片资源,单次晋升所需的声望值,OnceConsumeZeny,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,勇猛勋章,绵绵岛金质勋章，授予英勇威猛的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,0,2=45|1=6002050|5=30003101,等级达到45|完成任务勇猛考验|完成成就精炼大师,4=70=30,Medal,UI_Medal_Yongmeng.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=100,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
2,英灵勋章,绵绵岛金质勋章，信仰奥丁的卢恩王国授予的无上光荣,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,0,2=45|1=6002110|5=30003201,等级达到45|完成任务证明决心|完成成就魔力打洞专家,4=70=30,Medal,UI_Medal_Yingling.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=101,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
3,智慧勋章,绵绵岛金质勋章，传闻只有最聪明的冒险者才可佩戴,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,0,2=45|1=6002000|5=30003001,等级达到45|完成任务妙妙的心思|完成成就卡片达人,4=70=30,Medal,UI_Medal_Zhihui.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=102,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
4,祝福勋章,绵绵岛金质勋章，承载者喵喵族对冒险者满满的祝福,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1,2=48|1=6002040|4=13,等级达到48|完成任务遗失的美好|光辉勋章总等级13级,4=70=30,Medal,UI_Medal_Renci.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=103,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
5,奉献勋章,绵绵岛金质勋章，授予乐施行善的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,1,2=48|1=6002100|4=13,等级达到48|完成任务火线救援|光辉勋章总等级13级,4=70=30,Medal,UI_Medal_Fengxian.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=104,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
6,魅力勋章,绵绵岛金质勋章，传闻佩戴后美的像一件艺术雕塑品,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,0,2=53|1=6002060,等级达到53|完成任务魅力之谜,4=70=30,Medal,UI_Medal_Meili.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=105,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
7,疾风勋章,绵绵岛金质勋章，授予雷厉风行的冒险者,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,0,2=53|1=6002080|6=6,等级达到53|完成任务争分夺秒|成就奖杯达到开拓者Ⅰ,4=70=30,Medal,UI_Medal_Jifeng.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=106,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,
8,感恩勋章,佩特拉珍藏的魔法勋章，赠予明悟感恩真意的冒险者。勋章效果仅对宠物生效。,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,2,2=60|1=6006040|7=60,等级达到60|完成任务萌宠大侦探|宠物等级达到60,4=70=30,Medal,UI_Medal_chongwu1.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=106,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,25
9,忠诚勋章,佩特拉珍藏的金质勋章，送给与小宠物心意相通的冒险者。勋章效果仅对宠物生效。,40,49=7|60=10|70=15|80=20|90=25|100=30|110=35|120=40,2,2=60|1=6007030|5=30003901,等级达到60|完成任务忠诚之心|完成成就心之道馆馆主I,4=70=30,Medal,UI_Medal_chongwu2.png,1=20|2=20|3=20|4=50|5=50|6=50|7=50|8=50|9=50|10=50|11=60|12=60|13=60|14=60|15=60|16=80|17=80|18=80|19=80|20=80|21=100|22=100|23=100|24=100|25=100|26=100|27=100|28=100|29=100|30=100|31=100|32=100|33=100|34=100|35=100|36=100|37=100|38=100|39=100|40=106,1=3000|2=3000|3=3000|4=3000|5=3000|6=4000|7=4000|8=4000|9=4000|10=4000|11=5000|12=5000|13=5000|14=5000|15=5000|16=5000|17=5000|18=5000|19=5000|20=5000|21=10000|22=10000|23=10000|24=10000|25=10000|26=10000|27=10000|28=10000|29=10000|30=10000|31=10000|32=10000|33=10000|34=10000|35=10000|36=10000|37=10000|38=10000|39=10000|40=10000,25
