VehicleLv,Attr1,Attr2,Attr3,Attr4,Attr5
载具等级,属性1，格式：0=属性ID=属性值，如果是百分数属性，要配置万分比,属性2,属性3,属性4,属性5
0,0=27=16,0=36=16,0=47=160,0=28=10,0=37=10
1,0=27=18,0=36=18,0=47=174,0=28=17,0=37=17
2,0=27=21,0=36=21,0=47=188,0=28=25,0=37=25
3,0=27=23,0=36=23,0=47=202,0=28=32,0=37=32
4,0=27=25,0=36=25,0=47=216,0=28=39,0=37=39
5,0=27=28,0=36=28,0=47=230,0=28=46,0=37=46
6,0=27=30,0=36=30,0=47=244,0=28=54,0=37=54
7,0=27=32,0=36=32,0=47=258,0=28=61,0=37=61
8,0=27=34,0=36=34,0=47=272,0=28=68,0=37=68
9,0=27=37,0=36=37,0=47=286,0=28=75,0=37=75
10,0=27=39,0=36=39,0=47=300,0=28=83,0=37=83
11,0=27=41,0=36=41,0=47=314,0=28=90,0=37=90
12,0=27=44,0=36=44,0=47=328,0=28=97,0=37=97
13,0=27=46,0=36=46,0=47=342,0=28=104,0=37=104
14,0=27=48,0=36=48,0=47=356,0=28=112,0=37=112
15,0=27=51,0=36=51,0=47=370,0=28=119,0=37=119
16,0=27=53,0=36=53,0=47=384,0=28=126,0=37=126
17,0=27=55,0=36=55,0=47=398,0=28=133,0=37=133
18,0=27=57,0=36=57,0=47=412,0=28=141,0=37=141
19,0=27=60,0=36=60,0=47=426,0=28=148,0=37=148
20,0=27=62,0=36=62,0=47=440,0=28=155,0=37=155
21,0=27=64,0=36=64,0=47=454,0=28=162,0=37=162
22,0=27=67,0=36=67,0=47=468,0=28=170,0=37=170
23,0=27=69,0=36=69,0=47=482,0=28=177,0=37=177
24,0=27=71,0=36=71,0=47=496,0=28=184,0=37=184
25,0=27=74,0=36=74,0=47=510,0=28=191,0=37=191
26,0=27=76,0=36=76,0=47=524,0=28=199,0=37=199
27,0=27=78,0=36=78,0=47=538,0=28=206,0=37=206
28,0=27=80,0=36=80,0=47=552,0=28=213,0=37=213
29,0=27=83,0=36=83,0=47=566,0=28=220,0=37=220
30,0=27=85,0=36=85,0=47=580,0=28=228,0=37=228
31,0=27=87,0=36=87,0=47=594,0=28=235,0=37=235
32,0=27=90,0=36=90,0=47=608,0=28=242,0=37=242
33,0=27=92,0=36=92,0=47=622,0=28=249,0=37=249
34,0=27=94,0=36=94,0=47=636,0=28=257,0=37=257
35,0=27=97,0=36=97,0=47=650,0=28=264,0=37=264
36,0=27=99,0=36=99,0=47=664,0=28=271,0=37=271
37,0=27=101,0=36=101,0=47=678,0=28=278,0=37=278
38,0=27=103,0=36=103,0=47=692,0=28=286,0=37=286
39,0=27=106,0=36=106,0=47=706,0=28=293,0=37=293
40,0=27=108,0=36=108,0=47=720,0=28=300,0=37=300
