Id,Level,Name,Skill_Text,SkillID,技能效果编号（策划用）,SkillScriptPrefix,SkillScriptPostfix,DamageScript,AttackCount,CreateBuff,PVEDamageRadio,PVEStaticDam,PVEFloatSingingTime,PVEFixSingingTime,PVECoolTime,PVEGroupCoolTimeType,PVEGroupCoolTime,PVPDamageRadio,PVPStaticDam,PVPFloatSingingTime,PVPFixSingingTime,PVPCoolTime,PVPGroupCoolTimeType,PVPGroupCoolTime,LowRange,FarRange,HatredToTarget,HatredPercentToTarget,HatredToMe,HatredPercentToMe,SkillCost,SkillElementEnergy,BattleVehicle,EffectShape,EffectRange,BreakHiding,AshByLua,ConfirmScript,CostScript,CostDesc,SkillDescRep,CreateGroupBuff,Hatredcoefficient,SkillTriggerID,PVEConfigData,PVPConfigData,ServerUUIDData,CostSpiritSpheres
编号,等级,技能名字,技能备注,对应skilltable\r\n的技能id,同一个技能的多个效果,技能脚本前缀,技能脚本后缀\r\n（武器类型）,技能伤害计算脚本,每个result\r\n目标数量上限【真子弹的result这里必须填为1】,产生Buff\r\n(ID=lv=概率)加buff在技能伤害结束后,PVE伤害系数,PVE\r\n固定伤害,PVE\r\n可变吟唱时间,PVE\r\n固定吟唱时间,PVE\r\n冷却时间,PVE\r\n公共冷却时间组,PVE技能产生\r\n公共冷却时间,PVP\r\n伤害系数,PVP\r\n固定伤害,PVP\r\n可变吟唱时间,PVP\r\n固定吟唱时间,PVP\r\n冷却时间,PVP\r\n公共冷却时间组,PVP技能产生\r\n公共冷却时间,最小\r\n施法范围,最大\r\n施法范围,对目标造成的仇恨值,对目标造成的仇恨百分比,目标对我的仇恨值,目标对我的仇恨值百分比,基础消耗\r\n(属性ID=Value，不填只走CD),技能释放所需能量\r\n（字段值ElementAttr|Value）,载具战斗判断\r\n（0为只有马下技能，1为只有马上技能，2为2者都有）,作用范围形状\r\n（0.无，1.圆形，2. 矩形，3.扇形，4.箭头，5箭头带宽度）,作用范围参数\r\n（圆形为半径，矩形为长宽，扇形为角度|半径，新箭头为长宽）,是否打破隐匿\r\n（0不打破，1打破，默认1）,检查lua置灰按钮\r\n（0为不需要，1为需要）,技能施放判定\r\n（Lua）,特殊消耗（LUA）,特殊消耗描述,技能描述替换,链接型特效\r\n填buffID,仇恨系数\r\n(默认为1）,技能时机触发调用lua,配置格式为key1=value1=key2=value2=....=keyn=valuen=.....,配置格式为key1=value1=key2=value2=....=keyn=valuen=.....,程序用，不用填值，保持在最后一列,消耗气弹个数（浮动时填0）
100103401,1,普攻,宠物普攻近,100103401,1,Pet_Common/Pet_Common_PuGong01,,PetCommonPhyCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,,,,
100103501,1,普攻,提线木偶普攻,100103501,1,Pet_Common/Pet_Common_PuGong02,,PetCommonPhyCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,6,100,,,,,,0,0,0,,0,,,,,,,,,,,
100103601,1,普攻,美人鱼普攻,100103601,1,Pet_Common/Pet_Common_PuGong03,,PetCommonMagCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,6,100,,,,,,0,0,0,,0,,,,,,,,,,,
100106401,1,普攻,松鼠茉莉普攻,100106401,1,Pet_Common/Pet_Common_PuGong04,,PetCommonPhyCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,6,100,,,,,,0,0,0,,0,,,,,,,,,,,
100106801,1,普攻,冰火鹿普攻,100106801,1,Pet_Common/Pet_Common_PuGong05,,PetCommonPhyCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,6,100,,,,,,0,0,0,,0,,,,,,,,,,,
100106901,1,普攻,宠物普攻魔法近,100106901,1,Pet_Common/Pet_Common_PuGong06,,PetCommonMagCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,1.5,100,,,,,,0,0,0,,0,,,,,,,,,,,
100107001,1,普攻,宠物普攻魔法远,100107001,1,Pet_Common/Pet_Common_PuGong07,,PetCommonMagCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,6,100,,,,,,0,0,0,,0,,,,,,,,,,,
100108701,1,普攻,女武神普攻,100108701,1,Pet_Common/Pet_Common_NvWuShenPuGong,,PetCommonPhyCrit,1,,10000,0,0,0,1,0,0,10000,0,0,0,1,0,0,0,3,100,,,,,,0,0,0,,0,,,,,,,,,,,
100108801,1,普攻,剧情本女武神普攻,100108801,1,Pet_Common/Pet_Common_PetJuQingPuGong,,MonsterBoom,1,,1000,0,0,0,1,0,0,1000,0,0,0,1,0,0,0,3,100,,,,,,0,0,0,,0,,,,,,,,,,,
