ID,ExchangeType,Level,ExchangeBaseNum,ExchangeJobNum,BaseMinimumExperience,JobMinimumExperience
主键,换算类型(1为保底经验转换，2为委托券转换),base等级和job等级,单位经验/委托券换算base比例（乘10000）,单位经验/委托券换算job比例（乘10000）,保底base经验,保底job经验
1,1,30,8000,8000,786240,628992
2,1,31,8000,8000,833112,666489
3,1,32,8000,8000,875448,700358
4,1,33,8000,8000,923328,738662
5,1,34,8000,8000,971712,777369
6,1,35,8000,8000,1015560,812448
7,1,36,8000,8000,1069992,855993
8,1,37,8000,8000,1119888,895910
9,1,38,8000,8000,1170288,936230
10,1,39,8000,8000,1226232,980985
11,1,40,8000,8000,1277640,1022112
12,1,41,8000,8000,1334592,1067673
13,1,42,8000,8000,1392048,1113638
14,1,43,8000,8000,1455048,1164038
15,1,44,8000,8000,1513512,1210809
16,1,45,8000,8000,1572480,1257984
17,1,46,8000,8000,1636992,1309593
18,1,47,8000,8000,1702008,1361606
19,1,48,8000,8000,1767528,1414022
20,1,49,8000,8000,1833552,1466841
21,1,50,8000,8000,1900080,1520064
22,1,51,8000,8000,1972152,1577721
23,1,52,8000,8000,2044728,1635782
24,1,53,8000,8000,2112768,1690214
25,1,54,8000,8000,2186352,1749081
26,1,55,8000,8000,2260440,1808352
27,1,56,8000,8000,2340072,1872057
28,1,57,8000,8000,2415168,1932134
29,1,58,8000,8000,2495808,1996646
30,1,59,8000,8000,2576952,2061561
31,1,60,8000,8000,2653560,2122848
32,1,61,8000,8000,2740752,2192601
33,1,62,8000,8000,2823408,2258726
34,1,63,8000,8000,2906568,2325254
35,1,64,8000,8000,2995272,2396217
36,1,65,8000,8000,3079440,2463552
37,1,66,8000,8000,3169152,2535321
38,1,67,8000,8000,3259368,2607494
39,1,68,8000,8000,3355128,2684102
40,1,69,8000,8000,3446352,2757081
41,1,70,8000,8000,3538080,2830464
42,1,71,8000,8000,3635352,2908281
43,1,72,8000,8000,3733128,2986502
44,1,73,8000,8000,3831408,3065126
45,1,74,8000,8000,3930192,3144153
46,1,75,8000,8000,4029480,3223584
47,1,76,8000,8000,4134312,3307449
48,1,77,8000,8000,4239648,3391718
49,1,78,8000,8000,4340448,3472358
50,1,79,8000,8000,4446792,3557433
51,1,80,8000,8000,4553640,3642912
52,1,81,8000,8000,4666032,3732825
53,1,82,8000,8000,4773888,3819110
54,1,83,8000,8000,4887288,3909830
55,1,84,8000,8000,5001192,4000953
56,1,85,8000,8000,5110560,4088448
57,1,86,8000,8000,5230512,4184409
58,1,87,8000,8000,5345928,4276742
59,1,88,8000,8000,5461848,4369478
60,1,89,8000,8000,5583312,4466649
61,1,90,8000,8000,5700240,4560192
62,1,91,8000,8000,5822712,4658169
63,1,92,8000,8000,5945688,4756550
64,1,93,8000,8000,6074208,4859366
65,1,94,8000,8000,6198192,4958553
66,1,95,8000,8000,6322680,5058144
67,1,96,8000,8000,6452712,5162169
68,1,97,8000,8000,6583248,5266598
69,1,98,8000,8000,6714288,5371430
70,1,99,8000,8000,6845832,5476665
71,1,100,8000,8000,6977880,5582304
72,1,101,8000,8000,7115472,5692377
73,1,102,8000,8000,7253568,5802854
74,1,103,8000,8000,7387128,5909702
75,1,104,8000,8000,7526232,6020985
76,1,105,8000,8000,7665840,6132672
77,1,106,8000,8000,7810992,6248793
78,1,107,8000,8000,7951608,6361286
79,1,108,8000,8000,8097768,6478214
80,1,109,8000,8000,8244432,6595545
81,1,110,8000,8000,8386560,6709248
82,1,111,8000,8000,8539272,6831417
83,1,112,8000,8000,8687448,6949958
84,1,113,8000,8000,8836128,7068902
85,1,114,8000,8000,8990352,7192281
86,1,115,8000,8000,9140040,7312032
87,1,116,8000,8000,9295272,7436217
88,1,117,8000,8000,9451008,7560806
89,1,118,8000,8000,9612288,7689830
90,1,119,8000,8000,9769032,7815225
91,1,120,8000,8000,9926280,7941024
92,1,121,8000,8000,10089072,8071257
93,1,122,8000,8000,10252368,8201894
94,1,123,8000,8000,10416168,8332934
95,1,124,8000,8000,10580472,8464377
96,1,125,8000,8000,10745280,8596224
97,1,126,8000,8000,10915632,8732505
98,1,127,8000,8000,11086488,8869190
99,1,128,8000,8000,11252808,9002246
100,1,129,8000,8000,11424672,9139737
10001,2,30,4693,3755,,
10002,2,31,4693,3755,,
10003,2,32,4693,3755,,
10004,2,33,4693,3755,,
10005,2,34,4693,3755,,
10006,2,35,6062,4850,,
10007,2,36,6062,4850,,
10008,2,37,6062,4850,,
10009,2,38,6062,4850,,
10010,2,39,6062,4850,,
10011,2,40,7626,6101,,
10012,2,41,7626,6101,,
10013,2,42,7626,6101,,
10014,2,43,7626,6101,,
10015,2,44,7626,6101,,
10016,2,45,9386,7509,,
10017,2,46,9386,7509,,
10018,2,47,9386,7509,,
10019,2,48,9386,7509,,
10020,2,49,9386,7509,,
10021,2,50,11342,9074,,
10022,2,51,11342,9074,,
10023,2,52,11342,9074,,
10024,2,53,11342,9074,,
10025,2,54,11342,9074,,
10026,2,55,13493,10795,,
10027,2,56,13493,10795,,
10028,2,57,13493,10795,,
10029,2,58,13493,10795,,
10030,2,59,13493,10795,,
10031,2,60,15840,12672,,
10032,2,61,15840,12672,,
10033,2,62,15840,12672,,
10034,2,63,15840,12672,,
10035,2,64,15840,12672,,
10036,2,65,18382,14706,,
10037,2,66,18382,14706,,
10038,2,67,18382,14706,,
10039,2,68,18382,14706,,
10040,2,69,18382,14706,,
10041,2,70,21120,16896,,
10042,2,71,21120,16896,,
10043,2,72,21120,16896,,
10044,2,73,21120,16896,,
10045,2,74,21120,16896,,
10046,2,75,24053,19243,,
10047,2,76,24053,19243,,
10048,2,77,24053,19243,,
10049,2,78,24053,19243,,
10050,2,79,24053,19243,,
10051,2,80,27182,21746,,
10052,2,81,27182,21746,,
10053,2,82,27182,21746,,
10054,2,83,27182,21746,,
10055,2,84,27182,21746,,
10056,2,85,30506,24405,,
10057,2,86,30506,24405,,
10058,2,87,30506,24405,,
10059,2,88,30506,24405,,
10060,2,89,30506,24405,,
10061,2,90,34026,27221,,
10062,2,91,34026,27221,,
10063,2,92,34026,27221,,
10064,2,93,34026,27221,,
10065,2,94,34026,27221,,
10066,2,95,37742,30194,,
10067,2,96,37742,30194,,
10068,2,97,37742,30194,,
10069,2,98,37742,30194,,
10070,2,99,37742,30194,,
10071,2,100,41653,33323,,
10072,2,101,41653,33323,,
10073,2,102,41653,33323,,
10074,2,103,41653,33323,,
10075,2,104,41653,33323,,
10076,2,105,45760,36608,,
10077,2,106,45760,36608,,
