Id,Comment,Path,PlayTime,ScaleX,ScaleY,ScaleZ,FollowPostion,FollowRotation,FollowScale,CameraFxType,UseVector3OneScale,EffectLodGroup
特效ID,效果说明（策划用）,特效路径（从prefabs开始）,播放时间,X轴缩放,Y轴缩放,Z轴缩放,位置跟随（0.不跟随1.跟随）,旋转跟随（0.不跟随1.跟随2.仅第一帧跟随）,大小跟随（0.不跟随1.跟随）,全屏特效类型（0不是全屏特效，1触发型全屏特效，2持续型全屏特效，3阿修罗霸凰拳效果）,是否为流光特效（流光特效必须填1）,特效LOD管理组
1,点击反馈,Creature/Fx_skill_Nomal_dianjifankui_01,-1,1,1,1,1,0,1,,,
2,减去,Creature/Common/Fx_Common_Nomal_JianQu_01,1.2,1,1,1,1,0,1,,,
3,移动点,Creature/Common/Fx_Common_Nomal_MovePoint_01,-1,1,1,1,1,0,1,,,
4,基础升级,Creature/Common/Fx_Levelup_Nomal_base_01,2,1,1,1,1,0,1,,,
5,职业升级,Creature/Common/Fx_Levelup_Nomal_job_01,1.5,1,1,1,1,0,1,,,
6,箭头范围,Creature/Common/Fx_Skill_Caution_JianTouFanWei_01,-1,1,1,1,1,0,1,,,
7,矩形范围,Creature/Common/Fx_Skill_Caution_JuXingFanWei_01,-1,1,1,1,1,0,1,,1,
8,扇形范围1,Creature/Common/Fx_Skill_Caution_ShanXingFanWei_01,-1,1,1,1,1,0,1,,1,
9,扇形范围2,Creature/Common/Fx_Skill_Caution_ShanXingFanWei_02,-1,1,1,1,1,1,1,,1,
10,施法范围,Creature/Common/Fx_Skill_Caution_ShiFaFanWei_01,-1,1,1,1,1,0,1,,1,
11,圆形范围1,Creature/Common/Fx_Skill_Caution_YuanXingFanWei_01,-1,1,1,1,1,0,1,,1,
12,圆形范围2,Creature/Common/Fx_Skill_Caution_YuanXingFanWei_02,-1,1,1,1,1,0,1,,1,
13,服事传送门,Creature/Common/Fx_Skill_Nomal_Acolyte_ChuanSongMen_01,-1,1,1,1,1,0,1,,,
14,光之障壁,Creature/Skill/Fx_Skill_Priest_GuangZhiZhangBi_01,-1,1,1,1,1,0,1,,,4
15,服事受击,Creature/Common/Fx_Skill_Nomal_Acolyte_Hit01,1,1,1,1,1,0,1,,,
16,服事圣火释放,Creature/Common/Fx_Skill_Normal_Acolyte_Release_End06,0.8,1,1,1,1,0,1,,,
17,服事圣光释放,Creature/Common/Fx_Skill_Normal_Acolyte_Release_End06,0.8,1,1,1,1,0,1,,,
18,服事私服圣光释放,Creature/Common/Fx_Skill_Normal_Acolyte_Release_End06,0.8,1,1,1,1,0,1,,,
19,服事圣火吟唱,Creature/Common/Fx_Skill_Normal_Acolyte_Release_Loop06,-1,1,1,1,1,0,1,,,
20,服事圣光吟唱,Creature/Common/Fx_Skill_Normal_Acolyte_Release_Loop06,-1,1,1,1,1,0,1,,,
21,服事私服圣光吟唱,Creature/Common/Fx_Skill_Normal_Acolyte_Release_Loop06,-1,1,1,1,1,0,1,,,
22,白色治愈术,Creature/Skill/Fx_Skill_Acolyte_ZhiYuShu_01,2.2,1,1,1,1,0,1,,,
23,土受击,Creature/Common/Fx_Skill_Nomal_BeHit_Earth01,1,1,1,1,1,0,1,,,
24,火受击,Creature/Common/Fx_Skill_Nomal_BeHit_Fire01,1,1,1,1,1,0,1,,,
25,冰受击,Creature/Common/Fx_Skill_Nomal_BeHit_Ice01,1,1,1,1,1,0,1,,,
26,念受击,Creature/Common/Fx_Skill_Nomal_BeHit_Idea01,1,1,1,1,1,0,1,,,
27,光受击,Creature/Common/Fx_Skill_Nomal_BeHit_ShengGuang01,0.65,1,1,1,1,0,1,,,
28,雷受击,Creature/Common/Fx_Skill_Nomal_BeHit_Thunder01,1,1,1,1,1,0,1,,,
29,无受击,Creature/Common/Fx_Skill_Nomal_BeHit_Wu02,1,1,1,1,1,0,1,,,
30,冰冻状态,Creature/Common/Fx_Skill_Nomal_Buff_BingDong_01,-1,1,1,1,1,0,1,,,
31,暗之障壁,Creature/Common/Fx_Skill_Nomal_Magician_AnZhiZhangBi_01,-1,1,1,1,1,0,1,,,4
32,法师火释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end01,2,1,1,1,1,0,1,,,
33,法师冰释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end02,2,1,1,1,1,0,1,,,
34,法师雷释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end03,2,1,1,1,1,0,1,,,
35,法师土释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end04,2,1,1,1,1,0,1,,,
36,法师念释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end05,2,1,1,1,1,0,1,,,
37,法师暗释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end06,1,1,1,1,1,0,1,,,
38,法师火吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop01,-1,1,1,1,1,0,1,,,
39,法师冰吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop02,-1,1,1,1,1,0,1,,,
40,法师雷吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop03,-1,1,1,1,1,0,1,,,
41,法师土吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop04,-1,1,1,1,1,0,1,,,
42,法师念吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop05,-1,1,1,1,1,0,1,,,
43,法师暗吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop06,-1,1,1,1,1,0,1,,,
44,mvp特效1,Creature/Common/Fx_Skill_Nomal_mvp,4.5,1,1,1,1,0,1,,,
45,mvp特效2,Creature/Common/Fx_Skill_Nomal_Mvp_1,3.5,1,1,1,1,0,1,,,
46,预警,Creature/Common/Fx_Skill_Normal_Warning_01,-1,1,1,1,1,0,1,,,
47,吟唱圈,Creature/Common/Fx_Skill_SingingCircle_Area01,-1,1,1,1,1,0,1,,,
48,目标吟唱圈,Creature/Common/Fx_Skill_SingingCircle_Target01,-1,1,1,1,1,0,1,,,
49,天波反伤光环1,Creature/Skill/Fx_AngelBoli_Skill_AntiInjury_01,-1,1,1,1,1,0,1,,,
50,天波反伤光环2,Creature/Skill/Fx_AngelBoli_Skill_AntiInjury_02,-1,1,1,1,1,0,1,,,
51,天波狂暴,Creature/Skill/Fx_AngelBoli_Skill_Violent_01,-1,1,1,1,1,0,1,,,
52,巴风特攻击,Creature/Skill/Fx_BaFengTe_Skill_Attack_01,0.55,1,1,1,1,1,1,,,
53,黑暗吐息1,Creature/Skill/Fx_BaFengTe_Skill_DarkBreath_01,1.8,1,1,1,1,1,1,,,
54,黑暗吐息2,Creature/Skill/Fx_BaFengTe_Skill_DarkBreath_02,2,1,1,1,1,1,1,,,
55,黑暗打击,Creature/Skill/Fx_BaFengTe_Skill_DarkStrike_01,2.2,1,1,1,1,1,1,,,
56,黑暗沼泽,Creature/Skill/Fx_BaFengTe_Skill_DarkWater_01,-1,1,1,1,1,1,1,,,
57,地狱审判,Creature/Skill/Fx_BaFengTe_Skill_HellJudgement_01,1.2,1,1,1,1,1,1,,,
58,巴风特怒雷狂击,Creature/Skill/Fx_BaFengTe_Skill_ThunderStrike_01,0.7,1,1,1,1,1,1,,,
59,巴风特怒雷狂击循环,Creature/Skill/Fx_BaFengTe_Skill_ThunderStrike_Cast_01,-1,1,1,1,1,1,1,,,
60,巴风特狂暴,Creature/Skill/Fx_BaFengTe_Skill_Violent_01,-1,1,1,1,1,1,1,,,
61,霸邪之阵释放,Creature/Skill/Fx_Skill_Acolyte_FuShi_BaXieZhiZhen_01,3,1,1,1,1,0,1,,,
62,霸邪之阵触发,Creature/Skill/Fx_Skill_Acolyte_FuShi_BaXieZhiZhen_02,0.35,1,1,1,1,1,1,,,
63,光猎,Creature/Skill/Fx_Skill_Acolyte_FuShi_Buff_GuangLie_01,-1,1,1,1,1,0,1,,,
64,光耀之堂地板,Creature/Skill/Fx_Skill_Priest_GuangYaoZhiTang_01,-1,1,1,1,1,0,1,,,11
65,光耀之堂释放,Creature/Skill/Fx_Skill_Priest_GuangYaoZhiTang_02,3,1,1,1,1,0,1,,,
66,神圣之光,Creature/Skill/Fx_Skill_Acolyte_FuShi_ShenShengZhiGuang_01,0.8,1,1,1,1,1,1,,,
67,天使之赐福,Creature/Skill/Fx_Skill_Acolyte_FuShi_TianShiZhiCiFu_01,3.5,1,1,1,1,0,1,,,
68,天使之光,Creature/Skill/Fx_Skill_Acolyte_FuShi_TianShiZhiGuang_01,2.2,1,1,1,1,1,1,,,
69,天使之障壁,Creature/Skill/Fx_Skill_Acolyte_FuShi_TianShiZhiZhangBi_01,3.5,1,1,1,1,0,1,,,
70,冲锋箭1,Creature/Skill/Fx_Skill_Archer_GongJianShou_ChongFengJian_01,1.3,1,1,1,1,1,1,,,
71,冲锋箭2,Creature/Skill/Fx_Skill_Archer_GongJianShou_ChongFengJian_02,-1,1,1,1,1,0,1,,,
73,二连矢,Creature/Skill/Fx_Skill_Archer_GongJianShou_ErLianShi_01,0.7,1,1,1,1,1,1,,,
75,箭矢（冲锋箭）,Creature/Skill/Fx_Skill_Archer_GongJianShou_JianShi_01,-1,1,1,1,1,0,1,,,
76,箭矢（普攻）,Creature/Skill/Fx_Skill_Archer_GongJianShou_JianShi_02,-1,1,1,1,1,0,1,,,
78,箭雨（射出）,Creature/Skill/Fx_Skill_Archer_GongJianShou_JianYu_01,1,1,1,1,1,0,1,,,
79,箭雨（射下）,Creature/Skill/Fx_Skill_Archer_GongJianShou_JianYu_02,2,1,1,1,1,0,1,,,
81,心神凝聚,Creature/Skill/Fx_Skill_Archer_GongJianShou_XinShenNingJu_01,0.6,1,1,1,1,0,1,,,
82,地震,Creature/Skill/Fx_Skill_GoblinLeader_EarthQuake_01,3.8,1,1,1,1,0,1,,,
83,保护,Creature/Skill/Fx_Skill_GoblinLeader_Protect_01,360,1,1,1,1,0,1,,,
84,猛击,Creature/Skill/Fx_Skill_GoblinLeader_Slam_01,1,1,1,1,1,0,1,,,
85,武器提升,Creature/Skill/Fx_Skill_GoblinLeader_WeaponUp_01,-1,1,1,1,1,1,1,,,
86,暴风雪,Creature/Skill/Fx_Skill_Magician_MoFaShi_BaoFengXue_01,6,1,1,1,1,0,1,,,1
87,冰冻术击中,Creature/Skill/Fx_Skill_Magician_MoFaShi_BingDongShu_Hit01,2,1,1,1,1,0,1,,,
88,冰冻术沿途,Creature/Skill/Fx_Skill_Magician_MoFaShi_BingDongShu_Zd01,-1,1,1,1,1,0,1,,,
89,冰箭术,Creature/Skill/Fx_Skill_Magician_MoFaShi_BingJianShu_01,1.2,1,1,1,1,0,1,,,
90,火狩,Creature/Skill/Fx_Skill_Magician_MoFaShi_Buff_HuoShou_01,-1,1,1,1,1,0,1,,,
91,能量外套,Creature/Skill/Fx_Skill_Magician_MoFaShi_Buff_NengLiangWaiTao_01,-1,1,1,1,1,1,1,,,
92,火箭术01,Creature/Skill/Fx_Skill_Magician_MoFaShi_HuoJianShu_01,1.5,1,1,1,1,0,1,,,
93,火球术,Creature/Skill/Fx_Skill_Magician_MoFaShi_HuoQiuShu_01,0.5,1,1,1,1,0,1,,,
94,火球术途中,Creature/Skill/Fx_Skill_Magician_MoFaShi_HuoQiuShu_Zd01,-1,1,1,1,1,0,1,,,
95,火焰之壁底座,Creature/Skill/Fx_Skill_Magician_MoFaShi_HuoYanZhiBi_01,11,1,1,1,1,0,1,,,
96,火焰之壁火墙,Creature/Skill/Fx_Skill_Magician_MoFaShi_HuoYanZhiBi_02,15,1,1,1,1,0,1,,,3
97,雷暴术,Creature/Skill/Fx_Skill_Magician_MoFaShi_LeiBaoShu_01,2,1,1,1,1,0,1,,,1
98,雷击术,Creature/Skill/Fx_Skill_Magician_MoFaShi_LeiJiShu_01,0.7,1,1,1,1,0,1,,,
99,怒雷强击,Creature/Skill/Fx_Skill_Magician_MoFaShi_NuLeiQiangJi_01,4.4,1,1,1,1,0,1,,,1
100,圣灵召唤,Creature/Skill/Fx_Skill_Magician_MoFaShi_ShengLingZhaoHuan_Zd01,-1,1,1,1,1,0,1,,,
101,石化术,Creature/Skill/Fx_Skill_Magician_MoFaShi_ShiHuaShu_01,1.4,1,1,1,1,0,1,,,
102,曼陀罗花普攻,Creature/Skill/Fx_Skill_ManTuoLuoMoHua_Attack_01,1.7,1,1,1,1,0,1,,,
103,mvp出现,Creature/Skill/Fx_Skill_MVP_Summon_01,2,1,1,1,1,0,1,,,
104,mvp传送,Creature/Skill/Fx_Skill_MVP_Telesport_01,2,1,1,1,1,0,1,,,
105,剑士普攻,Creature/Skill/Fx_Skill_Nomal_Swordman_Hit02,1.4,1,1,1,1,0,1,,,
106,初心者紧急治疗,Creature/Skill/Fx_Skill_Novice_ChuXinZhe_JinJiZhiLiao_01,1.8,1,1,1,1,0,1,,,
107,初心者重击1,Creature/Skill/Fx_Skill_Novice_ChuXinZhe_ZhongJi_01,0.7,1,1,1,1,0,1,,,
108,初心者重击2,Creature/Skill/Fx_Skill_Novice_ChuXinZhe_ZhongJi_02,1,1,1,1,1,0,1,,,
109,霸体释放,Creature/Skill/Fx_Skill_Swordman_JianShi_BaTi_01,0.6,1,1,1,1,0,1,,,
110,霸体持续,Creature/Skill/Fx_Skill_Swordman_JianShi_BaTi_02,-1,1,1,1,1,0,1,,,
111,冲锋途中,Creature/Skill/Fx_Skill_Knight_ChongFeng_01,-1,1,1,1,1,1,1,,,
112,冲锋击中,Creature/Skill/Fx_Skill_Knight_ChongFeng_02,1.2,1,1,1,1,0,1,,,
113,钢铁意志触发护盾特效,Creature/Skill/Fx_Skill_Knight_GangTieYiZhi_01,-1,1,1,1,1,1,1,,,
114,手推车撞击,Creature/Skill/Fx_Skill_Merchant_ShouTuiCheZhuangJi_01,-1,1,1,1,1,1,1,,,
