ProductId,ProductName,Desc,ProductType,Currency,Price,AwardId,AwardExtraId,Text,Platform,Area,IsSale,Check,SameTab
直购礼包ID（1开头为韩国用，2开头为中国用）,ProductName（确保唯一性）,描述(策划使用),1普通道具；2激活月卡；3普通返利月卡；4超级返利月卡；5通行证；6超级通行证；7限购直购礼包；11特权签到,货币类型,数值,"奖励内容（数组，1为awardid，2为itemid,1=awardid=mailid）","c超出限购奖励内容（数组，1为awardid，2为itemid,1=awardid=mailid）",描述文字,应用平台，unity默认用1，1=GooglePlay，2=AppStore/ios，3=OneStore，4=腾讯Android,地区（0为中国，1是日本，2是港澳台，3为韩国，4为北美，5为东南亚）,0为当前游戏内不售卖，1为游戏内当前售卖,用于服务器支付这边核对是否该笔订单合法（1为节日活动相关1=Acttype，3=1是通行证),识别（同一地区不同平台为同一个礼包的标识为第一个礼包的ProductId）
200000,com.tencent.ro.gold_60,喵喵果实礼包1（30）,1,CNY,6,1=8058001=7010,,,4,0,1,,
200001,com.tencent.ro.gold_500,喵喵果实礼包2（500）,1,CNY,50,1=8058002=7010,,,4,0,1,,
200002,com.tencent.ro.gold_980,喵喵果实礼包3（980）,1,CNY,98,1=8058003=7010,,,4,0,1,,
200003,com.tencent.ro.gold_1980,喵喵果实礼包4（1980）,1,CNY,198,1=8058004=7010,,,4,0,1,,
200004,com.tencent.ro.gold_3280,喵喵果实礼包5（3280）,1,CNY,328,1=8058005=7010,,,4,0,1,,
200005,com.tencent.ro.gold_6480,喵喵果实礼包6（6480）,1,CNY,648,1=8058006=7010,,,4,0,1,,
200100,com.tencent.ro.ios.gold_60,喵喵果实礼包1（30）,1,CNY,6,1=8058001=7010,,,2,0,1,,
200101,com.tencent.ro.ios.gold_500,喵喵果实礼包2（500）,1,CNY,50,1=8058002=7010,,,2,0,1,,
200102,com.tencent.ro.ios.gold_980,喵喵果实礼包3（980）,1,CNY,98,1=8058003=7010,,,2,0,1,,
200103,com.tencent.ro.ios.gold_1980,喵喵果实礼包4（1980）,1,CNY,198,1=8058004=7010,,,2,0,1,,
200104,com.tencent.ro.ios.gold_3280,喵喵果实礼包5（3280）,1,CNY,328,1=8058005=7010,,,2,0,1,,
200105,com.tencent.ro.ios.gold_6480,喵喵果实礼包6（6480）,1,CNY,648,1=8058006=7010,,,2,0,1,,
200201,com.tencent.ro.aos.m1,普通返利月卡（中国，安卓）,3,CNY,30,1=3800710,1=8059202=7029,,4,0,1,5=0,
200202,com.tencent.ro.aos.m2,超级返利月卡（中国，安卓）,4,CNY,98,1=3800720,1=8059203=7030,,4,0,1,6=0,
200203,com.tencent.ro.aos.m3,卡普拉贵宾卡（中国，安卓）,2,CNY,50,1=7501000,1=8059201=7028,,4,0,1,4=0,
200301,com.tencent.ro.ios.m1,普通返利月卡（中国，IOS）,3,CNY,30,1=3800710,1=8059202=7029,,2,0,1,5=0,
200302,com.tencent.ro.ios.m2,超级返利月卡（中国，IOS）,4,CNY,98,1=3800720,1=8059203=7030,,2,0,1,6=0,
200303,com.tencent.ro.ios.m3,卡普拉贵宾卡（中国，IOS）,2,CNY,50,1=7501000,1=8059201=7028,,2,0,1,4=0,
200204,com.tencent.ro.aos.m4,嘉年华通行证,5,CNY,45,,1=3800720=7022,,4,0,1,3=1,
200205,com.tencent.ro.aos.m5,嘉年华超级通行证,6,CNY,168,,1=3800710=7023,,4,0,1,3=1,
200304,com.tencent.ro.ios.m4,嘉年华通行证,5,CNY,45,,1=3800720=7022,,2,0,1,3=1,
200305,com.tencent.ro.ios.m5,嘉年华超级通行证,6,CNY,168,,1=3800710=7023,,2,0,1,3=1,
200401,com.tencent.ro.aos.a1,备战成长箱子,7,CNY,6,1=6380000=7024,1=8059001=7025,,4,0,1,1=19,200401
200402,com.tencent.ro.aos.a2,,7,CNY,6,1=6380000=7024,1=8059001=7025,,4,0,1,1=19,200402
200403,com.tencent.ro.aos.a3,冒险加速箱子,7,CNY,35,1=6380010=7024,1=8059002=7025,,4,0,1,1=19,200403
200404,com.tencent.ro.aos.a4,萌新加速箱子,7,CNY,35,1=6380020=7024,1=8059002=7025,,4,0,1,1=19,200404
200405,com.tencent.ro.aos.a5,回归加速箱子1-14,7,CNY,35,1=6380030=7024,1=8059002=7025,,4,0,1,1=19,200405
200406,com.tencent.ro.aos.a6,回归加速箱子15,7,CNY,35,1=6380040=7024,1=8059002=7025,,4,0,1,1=19,200406
200407,com.tencent.ro.aos.a7,,7,CNY,70,1=6380010=7024,1=8059003=7025,,4,0,1,1=19,200407
200408,com.tencent.ro.aos.a8,,7,CNY,70,1=6380010=7024,1=8059003=7025,,4,0,1,1=19,200408
200409,com.tencent.ro.aos.a9,,7,CNY,70,1=6380010=7024,1=8059003=7025,,4,0,1,1=19,200409
200410,com.tencent.ro.aos.a10,,7,CNY,70,1=6380010=7024,1=8059003=7025,,4,0,1,1=19,200410
200411,com.tencent.ro.aos.a11,装备强化箱子1-13,7,CNY,99,1=6380050=7024,1=8059004=7025,,4,0,1,1=19,200411
200412,com.tencent.ro.aos.a12,装备强化箱子14,7,CNY,99,1=6380060=7024,1=8059004=7025,,4,0,1,1=19,200412
200413,com.tencent.ro.aos.a13,装备强化箱子15,7,CNY,99,1=6380070=7024,1=8059004=7025,,4,0,1,1=19,200413
200414,com.tencent.ro.aos.a14,,7,CNY,99,1=6380070=7024,1=8059004=7025,,4,0,1,1=19,200414
200415,com.tencent.ro.aos.a15,卡片狂欢箱子,7,CNY,175,1=6380080=7024,1=8059005=7025,,4,0,1,1=19,200415
200416,com.tencent.ro.aos.a16,,7,CNY,175,1=6380080=7024,1=8059005=7025,,4,0,1,1=19,200416
200417,com.tencent.ro.aos.a17,,7,CNY,175,1=6380080=7024,1=8059005=7025,,4,0,1,1=19,200417
200418,com.tencent.ro.aos.a18,,7,CNY,175,1=6380080=7024,1=8059005=7025,,4,0,1,1=19,200418
200501,com.tencent.ro.ios.a1,备战成长箱子,7,CNY,6,1=6380000=7024,1=8059001=7025,,2,0,1,1=19,200401
200502,com.tencent.ro.ios.a2,,7,CNY,6,1=6380000=7024,1=8059001=7025,,2,0,1,1=19,200402
200503,com.tencent.ro.ios.a3,冒险加速箱子,7,CNY,35,1=6380010=7024,1=8059002=7025,,2,0,1,1=19,200403
200504,com.tencent.ro.ios.a4,萌新加速箱子,7,CNY,35,1=6380020=7024,1=8059002=7025,,2,0,1,1=19,200404
