ID,Comment,Name,ColumnInfo,RecordCount,FilteredRecordCount,Type,CountsPerPage,RecordType,RewardTiming,Reward,IsRewardOnly,DungeonID,Job,RankTips,CustomSaveTlogTiming,PermissionLevel,ProtocolType,DelSurplusRank
ID,注释,子榜单名字,每一列的信息（枚举，单独配表，用竖线隔开ID），映射到表LeaderBoardColumnInfoTable,最大记录条数,只看好友和公会的最大记录条数,类型（1：个人排行，2：队伍排行，3：公会排行）,每页的记录条数,记录类型（1.历史最高分，2.当前分数）,发放奖励的时机（1：保存当前记录到新副本的时候发放，2：清空当前记录的时候发放，3：每周指定时间发放，比如3=4=2000表示周四20点发放，4：每天指定时间发放，比如4=0=0500表示每天早上5点发放）,配置各个排名区间对应的奖励邮件ID，格式为“起始名次=结束名次=奖励邮件ID”,奖励是否去重（一个玩家只能拿最高的那份奖励）,副本id（无法直接对应的留空）,职业id（无法直接对应的留空）,排行榜Tips描述（问号按钮）,自定义保存tlog的时机，留空则再排行榜保存备份或清空时打 \r\n  0：无\r\n  1：每天凌晨5点\r\n  2：每周（=周几）凌晨5点\r\n  3：每月1日凌晨5点\r\n  4：每月16日凌晨5点\r\n  5：活动开始后每间隔14天凌晨5点 \r\n  6：活动开始后每间隔91凌晨5点  \r\n  7: 自定义（=月=日）凌晨5点\r\n  8是每周自定义时间（=周几=时间0000）\r\n  9每天0点,权限等级（1：所有人，2：好友，3：公会成员）,协议类型（0：通用协议，1：公会协议）,"是否删除最大记录条数之后的榜数据,0不删除 1删除"
100,极限挑战-总排行,总排行,1001|1002|1003|1004,100,20,2,20,1,,,,903|933|963|903|933|963|904|934|964|906|936|966|907|937|967|908|938|968|909|939|969|910|940|970|911|941|971,,,,1|2|3,0,
110,极限挑战-哥布林首领挑战,哥布林首领挑战,1001|1002|1003|1004,100,20,2,20,1,,,,903|933|963,,,,1|2|3,0,
120,极限挑战-海盗之王挑战,海盗之王挑战,1001|1002|1003|1004,100,20,2,20,1,,,,904|934|964,,,,1|2|3,0,
130,极限挑战-兽人酋长挑战,兽人酋长挑战,1001|1002|1003|1004,100,20,2,20,1,,,,906|936|966,,,,1|2|3,0,
140,极限挑战-俄赛里斯挑战,俄赛里斯挑战,1001|1002|1003|1004,100,20,2,20,1,,,,907|937|967,,,,1|2|3,0,
150,极限挑战-虎王挑战,虎王挑战,1001|1002|1003|1004,100,20,2,20,1,,,,908|938|968,,,,1|2|3,0,
160,极限挑战-巴风特挑战,巴风特挑战,1001|1002|1003|1004,100,20,2,20,1,,,,909|939|969,,,,1|2|3,0,
170,极限挑战-德古拉男爵挑战,德古拉男爵挑战,1001|1002|1003|1004,100,20,2,20,1,,,,910|940|970,,,,1|2|3,0,
180,极限挑战-法老王挑战,法老王挑战,1001|1002|1003|1004,100,20,2,20,1,,,,911|941|971,,,,1|2|3,0,
200,单人天地树守卫战,综合,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,2000|3000|4000|7000|5000|6000,,,1|2|3,0,
201,单人天地树守卫战,剑士系,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,2000,,,1|2|3,0,
202,单人天地树守卫战,服事系,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,3000,,,1|2|3,0,
203,单人天地树守卫战,魔法师系,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,4000,,,1|2|3,0,
204,单人天地树守卫战,弓手系,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,7000,,,1|2|3,0,
205,单人天地树守卫战,盗贼系,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,5000,,,1|2|3,0,
206,单人天地树守卫战,商人系,1|2|3|4|5,100,20,1,20,1,,,,2169|2170|2171|2172|2173,6000,,,1|2|3,0,
210,双人天地树守卫战,双人天地树,1001|1002|1003|1004,100,20,2,20,1,,,,2179|2180|2181|2182|2183,,,,1|2|3,0,
400,擂台1F,擂台1F,11|13|12,100,20,1,20,1,,,,6101,,,,2|3,0,
401,擂台2F,擂台2F,11|13|12,100,20,1,20,1,,,,6102,,,,2|3,0,
402,擂台3F,擂台3F,11|13|12,100,20,1,20,1,,,,6103,,,,2|3,0,
403,擂台4F,擂台4F,11|13|12,100,20,1,20,1,,,,6104,,,,2|3,0,
404,擂台5F,擂台5F,11|13|12,100,20,1,20,1,,,,6105,,,,2|3,0,
405,擂台6F,擂台6F,11|13|12,100,20,1,20,1,,,,6106,,,,2|3,0,
700,时尚杂志,时尚杂志,1|2|3|4|5,200,0,1,20,1,,1=1=5000|2=3=5001|4=10=5002|11=20=5003|21=50=5004,,,,,,,,
800,公会排行-精英组,总积分,3001|3002|3003|3004,20,20,3,20,1,,,,,,,,1,1,
801,公会排行-精英组,狩猎积分,3001|3002|3003|3004,20,20,3,20,1,,,,,,,,1,1,
802,公会排行-精英组,烹饪积分,3001|3002|3003|3004,20,20,3,20,1,,,,,,,,1,1,
803,公会排行-精英组,匹配赛积分,3001|3002|3003|3004,20,20,3,20,1,,,,,,,,1,1,
804,公会排行-精英组,攻城战积分,3001|3002|3003|3004,20,20,3,20,1,,,,,,,,1,1,
810,公会排行-荣誉组,总积分,3001|3002|3003|3004,100,100,3,20,1,,,,,,,,1,1,
811,公会排行-荣誉组,狩猎积分,3001|3002|3003|3004,100,100,3,20,1,,,,,,,,1,1,
812,公会排行-荣誉组,烹饪积分,3001|3002|3003|3004,100,100,3,20,1,,,,,,,,1,1,
813,公会排行-荣誉组,匹配赛积分,3001|3002|3003|3004,100,100,3,20,1,,,,,,,,1,1,
814,公会排行-荣誉组,攻城战积分,3001|3002|3003|3004,100,100,3,20,1,,,,,,,,1,1,
1000,时尚度排行榜,时尚度,21|22|23,100,50,1,20,1,3=4=0000,1=1=5010|2=2=5011|3=3=5012|4=10=5013,,,,排行榜前十名的冒险者将获得排名奖励，排名越高奖励越好，奖励每周四0点会刷新,9,1|2|3,0,
