OnlyID,Area,Base,FreeRebatePackage,TimeId
唯一id（每一行id不可更改，要加新的需要用没用过的id）,地区（0国内、1日本、2港澳台、3韩国、4北美、5东南亚）,达成条件充值数额,返利礼包主键（GiftPackageTable中MajorID),时间编号（老累充不配，新累充因为是限时，需要配时间id）
1,3,8500,300001,
2,3,34000,300002,
3,3,85000,300003,
4,3,135000,300004,
5,3,254000,300005,
6,3,510000,300006,
7,3,850000,300007,
8,0,50,300001,
9,0,200,300002,
10,0,500,300003,
11,0,800,300004,
12,0,1500,300005,
13,0,3000,300006,
14,0,5000,300007,
15,3,0,300008,801
16,3,5000,300009,801
17,3,17000,300010,801
18,3,51000,300011,801
19,3,119000,300012,801
20,3,300000,300013,801
21,3,590000,300014,801
22,3,950000,300015,801
47,3,1310000,300016,801
23,0,0,300008,801
24,0,30,300009,801
25,0,100,300010,801
26,0,300,300011,801
27,0,700,300012,801
28,0,1750,300013,801
29,0,3520,300014,801
30,0,5640,300015,801
48,0,7750,300016,801
50,4,10,300001,
51,4,45,300002,
52,4,155,300003,
53,4,375,300004,
54,4,670,300005,
55,4,1045,300006,
56,4,1560,300007,
