ID,Comment,Drop
EntityID,注释,掉落进度
29501,浮勒盗虫,5
29502,玛勒盗虫,5
29503,邪骸战士,5
29504,锹形虫,5
29505,大脚熊,5
29506,长老树精,5
29507,红蝙蝠,5
29508,邪骸矿工,5
29509,兽人腐尸,5
29510,转转蛋,5
29511,麦斯特,5
29512,邪骸兽人,5
29513,重金属蝗虫,5
29514,妖道,5
29515,异变鱼,5
29516,巨象甲虫,5
29517,巨石怪,5
29518,南瓜先生,5
29519,将军魔碑,5
29520,鬼火,5
29521,鬼女,5
29522,梦魇,5
29523,黑蛇,5
29524,土人,5
29525,九尾狐,5
29526,兹诺克,5
29527,僵尸,5
29528,沙漠之狼,5
29529,流浪之狼,5
29530,傀儡娃娃,5
29531,米洛斯,5
29532,马尔杜克,5
29533,毕帝特地龙,5
29534,灰森灵,5
29535,毕帝特飞龙,5
29536,大斧犬妖,5
29537,榔头犬妖,5
29538,刺锤犬妖,5
29539,犬妖弓箭手,5
29540,狂暴野猫,5
29541,帕莎纳,5
29542,恶灵,5
29543,小恶魔,5
29544,伞蜥,5
29545,爆钻伞蜥,5
29546,梅纳海葵,5
29547,蓝鼠,5
29548,邪骸食人鱼,5
29549,达拉蛙,5
29550,狸猫,5
29551,溜溜猴,5
29552,罗达蛙,5
29553,魔菇,5
29554,树精,5
29555,松鼠,5
29556,螳螂,5
29557,土拨鼠,5
29558,狼,5
29559,野猪,5
29560,艾斯蜘蛛,5
29561,风魔巫师,5
29562,卡那多斯,5
29563,刺锤哥布灵,5
29564,大斧哥布灵,5
29565,链锤哥布灵,5
29566,榔头哥布灵,5
29567,摩卡,5
29568,毒魔菇,5
29569,喷射哥布灵,5
29570,直升机哥布灵,5
29571,白鼠,5
29572,猎蝇,5
29573,青蛇,5
29574,吸血蝙蝠,5
29575,蝎子,5
29576,秃鹰,5
29577,沙漠幼狼,5
29578,海葵,5
29579,水母,5
29580,剑鱼,5
29581,邪骸海盗,5
29582,马克,5
29583,螃蟹,5
29584,乌贼,5
29585,大嘴鸟,5
29586,人鱼,5
29587,人鱼士兵,5
29588,基尔瑟,5
29589,黑狐,5
29590,白幽灵,5
29591,木乃伊,5
29592,狂暴木乃伊,5
29593,海神,5
29594,杰洛米,5
29595,诺可伊,5
29596,蛇女伊丝,5
29597,刺锤哥布灵,600
29598,大斧哥布灵,600
29599,链锤哥布灵,600
29600,榔头哥布灵,600
29601,精英沙漠幼狼,40
29602,精英水母,40
29603,精英剑鱼,40
29604,精英邪骸海盗,40
29605,精英马克,40
29606,精英螃蟹,40
29607,精英乌贼,40
29608,精英大嘴鸟,40
29609,精英人鱼,40
29610,精英人鱼士兵,40
29611,精英基尔瑟,40
29612,精英黑狐,40
29613,精英白幽灵,40
29614,精英木乃伊,40
29615,精英黑蚁,40
29616,精英白蚁,40
29617,精英工蚁,40
29618,精英兵蚁,40
29619,精英海神,40
29620,精英杰洛米,40
29621,精英诺可伊,40
29622,精英风魔巫师,40
29623,精英卡那多斯,40
29624,精英蛇女伊丝,40
29625,精英卡那多斯,40
29626,精英摩卡,40
29627,精英绿苍蝇,40
29628,精英绿腐尸,40
29629,精英腐尸,40
29630,精英赤苍蝇,40
