Id,Type,Text,ServerLevel,Remark
主键,类型,文本内容,服务器等级，向下兼容,备注，策划用
1,1,因为曾经帮助七王建立卢恩王国，茵培莉亚家族受封皇室驱魔师，他们的驱魔力量世代相传，目前在世的正是宝妮·茵培莉亚。,30,冷知识
2,1,米德加兹教廷拥有了至高的立法权利，可以给人定罪，但是执行力量却被骑士团捏在手中，因此多半时间里，骑士团和教会的关系不和睦。,30,冷知识
3,1,位于吉芬高塔的吉芬塔评议会由巫师公会和魔法师公会组成，主要负责研究古代遗物，同时研究新兴魔法。3,30,冷知识
4,1,卢恩大陆目前被发现的区域主要有三大王国，分别是信仰奥丁的卢恩-米德加兹王国，信仰芙蕾雅的阿卢纳贝兹教国，以及依赖蒸汽机和钢铁力量的休发兹发德共和国。,30,冷知识
5,1,刺客公会和卢恩皇室达成了某种协议，表面上是皇室机关《沙漠守望者》，为王国提供情报网服务，而作为交换，刺客公会成员某种程度上拥有法律豁免权——实际上这是为了缓解卢恩皇室在梦罗克区域执法力量孱弱的缓兵之计。,30,冷知识
6,1,阿尔奇商盟由传奇商人阿尔奇薛创立，经营着卢恩皇室庞大的经济网络，进出口生意，内贸，卢恩的一切资源都在他们掌握之中，同时商盟也遵守着创立人写下的信条进行。,30,冷知识
7,1,铁匠的打铁和制造技术其实是从休发兹发德共和国传来的，铁匠公会的总部在共和国境内，艾尔贝塔的商人公会只是得到授权的分部。,30,冷知识
8,1,探索者协会是以冒险，探索为主的赏金猎人机构，旗下拥有神射手公会，弓箭手公会等著名组织。协会人才辈出，著名考古杂志《布里刊月刊》的最初编撰者也是从此协会中诞生的。,30,冷知识
9,1,相传梦罗克城的由来是因为地底封印着魔神梦罗克，而梦罗克城主实际上是看守封印的守墓一族，并没有执法权力，梦罗克城堡则是封印本体，但没有人进去过……,30,冷知识
10,1,"卢恩皇室引以为傲的""THE.WAR""伟大战争，说的是数千年前，七王奋起，合力杀死妄图吞噬中庭的巨蛇耶梦加得，并最终建立卢恩王国的事情。但不幸的是似乎皇室也因此受到了魔神的诅咒……",30,冷知识
11,1,根据《所罗门之钥》中记载，魔神梦罗克曾经复活过一次，而出手相救的是带着头巾的刺客们，至此，刺客公会在梦罗克扎根下来，并开始管理这片区域。,30,冷知识
12,1,共和国史书记载，大贤者巴雷蒙德晚年拒绝与雷根贝勒合作，隐居在自家的大宅中。而近年却传出大贤者在卢恩王国现身的传闻……,30,冷知识
13,1,于A.W781年的发生的佣兵之乱事件中，愤怒的佣兵们闯入了巴雷蒙德大宅，但迎接他们的只有仿生人偶，大贤者本人神秘的在宅邸中消失了。,30,冷知识
14,1,普隆德拉曾经遭到过不明军团的袭击，而他们的目标似乎是埋藏在皇宫地下的巨大密室……,30,冷知识
15,1,卢恩王国是冒险风气鼎盛的国家，皇室旗下有六大机构，每日向冒险者发布专属委托，他们旗下则设立了各自的招新机构，（剑士公会就是骑士团的招新机构）这些机构向所有初心者开放。,30,冷知识
,,,,
