ID,SkillId,ProfessionId
主键,技能ID,职业Id
1,100001,1000
2,100002,1000
3,100003,1000
4,100005,1000
5,200001,2000
6,200002,2000
7,200003,2000
8,200004,2000
9,200005,2000
10,200006,2000
11,200007,2000
12,200009,2000
13,200010,2000
14,200011,2000
15,200012,2101
16,200013,2101
17,200022,2000
18,200027,2000
19,210101,2101
20,210103,2101
21,210104,2101
22,210105,2101
23,210106,2101
24,210107,2101
25,210108,2101
26,210109,2101
27,210112,2101
28,210113,2101
29,210114,2101
30,210115,2101
31,210119,2101
32,210201,2102
33,210202,2102
34,210203,2102
35,210204,2102
36,210205,2102
37,210206,2102
38,210207,2102
39,210208,2102
40,210209,2102
41,220101,2201
42,220102,2201
43,220103,2201
44,220105,2201
45,220106,2201
46,220107,2201
47,220108,2201
48,220109,2201
49,220110,2201
50,220111,2201
51,220112,2201
52,220113,2201
53,220114,2201
54,220115,2201
55,220116,2201
56,220201,2202
57,220202,2202
58,220203,2202
59,220206,2202
60,220207,2202
61,220208,2202
62,220209,2202
63,220210,2202
64,220211,2202
65,220212,2202
66,220213,2202
67,220214,2202
68,400001,4000
69,400002,4000
70,400003,4000
71,400004,4000
72,400005,4000
73,400006,4000
74,400007,4000
75,400008,4000
76,400009,4000
77,400010,4000
78,400011,4000
79,400012,4000
80,400013,4000
81,400014,4000
82,400015,4101
83,400016,4101
84,400017,4101
85,400030,4000
86,410101,4101
87,410102,4101
88,410103,4101
89,410104,4101
90,410105,4101
91,410106,4101
92,410108,4101
93,410110,4101
94,410111,4101
95,410112,4101
96,410114,4102
97,410201,4102
98,410202,4102
99,410204,4102
100,410205,4102
101,410206,4102
102,410207,4102
103,410208,4102
104,410209,4102
105,410210,4102
106,410212,4102
107,300001,3000
108,300002,3000
109,300003,3000
110,300004,3000
111,300005,3000
112,300006,3000
113,300007,3000
114,300008,3000
115,300009,3000
116,300010,3000
117,300011,3000
118,300012,3000
119,300013,3000
120,300014,3101
121,300015,3101
122,300016,3101
123,300025,3000
124,310101,3101
125,310102,3101
126,310103,3101
127,310104,3101
128,310105,3101
129,310106,3101
130,310107,3101
131,310108,3101
132,310109,3101
133,310111,3101
134,310112,3101
135,310114,3101
136,310201,3102
137,310202,3102
138,310203,3102
139,310204,3102
140,310205,3102
141,310206,3102
142,310207,3102
143,310208,3102
144,310209,3102
145,310210,3102
146,310211,3102
147,320101,3201
148,320102,3201
149,320103,3201
150,320104,3201
151,320105,3201
152,320106,3201
153,320107,3201
154,320108,3201
155,320109,3201
156,320110,3201
157,320111,3201
158,320112,3201
159,320113,3201
160,320201,3202
161,320202,3202
162,320203,3202
163,320204,3202
164,320205,3202
165,320206,3202
166,320207,3202
167,320208,3202
168,320209,3202
169,320210,3202
170,500001,5000
171,500002,5000
172,500003,5000
173,500005,5000
174,500007,5000
175,500008,5000
176,500009,5000
177,500010,5000
178,500011,5000
179,500022,5000
180,500024,5000
181,500025,5000
182,510101,5101
183,510102,5101
184,510103,5101
185,510104,5101
186,510105,5101
187,510106,5101
188,510107,5101
189,510109,5101
190,510110,5101
191,510111,5102
192,510112,5101
193,510113,5101
194,510115,5101
195,510116,5101
196,510201,5102
197,510202,5102
198,510203,5102
199,510204,5102
200,510205,5102
201,510206,5102
202,510207,5102
203,510208,5102
204,510209,5102
205,700001,7000
206,700002,7000
207,700003,7000
208,700004,7000
209,700005,7000
210,700006,7000
211,700008,7000
212,700009,7000
213,700010,7000
214,700017,7000
215,710103,7101
216,710106,7101
217,710107,7101
218,710108,7101
219,710109,7101
220,710110,7101
221,710112,7101
222,710114,7101
223,710116,7101
224,710118,7101
225,710120,7101
226,710122,7101
227,710125,7101
228,710128,7101
229,710132,7101
230,710201,7102
231,710202,7102
232,710203,7102
233,710204,7102
234,710205,7102
235,710207,7102
236,710208,7102
237,710212,7102
238,710217,7102
239,710218,7102
240,710219,7102
241,710220,7102
242,710224,7102
243,600001,6000
244,600002,6000
245,600003,6000
246,600004,6000
247,600005,6000
248,600006,6000
249,600008,6000
250,600009,6000
251,600010,6000
252,600012,6000
253,600013,6000
254,600014,6000
255,600019,6000
256,610101,6101
257,610102,6101
258,610103,6101
259,610104,6101
260,610105,6101
261,610106,6101
262,610107,6101
263,610108,6101
264,610112,6101
265,610113,6101
266,610114,6101
267,610115,6101
268,610116,6101
269,610117,6101
270,610118,6101
271,610120,6101
272,610121,6101
273,610122,6000
274,610123,6101
275,610201,6102
276,610202,6102
277,610203,6102
278,610204,6102
279,610205,6102
280,610206,6102
281,610208,6102
282,610210,6102
283,610211,6102
284,610212,6102
285,610216,6102
286,610217,6102
287,610218,6102
