Event,Comment,Value,AIEvent,UIEvent
事项,注释,值,发事件名,是否更新UI内容（备注用，否0是1）
HalloweenStart,万圣尖叫夜场景允许进入时间,215500,,1
HandyReady,万圣游戏一规则介绍开始时间,220000,HandyReady,1
HandyProcess,魔物观察游戏开始,220100,,1
HandyOneProcess,魔物观察第一题开启时间,220100,HandyOneProcess,1
HandyOneProcessQuestion,魔物观察第一题问题时间,220120,HandyOneProcessQuestion,1
HandyOneResult,魔物观察第一题公布答案时间,220140,HandyOneResult,1
HandyTwoProcess,魔物观察第二题开启时间,220150,HandyTwoProcess,1
HandyTwoProcessQuestion,魔物观察第二题问题时间,220210,HandyTwoProcessQuestion,1
HandyTwoResult,魔物观察第二题公布答案时间,220230,HandyTwoResult,1
HandyThreeProcess,魔物观察第三题开启时间,220240,HandyThreeProcess,1
HandyThreeProcessQuestion,魔物观察第三题问题时间,220300,HandyThreeProcessQuestion,1
HandyThreeResult,魔物观察第三题公布答案时间,220320,HandyThreeResult,1
HandyResult,魔物观察发放奖励时间,220330,HandyResult,1
BlockingReady,万圣游戏二规则介绍开始时间,220500,BlockingReady,1
BlockingProcess,淘气之泉游戏警示开始,220600,BlockingProcess,1
BlockingRealStart,淘气之泉游戏正式开始,220630,BlockingRealStart,
BlockingProcessEnd,淘气之泉结束时间,220845,BlockingProcessEnd,1
BlockingResult,淘气之泉发放奖励时间,220845,BlockingResult,1
ChooseReady,万圣游戏三规则介绍开始时间,221000,ChooseReady,1
ChooseOneProcess,抉择游戏第一轮开始时间,221100,ChooseOneProcess,1
ChooseOneResult,抉择游戏第一轮结算时间,221130,ChooseOneResult,1
ChooseTwoProcess,抉择游戏第二轮开始时间,221140,ChooseTwoProcess,1
ChooseTwoResult,抉择游戏第二轮结算时间,221210,ChooseTwoResult,1
ChooseThreeProcess,抉择游戏第三轮开始时间,221220,ChooseThreeProcess,1
ChooseThreeResult,抉择游戏第三轮结算时间,221250,ChooseThreeResult,1
ChooseFourProcess,抉择游戏第四轮开始时间,221300,ChooseFourProcess,1
ChooseFourResult,抉择游戏第四轮结算时间,221330,ChooseFourResult,1
ChooseFifthProcess,抉择游戏第五轮开始时间,221340,ChooseFifthProcess,1
ChooseFifthResult,抉择游戏第五轮结算时间,221410,ChooseFifthResult,1
ChooseResult,抉择游戏发放奖励时间,221420,ChooseResult,1
GhostReady,万圣游戏四规则介绍开始时间,221500,GhostReady,1
GhostProcess,幽灵冒险开始时间,221600,GhostProcess,1
GhostProcessEnd,幽灵冒险结束时间,221830,GhostProcessEnd,1
GhostResult,幽灵冒险发放奖励时间,221830,GhostResult,1
HalloweenProcessCelebration,万圣尖叫夜收尾盛典活动开始,221900,HalloweenProcessCelebration,1
HalloweenResult,万圣尖叫夜评价,221950,,1
HalloweenTakePhotoReady,万圣尖叫夜拍照倒计时,221950,,1
HalloweenTakePhoto,万圣尖叫夜拍照,221955,,1
HalloweenKickReady,万圣尖叫夜踢人倒计时,221955,,1
HalloweenKick,万圣尖叫夜场景踢人时间,222000,,1
HalloweenKickPosition,万圣尖叫夜场景踢人位置,7=126=10.32=59.5=180=180,,
HalloweenPartySceneId,万圣尖叫夜场景ID,402,,
HalloweenGameCount,万圣尖叫夜游戏个数,4,,
HalloweenLeaveSceneId,万圣尖叫夜自己离开场景ID,7,,
HalloweenPhotoAnnouceId,拍照倒计时显示,HALLOPARTY_PHOTO_MESSAGE,,
HalloweenKickAnnouceId,踢人倒计时显示,HALLOPARTY_KICK_MESSAGE,,
HandyUIMessage,魔物观察UI主题字显示,HALLOPARTY_ONE_TOPIC,,
BlockingUIMessage,淘气之泉UI主题字显示,HALLOPARTY_TWO_TOPIC,,
ChooseUIMessage,抉择游戏UI主题字显示,HALLOPARTY_THREE_TOPIC,,
GhostUIMessage,幽灵冒险UI主题字显示,HALLOPARTY_FOUR_TOPIC,,
HandyOneAnswer,魔物观察第一题答案,B,,
HandyTwoAnswer,魔物观察第二题答案,A,,
HandyThreeAnswer,魔物观察第三题答案,C,,
HandySuccessAward,魔物观察成功者奖励（支持配置多个，用|分开）,8212070,,
HandySuccessMail,魔物观察成功者邮件,5501,,
HandyFailAward,魔物观察失败者奖励（支持配置多个，用|分开）,8212080,,
HandyFailMail,魔物观察失败者邮件,5502,,
BlockingSuccessAward,淘气之泉成功者奖励（支持配置多个，用|分开）,8212070,,
BlockingSuccessMail,淘气之泉成功者邮件,5503,,
BlockingFailAward,淘气之泉失败者奖励（支持配置多个，用|分开）,8212080,,
BlockingFailMail,淘气之泉失败者邮件,5504,,
ChooseSuccessAward,抉择游戏成功者奖励（支持配置多个，用|分开）,8212070,,
ChooseSuccessMail,抉择游戏成功者邮件,5505,,
ChooseFailAward,抉择游戏失败者奖励（支持配置多个，用|分开）,8212080,,
ChooseFailMail,抉择游戏失败者邮件,5506,,
GhostSuccessAward,幽灵冒险成功者奖励（支持配置多个，用|分开）,8212070,,
GhostSuccessMail,幽灵冒险成功者邮件,5507,,
GhostFailAward,幽灵冒险失败者奖励（支持配置多个，用|分开）,8212080,,
GhostFailMail,幽灵冒险失败者邮件,5508,,
HalloweenAward,万圣尖叫夜最终参与奖励（支持配置多个，用|分开）,8212090,,
HalloweenMail,万圣尖叫夜最终参与奖励邮件,5509,,
HalloweenPartyDate,万圣尖叫夜开放日期,20211029,,
HalloweenEnterPhotoTime,万圣尖叫夜入场拍照倒计时（s),10,,
HalloweenEnterAnnounceTime,万圣尖叫夜入场活动栏通告倒计时（h）,24,,
HalloweenActivityId,万圣尖叫夜活动ID,4001,,
ChooseMaxNoticeId,抉择游戏对人数最多区域的提示语（开始时间内生效）,29106,,
ChooseMaxNoticeCd,抉择游戏对人数最多区域的提示语触发间隔时间,5,,
ChooseMaxNoticeDuration,抉择游戏对人数最多区域的提示语触发持续时间,5,,
HandyFailBuff,第一个游戏失败buff（失败条件为答错1道题或没答题）,4504301,,
ChooseFailBuff,第三个游戏失败buff（失败条件为站在人最多区域达到1次或没选区域）,4504301,,
LoseQuaBuff,失去参赛资格buff（切换分线/掉线重连/迟到入场）,4504401,,
GhostFailBuff,第四个游戏失败buff,4501801,,
BlockingFailTagBuff,第二个游戏失败buff,4500901,,
BlockingTransformBuff,淘气之泉变身buff,4501601,,
GhostTransformBuff,幽灵冒险变身buff,4501701,,
CelebrationBuff,庆典结束变身buff,4502601,,
HalloweenSceneExp,泡点经验增加（时间间隔=经验获取量=头顶显示）,30=6100030=HALLOPARTY_EXP_NOTICE,,
HalloweenChildId,万圣节小孩NPC检测用ID,30144|30145|30146|30147|30148|30149|30150,,
HalloweenBattleChildId,万圣节小孩战斗检测用ID,20151|20152|20153,,
HalloweenRefreshChildBuffId,万圣节个人小孩刷新BuffID,2910501=10|2910601=10|2910701=10|2910801=10|2910901=10|2911001=10|2911101=10,,
HalloweenRefreshChildCD,万圣节个人小孩刷新CD(秒),300,,
HalloweenRefreshChildLimit,单个场景同时刷新小孩上限,70,,
HalloweenChildCandyGive,给糖剧本事件名,HalloweenChild,,
HalloweenChildCandyAward,给糖奖励（支持配置多个，用|分开）,8210100,,
HalloweenChildCandyConsume,单次给糖消耗道具,2080023=2,,
HalloweenRefreshChildEvent,玩家进刷新小孩场景触发器事件名,RefreshChild,,
HalloweenOutSceneChildEvent,玩家出场景触发器事件名,OutSceneChild,,
HalloweenChildActivityScene,万圣节要糖活动场景id,7|16|21|47|26|50,,
HalloweenChildMonsterBuffID,万圣节战斗小孩刷新用ID,30145=2911601|30148=2911701|30150=2911801,,
