ID,StyleID,BGImgs,Contents,ShareID,StoryType,PicText,Scale,LocalizationArea
ID,样式,背景图资源名（在此文件夹下的图片名clientproj\Assets\artres\Resources\UI\Texture\PlotIcon）,文本内容,分享索引,图片类型,图片描述,图片缩放,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1,1,UI_PlotIcon_LetterCommon_02.png,要提取的货品：\r\n编号为#3F33364和#9I75122货物，分别放在总部的<color=$$Blue$$>1A</color>和2C货柜处。XXX注意XXX，货柜处年久失修，可能有魔物出没，请注意安全！！,,,,,
2,33,UI_PlotIcon_LetterCommon_08.png,姓名：露克希（lux）\r\n性别：女(F)\r\n隶属：刺客工会\r\n乐园团评价：SS\r\n\r\n刺客工会新生代中公认最强的女刺客。\r\n多次接取A级以上任务并成功完成，多次遇到危机总能全身而退。,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,7,UI_PlotIcon_LetterCommon_03.png,<color=$$Yellow$$>【圣痕】：</color>\r\n源自于教国的一种控心术，可以让人对于某个神圣的念想顶礼膜拜，甚至献上生命。\r\n\r\n表象特征：\r\n中咒者身体某个地方会生长出<color=$$Red$$>红色的扭曲符文</color>，并以此为中心向四周扩散。\r\n被解咒的人说如同进入\r\n|圣洁的幻象，自己像是沉睡在其中不愿醒来的人，同时耳边传来令人意乱神迷的幻音……,,,,,
8,33,UI_PlotIcon_LetterCommon_08.png,宝妮·茵培莉亚\r\n\r\n驱魔记录#12  驱魔失败\r\n\r\n导致重大后果，剥夺皇室驱魔师身份，驱逐出首都。\r\n\r\n\r\n执行人：<color=$$Red$$>赛依连</color>,,,,,
9,33,UI_PlotIcon_LetterCommon_08.png,<color=$$Black$$>证词收集人：赛依连\r\n<color=$$Red$$>目击者A</color>：火烧起来前，我听到里面有</color>激烈的打斗，<color=$$Black$$>但距离太远，没看清楚……</color>\r\n\r\n<color=$$Red$$>B目击者</color><color=$$Black$$>：有一个</color>白色长袍的女人<color=$$Black$$>最可疑！她带着古怪的白色面具……拎着一个巨大的银质箱子。</color>\r\n\r\n<color=$$Red$$>C目击者</color><color=$$Black$$>：亲眼所见！白色长袍的女人挥挥手，一个</color>女刺客就倒下了！<color=$$Black$$>然后白衣女人抢走了她手中的箱子。</color>,,,,,
10,0,UI_PlotIcon_Letter_03.png,,,,,,
11,13,UI_PlotIcon_Letter_02.png,“蔬菜小姐Jump，N2，W3，BINGO！”,,,,,
12,0,UI_PlotIcon_Letter_01.png,,,,,,
13,0,UI_PlotIcon_Icon_07.png,,,,,,
14,0,UI_PlotIcon_Icon_06.png,,,,,,
15,0,UI_PlotIcon_Icon_05.png,,,,,,
16,0,UI_PlotIcon_Icon_04.png,,,,,,
17,0,UI_PlotIcon_Icon_03.png,,,,沉睡数百年而又苏醒的印记刺客，竟然衍生出了自我的意志,,
18,0,UI_PlotIcon_Icon_01.png,,,,,,
19,0,UI_PlotIcon_Icon_02.png,,,,,,
20,0,UI_PlotIcon_Image_04.png,,,,,,
21,0,UI_PlotIcon_Image_03.png,,,,建国神话的诅咒，是神的惩罚，还是人心的险恶,,
22,0,UI_PlotIcon_Image_02.png,,,,,,
23,0,UI_PlotIcon_Image_01.png,,,,,,
24,0,UI_PlotIcon_Image_05.png,,,,,,
25,0,UI_PlotIcon_Image_07.png,,,,月夜下的女人……到底在谋划什么,,
26,0,UI_PlotIcon_Image_06.png,,,,可以吞噬海洋的巨大蟒蛇~♪被七色的老鹰吞噬~♪光荣的老鹰在大海上筑巢~♪,,
27,0,UI_PlotIcon_Image_08.png,,,,我跟那个戴白面具的大姐姐一样，会唱《建国神话》噢！,,
28,0,UI_PlotIcon_Plot_1_1.png|UI_PlotIcon_Plot_1_2.png,,,,,,
29,0,UI_PlotIcon_Plot_2_1.png|UI_PlotIcon_Plot_2_2.png,,,,,,
30,0,UI_PlotIcon_Plot_3_1.png|UI_PlotIcon_Plot_3_2.png,,,,,,
31,0,UI_PlotIcon_Plot_4_1.png|UI_PlotIcon_Plot_4_2.png,,,,,,
32,0,UI_PlotIcon_Letter_06.png,,,,,,
33,0,UI_MonsterCard_Huangjinchong.png,,,,,,
34,0,UI_PlotIcon_Image_22.png,,,,妄想窥视未来的人，呵，贪婪是原罪,,
35,0,UI_PlotIcon_Image_21.png,,,,我只是在还清欠下的人情而已,,
36,0,UI_PlotIcon_Image_15.png,,,,这是……由佩雷斯彼女还是印记刺客？,,
37,0,UI_PlotIcon_Image_16.png,,,,,,
38,0,UI_PlotIcon_Image_26.png,,,,,,
39,0,UI_PlotIcon_Image_27.png,,,,,,
40,0,UI_PlotIcon_Image_25.png,,,,,,
1001,7,UI_PlotIcon_LetterCommon_03.png,《元素习性》·章节4\r\n\r\n<color=$$Red$$>★火精灵阿格尼</color>\r\n性情非常好斗，力量至上。\r\n\r\n<color=$$Blue$$>★水精灵阿库娅</color>\r\n性格温和，没有安全感，喜欢钻进瓶子里。\r\n|<color=$$Green$$>★风精灵梵图斯</color>\r\n性格豪爽，爱看宿主出糗。\r\n\r\n<color=$$Yellow$$>★地精灵泰拉</color>\r\n性格老实，惧怕火精灵，但喜欢水精灵。\r\n\r\n,,,,,
1002,7,UI_PlotIcon_LetterCommon_03.png,《希波克拉底誓言》·卷12\r\n\r\n<color=$$Red$$>★ </color>夸赛魔\r\n<color=$$Gray$$>喜好附身年轻男子，以其痛苦为食物。\r\n 通常会将宿主带回无底深渊位面折磨。<color=$$Red$$>惧怕银质物品。</color></color>\r\n|<color=$$Red$$>★ </color>巴洛魔\r\n<color=$$Gray$$>只会存在于深渊位面，恶魔的高级形态，惧怕祷文。</color>\r\n\r\n<color=$$Red$$>★ </color>原魔\r\n<color=$$Gray$$>只会存在于深渊位面，是恶魔的初始形态，惧怕圣光。</color>\r\n\r\n,,,,,
1003,5,UI_PlotIcon_LetterCommon_05.png,商人入会守则\r\n\r\n<color=$$Red$$>★ </color>顾客利益至上。\r\n<color=$$Red$$>★ </color>尊重其他商人。\r\n<color=$$Red$$>★ </color>忌欺骗。\r\n<color=$$Red$$>★ </color>保护顾客隐私。\r\n\r\n<color=$$Red$$>本人许诺遵循以上誓言，加入商人工会</color>\r\n,,,,,
1004,6,UI_PlotIcon_LetterCommon_04.png,你违反了基础信条：<color=$$Red$$>不擅自打开委托物</color>，转职考试失败了。,,,,,
1005,4,UI_PlotIcon_LetterCommon_06.png,<color=$$Red$$>§</color>亲爱的团长：\r\n         <color=$$Yellow$$>见字如面</color>\r\n\r\n你面前这位冒险者，\r\n在考核中表现优异。\r\n\r\n推荐加入<color=$$Yellow$$>乐园团</color>，为卢恩王国效力。\r\n\r\n            <color=$$Red$$>♥</color>你的老友,,,,,
1006,6,UI_PlotIcon_LetterCommon_04.png,小家伙，桌子旁边那些东西你带走吧\r\n那是我留给你的，你肯定用得到\r\n我们还会再见面的，以另一种形式……,,,,,
1007,6,UI_PlotIcon_LetterCommon_04.png,蔬菜小姐\n心心相印,,,,,
1008,6,UI_PlotIcon_LetterCommon_04.png,\r\n三角相连，取其中心，可知石板所在 （已废弃）,,,,,
1009,6,UI_PlotIcon_LetterCommon_04.png,取到放置衣服、石心、药草的三个点\r\n把它们连成了三角形\r\n他的中心点就是放置石板的位置（已废弃）,,,,,
1010,1,UI_PlotIcon_LetterCommon_02.png,8月9日 晴\n此地气候湿润，最适合植被生长，我发现即使一朵普通的花朵，也比其他任何地方健硕了不少。妙勒尼山脉真是一个奇妙的地方啊，我决定继续深入庙妙勒尼山脉深处考察。,,,,,
1011,1,UI_PlotIcon_LetterCommon_02.png,8月11日 阵雨\n很遗憾，就在今天，亚度尼斯被魔物咬伤，最终不治而亡。我要对这件事情负主要责任，让我们为亚度尼斯默哀！但是，考察也取得了重大进展，我们发现这里的魔物比其他地方都狂暴，大家都建议继续深入调查，我们只能暂时抛下亚度尼斯了……,,,,,
1012,6,UI_PlotIcon_LetterCommon_04.png,走到这里，我发现了一些血迹，艾登教授和助教发生了什么？我不知道，我决定再往前面看看！——塞缪尔,,,,,
1013,6,UI_PlotIcon_LetterCommon_04.png,终于看到了教授和助教，他们正朝着山脉深处走去，我决定跟上去看看。请立即跟来！        ——塞缪尔,,,,,
1014,1,UI_PlotIcon_LetterCommon_02.png,8月13日 阴\n得天独厚的自然环境，使得这里的自然资源十分丰富，如果开发将会带来无尽的财富，但同时也会让这片雨林遭受到毁灭性的破坏！故而教授不建议在这里做开发。然而，助教却不以为然，因此，他们之间产生了矛盾……,,,,,
