OrnamentID,OrnamentName,LevelLimit,ItemCost,NpcID,EntityLimit,CollectionScoreLimit,AchievementPointLimit,AchievementLimit,TaskLimit,AchievementLevelLimit,EntityHandBookLimit,NpcDialog,,EquipCost,LocalizationArea
配饰ID,配饰名称,兑换等级,兑换所需材料,关联npcID,击杀魔物解锁（EntityID=数量）,兑换所需典藏值,兑换所需成就点,达成成就解锁,达成任务解锁,成就徽章等级解锁,魔物图鉴等级解锁,npc提示语句,备注,兑换所需装备,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1070061,破产之哀,,1170041=1|1290008=60|1290014=60|101=90000,3019,,,,,,,,,艾尔贝塔,,
1070007,爱心发夹,,1290055=9|2063001=250|3090001=6|1290054=1860|101=300000,3019,,,,,,3,,,艾尔贝塔,,
1070015,丸子头饰,,1270006=8|2063002=300|1290020=4|1280006=30|101=1200000,3019,,,,,,,,,艾尔贝塔,,
1070059,向日葵头饰,,1290055=9|3051103=20|1290015=1240|101=300000,3019,,,,,,,,,艾尔贝塔,,
1070017,头箍,,1270002=4|1290055=12,3019,,,,,,,,,艾尔贝塔,,
1070068,出游帽子,,1270010=7|2063002=300|1290031=30|1290053=930|101=1200000,3019,,,,,,,,,艾尔贝塔,,
1070110,猫耳贝雷帽,,1200055=1|1270010=8|2063002=520|1290028=10|2060002=10|101=2000000,3019,,,,,,,,,艾尔贝塔,1070042=1,
1090015,西瓜冰棒,,1270002=4|2063001=250|1290026=2|1290039=6|101=300000,3019,,,,,,,,,艾尔贝塔,,
1070080,爱心泳镜,,1290055=16|2063001=310|2060003=6|101=300000,3019,,,,,,,,,艾尔贝塔,1070066=1,
1080004,天使翅膀耳饰,,1270010=9|1290041=70|1290016=2170|101=2000000,3002,,,,,,,,,普隆德拉,1070001=1|1080002=1,
1080017,恶魔翅膀耳饰,,1270010=10|1280001=70|1290007=2170|101=2000000,3002,,,,,,,,,普隆德拉,1070008=1|1080002=1,
1070272,1周年皇冠,,1200093=1|1290014=210|1280007=210|1290053=210|101=100000,3002,,,,,,,,,普隆德拉,,9
1080091,1周年甜心眼镜,,1200094=1|1280011=500|1290015=500|1290008=500|101=200000,3002,,,,,,,,,普隆德拉,,9
1090069,1周年小蛋糕,,1200095=1|1290026=2|1290011=750|1290013=750|101=300000,3002,,,,,,,,,普隆德拉,,9
1100035,1周年气球束,,1200092=1|1270010=3|1270011=10|2063002=100|1290053=1280|101=1000000,3002,,,,,,,,,普隆德拉,,9
1070035,圣职之帽,,1170037=1|1290015=60|1290017=60|101=90000,3002,,,,,,,,,普隆德拉,,
1070020,厨师帽,,1270002=3|1290006=740|1290017=1860|101=300000,3002,,,,,,,,,普隆德拉,,
1070024,普隆德拉军帽,,1290055=9|1280007=740|1290014=1860|101=300000,3002,,,,,,,,,普隆德拉,,
1070016,波利帽,,1290055=2|1290013=310|1290018=310|101=60000,3002,,,,,,,,,普隆德拉,,
1070031,蛋壳帽,,1290055=3|1290016=170|1290012=170|101=60000,3002,,,,,,,,,普隆德拉,,
1070051,触角头饰,,1290055=3|1290014=170|1290008=170|101=60000,3002,,,,,,,,,普隆德拉,,
1070026,紫蝶发带,,1270002=4|1290055=12,3002,,,,,,,,,普隆德拉,,
1070013,红蝶发带,,1270002=4|1290055=12,3002,,,,,,,,,普隆德拉,,
1090004,含在嘴里的棒棒糖,,1290055=9|1270001=10|1280004=370|1290013=1240|101=300000,3002,,,,,,,,,普隆德拉,,
1080005,红色小发带,,1270006=1|2063001=250|1270004=2|2060003=10|101=300000,3002,,,,,,6,,,普隆德拉,,
1080062,彩虹护目镜,,2091505=6,3002,,,,,,,,,普隆德拉,,9
1080076,哥布灵首领假面,,,3002,,,,,,,,,普隆德拉,1080068=1|1080069=1|1080070=1|1080071=1|1080072=1|1080073=1|1080074=1|1080075=1,9
1070025,菲力卡的头箍,,1170024=1|1270006=12|2063002=430|1290021=7|3090001=70|1270009=70|101=2000000,3001,,,,,,,,,MVP,,
1070008,恶魔发圈,,1170005=1|1270010=7|2063002=350|1270012=20|1270008=70|101=2000000,3001,,,,,,,,,MVP,1070017=1,
1090008,愤怒的嘴,,1190002=1|1270010=7|2063002=350|1270005=9|3090006=70|1280002=1740|101=2000000,3001,,,,,,,,,MVP,,
1070072,首领冠冕,,1170028=1|1270006=12|2063002=430|1280012=7|3090002=70|1280010=70|101=2000000,3001,,,,,,,,,MVP,,
1070027,后冠,,1170013=1|1270010=7|2063002=430|1290021=8|1270003=70|1290006=430|101=2000000,3001,,,,,,,,,MVP,,
1070049,领导者头箍,,1170027=1|1270010=7|2063002=430|1290020=7|1280006=70|1280010=70|101=2000000,3001,,,,,,,,,MVP,,
1070033,黄金帽,,1170003=1|1270006=12|2063002=430|1270005=4|1270012=10|3090004=70|101=2000000,3001,,,,,,,,,MVP,,
1070028,王冠,,1170019=1|1270010=7|2063002=430|1290019=8|3090008=70|1280002=430|101=2000000,3001,,,,,,,,,MVP,,
1070001,天使发圈,,1170002=1|1270010=7|2063002=350|1270011=20|1290041=70|101=2000000,3001,,,,,,,,,MVP,1070017=1,
