Id,des,Content,CV,Time,LocalizationArea
ID（1~999：cutscene黑幕用；1000~10000，剧情黑幕用）,策划备注用，该数据程序不读,文本内容,CVID,时间(如果CV有时间，使用CV的时间),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
301,,诸神黄昏之时，神庭陷入混战，邪神洛基被奥丁杀死,,2,
302,,洛基立下了灭世的诅咒：,,2,
303,,奥丁建立的米德加兹大陆终将被他的后代摧毁！,,2,
304,,无数年之后，邪神的后代逐渐苏醒,,2,
305,,暗地里亦有人在收集神秘力量,,2,
306,,危机席卷了米德加兹大陆……,,2,
307,,面对未知的危机,,2,
308,,以培养优秀冒险者为宗旨的初心者学院在卢恩王国应运而生！,,2,
100001,,我再次见到了女武神瓦尔基里,,2,
100002,,通过她的指导，我巩固了对“元素”的认识：,,2,
100003,,原来，<color=$$Yellow$$>属性有风、水、火、地、念、圣、毒、暗、不死</color>之分,,2,
100004,,<color=$$Yellow$$>风克水，水克火，火克地，地克风……</color>,,2,
100005,,在对付不同属性的魔物时，搭配不同属性的技能和装备会事半功倍！,,2,
100006,,分别前，她又给了我一块神秘的宝石,,2,
100007,,我知道，标识任务还未结束……,,2,
100101,,50，181，房顶？这是到底什么意思呢？是坐标吗？,,2,
100102,,对！就是这样！先去这里看看吧……,,2,
100201,,我们把放置衣服、石心、药草的三个点连成了三角形,,2,
100202,,又把每条边的中点找了出来连接在一起,,2,
100203,,这时候，葛劳吾提惊喜地喊道：,,2,
100204,,石像！是石像！就在石像那里！,,2,
100301,,随着石心插入地面,,2,
100302,,一道黑雾突然从地下涌出，钻进了绣恩的体内,,2,
100303,,紧接着，绣恩就发出了可怖的狞笑：,,2,
100304,,终于完成了祭祀仪式，献祭吧！,,2,
100305,,随着更多的雾气涌出并凝聚在在绣恩身上,,2,
100306,,最终，绣恩被黑雾吞噬了……,,2,
100307,,黑雾散尽时，绣恩消失不见了,,2,
100308,,一个暗黑祭司出现在我的面前……,,2,
100401,,一番苦战，我终于战胜了邪恶的暗黑祭司,,2,
100402,,就在最后一刻，暗黑祭祀的脸上出现了一张和蔼的脸……,,2,
100403,,他对我说：勇敢的冒险者，我终于等到了你！,,2,
100404,,我的时间不多了，听好，杀掉我……,,2,
100405,,然后，回去告诉齐里亚斯，我很爱他！,,2,
100406,,我最终还是杀死了暗黑祭司……,,2,
100407,,它化作黑烟消失了，露出了绣恩的原貌！,,2,
100408,,绣恩奄奄一息，疲倦地望着我，似有话对我说……,,2,
100409,,我知道，绣恩也快撑不住了……,,2,
100501,,"我打开了纸条，上面写着：【蔬菜小姐】jump，N2,W3，bingo！",,2,
100502,,看来需要先去找到蔬菜小姐才行,,2,
100503,,"但是“jump，N2,W3，bingo！”这串文字是什么意思呢？接头暗号？",,2,
100601,,捧起露克希的灵魂碎片，我仿佛又见到了在南门初次遇见露克希时的情景……,,2,
100602,,透过层层迷雾，我在露克希的记忆碎片里看到了这样一幕：,,2,
100603,,露克希将写好的信浇上火漆后翻过来。我看到，收信人写着：KILLE！,,2,
100604,,KILLE？基拉！,,2,
100605,,初次见到露克希时，她给了我两封信.,,2,
