ID,Comment,SkipRate
层数ID,注释,条件跳层几率（时间=层数=几率=层数=几率|...）
1,第1层,120=4=100|150=3=100|180=2=100
2,第2层,150=3=100|180=2=100
3,第3层,180=2=100
4,第4层,
5,第5层,10=5=100|30=4=100|60=3=100|120=2=100
6,第6层,120=4=100|150=3=100|180=2=100
7,第7层,150=3=100|180=2=100
8,第8层,180=2=100
9,第9层,
10,第10层,10=5=100|30=4=100|60=3=100|120=2=100
11,第11层,120=4=100|150=3=100|180=2=100
12,第12层,150=3=100|180=2=100
13,第13层,180=2=100
14,第14层,
15,第15层,10=5=100|30=4=100|60=3=100|120=2=100
16,第16层,120=4=100|150=3=100|180=2=100
17,第17层,150=3=100|180=2=100
18,第18层,180=2=100
19,第19层,
20,第20层,
21,第21层,
22,第22层,
