ItemId,ItemName,ItemFunction,ItemFunctionValue,NeedConfirm,ItemTargets,ItemCD,ItemCDGroup,ItemEffect,EffectPos,ItemAction,ItemLimitID,AudioID,ArrowDesc,Prompt,Payment,Achieving,AchievingShow,ItemNoticeLimit,ItemBatchBtn,NotConsume,LocalizationArea
道具ID,道具名称,"使用效果枚举(0直接扣除无任何效果1加BUFF;2随机传送;3固定传送;4打开UI面板;5给奖励;6抽奖券,7选择礼包8箭矢9读取技能效果ID10寻路到指定场景NPC处11使用公会礼盒12箭矢效果13小恶魔道具14枯树枝19声望箱子20挂机加速糖21打宝倍增糖22限时载具）23双人契约道具 24 永久载具，25表情解锁，26宠物蛋，27宠物装备抽奖券，29跨服中使用宠物果冻",使用效果值（使用效果为4的时候，1为食谱弹窗。使用效果为8时，元素属性|属性|值|BUFFID|万分比概率）（7选择礼包此处为UI显示类型，1为icon，2为头饰模型，3为载具模型）,使用二次确认,"道具使用目标(1自己,2队友,3敌人,0其他;支持数组)",独立CD,公共CD组,道具使用特效ID,道具使用特效坐标点：场景ID=X=Y=Z（配置坐标点的在坐标点处播放，没配的在目标处播放）,道具使用特殊动作ID（自己的动作）,道具限制ID（配置格式：ID=symbol，ID对应ItemUseLimit表里的ID列，symbol值为0代表不能使用，值为1代表【可使用】且【不需要切换状态】，值为2代表【可使用】且【需要切换状态】）,使用音效Id,箭矢描述信息,使用发送公告（类型=messageid:类型1， 用于枯树枝的提示类型                                                                           ，后面的message是自带使用者姓名和使用道具）,当配置为1时，该礼包为付费礼包，玩家使用前会弹出【领取提示】，确认后即可打开，执行其开启逻辑，取消则不使用礼包。当配置为0或者空时，该礼包为正常礼包，遵循其固有的开启逻辑。,是否作为获取途径（礼包类道具是否作为获取途径显示）,获取途径白名单（获取途径配置为1的礼包，配置为空时，礼包内所有道具都会添加该礼包获取途径，配置道具id时，礼包内只有对应配置的道具才会显示该条获取途径）,道具公告限制（ItemID1|ItemID2，以此类推，配置的道具ID才会发公告，不配置的不会发公告，如果不填则不走此限制逻辑）,道具批量打开1使用，0或不配无效，只对类型5和7的宝箱生效，并且那些payment为1的付费道具不支持批量打开，不要配,使用不消耗道具,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
805,赫尔海姆眼泪,10,57|20149,,,,,,,,,,,,,,,,,,
806,梦镜币,10,1|17691,,,,,,,,,,,,,,,,,,
90610,90610,10,1|3755,,,,,,,,,,,,,,,,,,
90620,90620,10,1|3755,,,,,,,,,,,,,,,,,,
90630,90630,10,1|3755,,,,,,,,,,,,,,,,,,
90640,90640,10,1|3755,,,,,,,,,,,,,,,,,,
90100,疯兔奶糖,10,1|3755,,,,,,,,,,,,,,,,,,
90110,波利果,10,1|3755,,,,,,,,,,,,,,,,,,
90120,大嘴鸟公仔,10,1|3755,,,,,,,,,,,,,,,,,,
811,道场通行证,10,47|2748,,,,,,,,,,,,,,,,,,
90101,波利果礼盒,5,9110090,0,1,0,0,,,,,,,,,,,,1,,
90111,大嘴鸟公仔礼盒,5,9110100,0,1,0,0,,,,,,,,,,,,1,,
90212,宠物惊喜礼盒,5,9110110,0,1,0,0,,,,,,,,,,,,1,,
90211,技能随机卷轴,5,9110120,0,1,0,0,,,,,,,,,,,,1,,
90650,神秘罗盘,31,,0,1,0,0,,,,,,,,,,,,,1,
90660,高级罗盘,31,,0,1,0,0,,,,,,,,,,,,,1,
90670,测试罗盘,31,,0,1,0,0,,,,,,,,,,,,,1,
90410,宠物红色药水,28,1015101,0,0,5,0,,,,,,,,,,,,,,
90420,宠物蓝色药水,28,1015201,0,0,5,0,,,,,,,,,,,,,,
90430,宠物料理,1,1020401,0,0,10,0,,,,,,,,,,,,,,
90440,宠物爆发药剂,1,1020501,0,0,10,0,,,,,,,,,,,,,,
90510,地灵晶,28,1016301,0,0,10,0,,,,,,,,,,,,,,
90520,风灵晶,28,1016401,0,0,10,0,,,,,,,,,,,,,,
90530,火灵晶,28,1016501,0,0,10,0,,,,,,,,,,,,,,
90540,水灵晶,28,1016601,0,0,10,0,,,,,,,,,,,,,,
91040,稀有宠物装备自选箱,7,9110140|1,0,1,0,0,,,,,,,,,,,,,,
91050,稀有宠物装备随机箱,5,9110150,0,1,0,0,,,,,,,,,,,,1,,
91060,传说宠物装备自选箱,7,9110160|1,0,1,0,0,,,,,,,,,,,,,,
91070,传说宠物装备随机箱,5,9110170,0,1,0,0,,,,,,,,,,,,1,,
91080,梦境普通礼盒,5,8730210,0,1,0,0,,,,,,,,,1,,,1,,
91090,梦境珍稀礼盒,5,8730220,0,1,0,0,,,,,,,,,1,,,1,,
91100,神秘宠物装备箱,5,9110180,0,1,0,0,,,,,,,,,,,,1,,
100101,琥珀随机礼盒,5,9101030,0,1,0,0,,,,,,,,,1,,,1,,
100102,琥珀随机礼盒,5,9101080,0,1,0,0,,,,,,,,,1,,,1,,
90740,40级宠物普通装备自选箱,7,9110200|1,0,1,0,0,,,,,,,,,,,,,,
90750,70级宠物普通装备自选箱,7,9110210|1,0,1,0,0,,,,,,,,,,,,,,
90760,85级宠物普通装备自选箱,7,9110220|1,0,1,0,0,,,,,,,,,,,,,,
90770,100级宠物普通装备自选箱,7,9110230|1,0,1,0,0,,,,,,,,,,,,,,
90780,110级宠物普通装备自选箱,7,9110240|1,0,1,0,0,,,,,,,,,,,,,,
90790,40级宠物稀有装备自选箱,7,9110250|1,0,1,0,0,,,,,,,,,,,,,,
90800,70级宠物稀有装备自选箱,7,9110260|1,0,1,0,0,,,,,,,,,,,,,,
90810,85级宠物稀有装备自选箱,7,9110270|1,0,1,0,0,,,,,,,,,,,,,,
