Id,CollectName,CollectDes,TransfigureCanCollect,CanShowName,IsTriggerTiming,Type,CollectionType,Param,DefaultEquipID,PresentID,Scale,Sex,CanCollectArea,TaskLimit,LivingSkillLimit,ItemLimit,VitalityLimit,IsInitialize,CollectTime,CollectReminderTxt,CollectingReminderTxt,CollectingAction,CollectingIcon,CameraId,PitchonType,AwardId,AwardId2,CollectNum,CollectCd,PlayerCd,CreateBuff,GuildNotice,GuildSenceAward,MiniMapIcon,AlwaysShowOnMap,CanCollectFx,CanCollectFxHightPercent,CollectFx,CollectFxHightPercent,EndCollectFx,EndCollectFxHightPercent,LuaScript,RoleEffect,RoleEffectBone,CollectionResidentFx,CollectionResidentFxHightPercent,CollectPresent,IndividualCap,,NoInterrupt,BeAttackedBreak,CollectDestination,LocalizationArea
采集物id,采集物名称,采集备注（策划用）,变身状态下是否可采集0不可以1可以,是否显示采集物名字（默认为显示，0不显示，1显示）,是否触发触发器timing,采集物类型（0. 一般采集物 1001.公会随机礼盒 1002.大世界果实 6010.采摘资源点 6020.挖矿资源点 6030.钓鱼 5060.挖宝玩法 6100.周期内首次打开才给奖励 6300.魔物宝藏 6301.成功脚印 6302.失败脚印）,(0.Default1.Elf；2，搬运物,波利团ID（ID=计数：比如搬运配成CarryItemID=N；表示你每次采集的时候搬起几个道具，类似你去搬一摞叠在一起的洗脸盆，你可以说每次你搬1个，也可以是10个）,裸模ID,模板ID,模型放大倍数,性别（0.男 1.女）,可采集响应范围,任务限制（1=任务id，接取这个任务的对应采集物目标时候可采，完成对应采集物目标之后不可采。2=任务目标库TaskTargetLibrary中目标id，做这个目标的时候可采集，完成之后不可采集）,生活技能限制,道具消耗（道具ID=道具数量|道具ID=道具数量）,活力消耗,是否初始化可见,采集时间,采集提示文字,采集进度文字,采集动作（对应SpecialActionTable表里面的动作ID）,采集图标,调用镜头,选中效果（1，描边；2，头像；3，脚底阴影）,采集掉落AwardID,采集掉落物2，生活职业用，对应使用精灵/鱼饵的情况,采集多少次才刷新（-1表示无穷次数）,采集物刷新CD（0，立即出，-1再也不出了）,个人CD,采集后上buff,公会公告,公会场景奖励,小地图图标（参见MiniMapIcon表）,不管视野限制，永远在小地图上显示图标,可采集特效,可采集特效挂点,采集特效,采集特效挂点,结束特效,结束特效挂点,调用脚本,人物采集效果,效果挂点,采集物上常驻特效,采集物上常驻特效高度百分比,采集表现,个人采集次数上限（对应OpenWorldIndividualCapTable）,,不可被打断采集,是否可被攻击打断(1可以0不可以),修改相对采集点和朝向（x=y=z=玩家朝向）,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配2+8=10)
1,测试采集物1,测试采集物,0,1,,,,,100002,100002,1,0,1.5,,,,,1,3,采集,采集中,1005,UI_main_Interactive_Collect.png,,1,,,1,10,5,,,,51,,120030,,,,104,,,,,,,,,,,,,
2,测试采集物2,测试采集物,0,1,,,,,0,10002,1,0,1.5,,,101=1,,1,3,采集,采集中,1005,UI_main_Interactive_Collect.png,,1|3,,,2,10,5,,,,51,,120030,,,,104,,,,,,,,,,,,,
3,测试采集物3,测试采集物,0,1,,,,,0,10001,1,0,1.5,,,101=1,,1,3,采集,采集中,1005,UI_main_Interactive_Collect.png,,1|2|3,,,3,10,5,,,,51,,120030,,,,104,,,,,,,,,,,,,
4,测试采集物4,测试采集物,0,1,,,,,0,10003,1,0,1.5,,,101=1,,1,3,采集,采集中,1005,UI_main_Interactive_Collect.png,,,,,-1,10,5,,,,,,120030,,,,104,,,,,,,,,,,,,
200000,曼特花,小野猪线用,0,1,,,,,0,200000,1,0,2,1=12000030,,,,1,3,采集,采集中,2001,UI_main_Interactive_Collect.png,,1|3,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200001,破碎的蛋壳,任务蛋壳帽,0,1,,,,,0,200001,1,0,2,,,,,1,3,收集,收集中,2001,UI_main_Interactive_Collect.png,,1|3,11000301,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200002,光芒草,光芒草,0,1,,,,,0,200002,1,0,2,,,,,1,3,收集,收集中,2001,UI_main_Interactive_Collect.png,,1|3,11003311,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200003,杂乱的脚印,小野猪线用,0,1,,,,,0,100011,1,0,2,,,,,1,3,检查,检查中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200004,杂乱的脚印,小野猪线用,0,1,,,,,0,100011,1,0,2,,,,,1,3,检查,检查中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200005,初心者背包,新手村初心者背包,0,0,,,,,0,550134,0.6,0,2,1=1000011,,,,1,3,拿起,拿起中,2001,UI_main_Interactive_Fumo.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200006,向女武神致敬,新手村致敬点,0,0,,,,,0,100011,1,0,2,,,,,1,3,致敬,致敬中,2017,UI_main_Interactive_Fumo.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,-0.1=0.21=0=94.57,
200007,触摸雕像,新手村致敬点,0,0,,,,,0,100011,1,0,2,,,,,1,3,触摸,触摸中,2007,UI_main_Interactive_Operate.png,80,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,-0.1=0.21=0=94.57,
200008,疑似脚印,新手村奇遇点2,0,1,,,,,0,100011,1,0,2,,,,,1,3,查看,查看中,2014,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200009,疑似脚印,新手村奇遇点3,0,1,,,,,0,100011,1,0,2,,,,,1,3,查看,查看中,2014,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200010,头饰包,新手村训练场挑选礼物,0,1,,,,,0,100011,1,0,2,1=1000100,,,,1,3,打开,打开中,2001,UI_main_Interactive_Fumo.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200011,黄叶菜,鬼女爱情线采集黄叶菜,0,1,,,,,0,100011,1,0,2,1=12001410,,,,1,3,采集,采集中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200012,绿藤菜,鬼女爱情线采集绿藤菜,0,1,,,,,0,100011,1,0,2,1=12001410,,,,1,3,采集,采集中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200013,韧竹条,鬼女爱情线采集韧竹条菜,0,1,,,,,0,100011,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200014,祭祀用的酒,鬼女搬运酒桶（召唤）,0,1,,,2,101005=1,0,200028,1,0,2,,,,,1,3.65,搬动,搬运中,2026,UI_main_Interactive_Fumo.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200015,货箱,标识搬运酒桶（召唤）,0,1,,,2,101004=1,0,200027,1,0,2,,,,,1,3.65,搬动,搬运中,2026,UI_main_Interactive_Fumo.png,,,,,-1,1,100,,,,,,120030,,,,104,,,,,,,,,,,,,
200016,搭建背景板,新手村采集物,0,1,,,,,0,100011,1,0,2,,,,,1,3,搭建,搭建中,2001,UI_main_Interactive_Fumo.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200022,被消灭的小野猪,小野猪线用,0,1,,0,,,0,10154,1,0,2,,,,,1,3,收拾,收拾中,2001,UI_main_Interactive_Collect.png,,1|3,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200040,星星草,前期任务：采集绿草,0,1,,0,,,0,10063,1,0,2,1=1000090,,,,1,3,采集,采集中,2001,UI_main_Interactive_Collect.png,,1|3,10007208,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200041,巡查,吹牛线巡查,0,1,,,,,0,100011,1,0,2,1=12001050,,,,1,3,巡查,巡查中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200042,启动热气球,前期任务：剑士上热气球,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,2001,UI_main_Interactive_Fumo.png,80,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200043,启动热气球,前期任务：法师上热气球,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,2001,UI_main_Interactive_Fumo.png,80,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200044,启动热气球,前期任务：服事上热气球,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,2001,UI_main_Interactive_Fumo.png,80,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200045,启动热气球,前期任务：弓手上热气球,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,2001,UI_main_Interactive_Fumo.png,80,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200046,启动热气球,前期任务：盗贼上热气球,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,2001,UI_main_Interactive_Fumo.png,80,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200047,启动热气球,前期任务：商人上热气球,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,2001,UI_main_Interactive_Fumo.png,80,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200048,可疑点,吹牛墓地检查,0,0,,0,,,0,100011,1,0,2,1=12001010,,,,1,3,检查,检查中,2014,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200050,刺客的信条,刺客二转检查信条,0,0,,0,,,0,100011,1,0,2,1=12212050,,,,1,3,查看,查看中,2019,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
