Index,TriggerType,Note,TriggerTarget,LuaFunctionName,DynamicLevelType,LuaPara
序号,生效参数(1=XXsceneID;2=XXdungeonsID),策划备注,生效目标(1=玩家角色;2=玩家佣兵；3=玩家宠物；4=生命体),属性计算函数,目标等级类型(1=队伍玩家平均等级;2=队伍玩家最高等级;3=主题副本对应等级;4=服务器等级),传值至Lua(Key1=Value1=Key2=Value2=...)
1,2=6151,PVP角斗场,3,DungeonCalcPetPVP,1,
2,2=6152,匹配赛斗技场,3,DungeonCalcPetPVP,1,
3,2=6001,PVP战场-峡谷 1,3,DungeonCalcPetPVP,1,
4,2=6002,PVP战场-峡谷 2,3,DungeonCalcPetPVP,1,
5,2=6003,PVP战场-峡谷 3,3,DungeonCalcPetPVP,1,
6,2=6004,PVP战场-峡谷 4,3,DungeonCalcPetPVP,1,
7,2=6005,PVP战场-峡谷 5,3,DungeonCalcPetPVP,1,
8,2=6006,PVP战场-峡谷 6,3,DungeonCalcPetPVP,1,
9,2=6007,PVP战场-峡谷 7,3,DungeonCalcPetPVP,1,
10,2=6008,PVP战场-峡谷 8,3,DungeonCalcPetPVP,1,
11,2=6101,擂台F1,3,DungeonCalcPetPVP,1,
12,2=6102,擂台F2,3,DungeonCalcPetPVP,1,
13,2=6103,擂台F3,3,DungeonCalcPetPVP,1,
14,2=6104,擂台F4,3,DungeonCalcPetPVP,1,
15,2=6105,擂台F5,3,DungeonCalcPetPVP,1,
16,2=6106,擂台F6,3,DungeonCalcPetPVP,1,
17,2=6107,擂台F7,3,DungeonCalcPetPVP,1,
18,2=6108,擂台F8,3,DungeonCalcPetPVP,1,
19,2=9000,齿轮之间,3,DungeonCalcPetPVP,1,
20,2=9001,齿轮之间,3,DungeonCalcPetPVP,1,
21,2=9002,5V5S2玩法1,3,DungeonCalcPetPVP,1,
22,2=9003,5V5S2玩法2,3,DungeonCalcPetPVP,1,
23,2=9004,5V5S2玩法3,3,DungeonCalcPetPVP,1,
24,1=1601,GVG普隆德拉1_1,3,DungeonCalcPetPVP,1,
25,1=1602,GVG普隆德拉1_2,3,DungeonCalcPetPVP,1,
26,1=1603,GVG普隆德拉1_3,3,DungeonCalcPetPVP,1,
27,1=1604,GVG普隆德拉2_1,3,DungeonCalcPetPVP,1,
28,1=1605,GVG普隆德拉2_2,3,DungeonCalcPetPVP,1,
29,1=1606,GVG普隆德拉2_3,3,DungeonCalcPetPVP,1,
30,1=1607,GVG普隆德拉3_1,3,DungeonCalcPetPVP,1,
31,1=1608,GVG普隆德拉3_2,3,DungeonCalcPetPVP,1,
32,1=1609,GVG普隆德拉3_3,3,DungeonCalcPetPVP,1,
33,1=1610,GVG普隆德拉4_1,3,DungeonCalcPetPVP,1,
34,1=1611,GVG普隆德拉4_2,3,DungeonCalcPetPVP,1,
35,1=1612,GVG普隆德拉4_3,3,DungeonCalcPetPVP,1,
36,1=1621,GVG吉芬1_1,3,DungeonCalcPetPVP,1,
37,1=1622,GVG吉芬1_2,3,DungeonCalcPetPVP,1,
38,1=1623,GVG吉芬1_3,3,DungeonCalcPetPVP,1,
39,1=1624,GVG吉芬2_1,3,DungeonCalcPetPVP,1,
40,1=1625,GVG吉芬2_2,3,DungeonCalcPetPVP,1,
41,1=1626,GVG吉芬2_3,3,DungeonCalcPetPVP,1,
42,1=1627,GVG吉芬3_1,3,DungeonCalcPetPVP,1,
43,1=1628,GVG吉芬3_2,3,DungeonCalcPetPVP,1,
44,1=1629,GVG吉芬3_3,3,DungeonCalcPetPVP,1,
45,1=1630,GVG吉芬4_1,3,DungeonCalcPetPVP,1,
46,1=1631,GVG吉芬4_2,3,DungeonCalcPetPVP,1,
47,1=1632,GVG吉芬4_3,3,DungeonCalcPetPVP,1,
48,1=1641,GVG斐扬1_1,3,DungeonCalcPetPVP,1,
49,1=1642,GVG斐扬1_2,3,DungeonCalcPetPVP,1,
50,1=1643,GVG斐扬1_3,3,DungeonCalcPetPVP,1,
51,1=1644,GVG斐扬2_1,3,DungeonCalcPetPVP,1,
52,1=1645,GVG斐扬2_2,3,DungeonCalcPetPVP,1,
53,1=1646,GVG斐扬2_3,3,DungeonCalcPetPVP,1,
54,1=1647,GVG斐扬3_1,3,DungeonCalcPetPVP,1,
55,1=1648,GVG斐扬3_2,3,DungeonCalcPetPVP,1,
56,1=1649,GVG斐扬3_3,3,DungeonCalcPetPVP,1,
57,1=1650,GVG斐扬4_1,3,DungeonCalcPetPVP,1,
58,1=1651,GVG斐扬4_2,3,DungeonCalcPetPVP,1,
59,1=1652,GVG斐扬4_3,3,DungeonCalcPetPVP,1,
60,2=6151,PVP角斗场,4,DungeonCalcSlimePVP,1,
61,2=6152,匹配赛斗技场,4,DungeonCalcSlimePVP,1,
62,2=6001,PVP战场-峡谷 1,4,DungeonCalcSlimePVP,1,
63,2=6002,PVP战场-峡谷 2,4,DungeonCalcSlimePVP,1,
64,2=6003,PVP战场-峡谷 3,4,DungeonCalcSlimePVP,1,
65,2=6004,PVP战场-峡谷 4,4,DungeonCalcSlimePVP,1,
66,2=6005,PVP战场-峡谷 5,4,DungeonCalcSlimePVP,1,
67,2=6006,PVP战场-峡谷 6,4,DungeonCalcSlimePVP,1,
68,2=6007,PVP战场-峡谷 7,4,DungeonCalcSlimePVP,1,
69,2=6008,PVP战场-峡谷 8,4,DungeonCalcSlimePVP,1,
70,2=6101,擂台F1,4,DungeonCalcSlimePVP,1,
71,2=6102,擂台F2,4,DungeonCalcSlimePVP,1,
72,2=6103,擂台F3,4,DungeonCalcSlimePVP,1,
73,2=6104,擂台F4,4,DungeonCalcSlimePVP,1,
74,2=6105,擂台F5,4,DungeonCalcSlimePVP,1,
75,2=6106,擂台F6,4,DungeonCalcSlimePVP,1,
76,2=6107,擂台F7,4,DungeonCalcSlimePVP,1,
77,2=6108,擂台F8,4,DungeonCalcSlimePVP,1,
78,2=9000,齿轮之间,4,DungeonCalcSlimePVP,1,
79,2=9001,齿轮之间,4,DungeonCalcSlimePVP,1,
80,2=9002,5V5S2玩法1,4,DungeonCalcSlimePVP,1,
81,2=9003,5V5S2玩法2,4,DungeonCalcSlimePVP,1,
82,2=9004,5V5S2玩法3,4,DungeonCalcSlimePVP,1,
83,1=1601,GVG普隆德拉1_1,4,DungeonCalcSlimePVP,1,
84,1=1602,GVG普隆德拉1_2,4,DungeonCalcSlimePVP,1,
85,1=1603,GVG普隆德拉1_3,4,DungeonCalcSlimePVP,1,
86,1=1604,GVG普隆德拉2_1,4,DungeonCalcSlimePVP,1,
87,1=1605,GVG普隆德拉2_2,4,DungeonCalcSlimePVP,1,
88,1=1606,GVG普隆德拉2_3,4,DungeonCalcSlimePVP,1,
89,1=1607,GVG普隆德拉3_1,4,DungeonCalcSlimePVP,1,
90,1=1608,GVG普隆德拉3_2,4,DungeonCalcSlimePVP,1,
91,1=1609,GVG普隆德拉3_3,4,DungeonCalcSlimePVP,1,
92,1=1610,GVG普隆德拉4_1,4,DungeonCalcSlimePVP,1,
93,1=1611,GVG普隆德拉4_2,4,DungeonCalcSlimePVP,1,
94,1=1612,GVG普隆德拉4_3,4,DungeonCalcSlimePVP,1,
95,1=1621,GVG吉芬1_1,4,DungeonCalcSlimePVP,1,
96,1=1622,GVG吉芬1_2,4,DungeonCalcSlimePVP,1,
97,1=1623,GVG吉芬1_3,4,DungeonCalcSlimePVP,1,
98,1=1624,GVG吉芬2_1,4,DungeonCalcSlimePVP,1,
99,1=1625,GVG吉芬2_2,4,DungeonCalcSlimePVP,1,
100,1=1626,GVG吉芬2_3,4,DungeonCalcSlimePVP,1,
101,1=1627,GVG吉芬3_1,4,DungeonCalcSlimePVP,1,
102,1=1628,GVG吉芬3_2,4,DungeonCalcSlimePVP,1,
103,1=1629,GVG吉芬3_3,4,DungeonCalcSlimePVP,1,
104,1=1630,GVG吉芬4_1,4,DungeonCalcSlimePVP,1,
105,1=1631,GVG吉芬4_2,4,DungeonCalcSlimePVP,1,
106,1=1632,GVG吉芬4_3,4,DungeonCalcSlimePVP,1,
107,1=1641,GVG斐扬1_1,4,DungeonCalcSlimePVP,1,
108,1=1642,GVG斐扬1_2,4,DungeonCalcSlimePVP,1,
109,1=1643,GVG斐扬1_3,4,DungeonCalcSlimePVP,1,
110,1=1644,GVG斐扬2_1,4,DungeonCalcSlimePVP,1,
111,1=1645,GVG斐扬2_2,4,DungeonCalcSlimePVP,1,
112,1=1646,GVG斐扬2_3,4,DungeonCalcSlimePVP,1,
113,1=1647,GVG斐扬3_1,4,DungeonCalcSlimePVP,1,
114,1=1648,GVG斐扬3_2,4,DungeonCalcSlimePVP,1,
115,1=1649,GVG斐扬3_3,4,DungeonCalcSlimePVP,1,
116,1=1650,GVG斐扬4_1,4,DungeonCalcSlimePVP,1,
117,1=1651,GVG斐扬4_2,4,DungeonCalcSlimePVP,1,
118,1=1652,GVG斐扬4_3,4,DungeonCalcSlimePVP,1,
119,1=7201,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
120,1=7202,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
121,1=7203,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
122,1=7204,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
123,1=7205,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
124,1=7206,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
125,1=7207,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
126,1=7208,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
127,1=7209,心之道场（第一次进入检测用）,3,DungeonCalcPetPVE,1,
128,1=7211,心之道场,3,DungeonCalcPetPVE,1,
129,1=7212,心之道场,3,DungeonCalcPetPVE,1,
130,1=7213,心之道场,3,DungeonCalcPetPVE,1,
131,1=7214,心之道场,3,DungeonCalcPetPVE,1,
132,1=7215,心之道场,3,DungeonCalcPetPVE,1,
133,1=7216,心之道场,3,DungeonCalcPetPVE,1,
134,1=7217,心之道场,3,DungeonCalcPetPVE,1,
135,1=7218,心之道场,3,DungeonCalcPetPVE,1,
136,1=7219,心之道场,3,DungeonCalcPetPVE,1,
