ID,Type,Title,Description,Content,Duration,SpectatorSync,CountDown,BaseLevel,SubtitlesSend,NpcID,Pos,Scale,DelayTime,Repeat,SystemId
,1=底部公告 20=？（原来的3） 23=（201）副本提示 22=（202）副本叙事提示 23=副本单次警告提示 24=副本持续警告提示 25=副本单次辅助提示 26=副本持续辅助提示 27=副本旁白 51=系统 52=个人（系统） 53=帮助 54=提示 61=队伍 62=公会 63=好友对话框系统消息 64=好友头像系统消息 65=系统频道 66=成就广播 68=活动气泡框推送 3=底部重复公告(目前大世界专用) 70=冠军赛战队新闻,公告标题，支持空行,备注（策划用不打表）,公告内容,持续时间 （秒）,观战模式中同步,倒计时（秒）有需求再填,限制等级（最低可见等级）,是否发放弹幕（空不发 1发）,NPC模型ID，用在type22上（1=NpcId 2=EntityId）,显示NPC的偏移位置,显示NPC的大小缩放,延迟播放时间,次数=间隔（秒）,功能开启id，仅对type=53生效，配置id则对应功能开启才显示帮助信息，不配则不受影响
201,1,,,在ro里面又度过了愉快的一天,,,,,,,,,,,
202,27,,圣歌专用提示配置,请点击开关转动转盘,-1,1,,,,,,,,,
203,25,,圣歌专用提示配置,读HSRandomEventTable表,3,1,,,,,,,,,
1010,20,,,<color=$$Yellow$$>敌人释放技能时地上会出现红色预警圈，注意躲避哦！</color>,,1,,,,,,,,,
1011,20,,,<color=$$Yellow$$> 魔菇作为治疗单位是团队中非常重要的后援，优先击杀！ </color>,,1,,,,,,,,,
1012,20,,,<color=$$Yellow$$> 树精释放防御外壳时能够减免大量伤害，等状态消失后再击杀 ！ </color>,,1,,,,,,,,,
1013,20,,,<color=$$Yellow$$>曼陀罗魔花是无法移动的，拉开距离先击杀别的怪物！</color>,,1,,,,,,,,,
1014,20,,,<color=$$Yellow$$>毒液区域会造成减速，注意躲避 ！ </color>,,1,,,,,,,,,
1015,20,,,<color=$$Yellow$$>吸血蝙蝠的光环会给青蛇增加防御力，优先击杀吸血蝙蝠！</color>,,1,,,,,,,,,
1016,20,,,<color=$$Yellow$$>盗虫频繁滋生，还会自爆，不要招惹他们！ </color>,,1,,,,,,,,,
1017,20,,,<color=$$Yellow$$> 克瑞米有更强的攻击技能，优先击杀它们！ </color>,,1,,,,,,,,,
1018,20,,,<color=$$Yellow$$>吸血蝙蝠10%血时会自爆，注意躲避！</color>,,1,,,,,,,,,
1019,20,,,<color=$$Yellow$$>幽灵波利血量越低实力越强，请小心！</color>,,1,,,,,,,,,
1020,20,,,<color=$$Yellow$$>巨大白幽灵的光环会给幽灵波利增加防御，优先击杀巨大白幽灵！</color>,,1,,,,,,,,,
1031,27,,,阴森的下水道，似乎有魔物的痕迹…,3,1,,,,,,,,,
1032,27,,,通往前方的阻挡解除了…但为什么孢子会变成魔物？,3,1,,,,,,,,,
1033,22,,,这里的毒气肆虐的非常厉害！找找附近有什么东西能关掉它们！,4,1,,,,1=20089,0=0=0,1,,,
1034,27,,,蜘蛛，可能它们也受到了魔气的侵蚀,3,1,,,,,,,,,
1035,22,,,快，往这边走，我发现了一条密道，有开启最终区域的机关,3,1,,,,1=20089,0=0=0,1,,,
1036,23,,,孢子要生长成魔物了，赶快击杀！,3,1,,,,,,,,,
1037,23,,,躲开毒液区域！,3,1,,,,,,,,,
1038,23,,,蝙蝠狂暴了，集中火力解决它！,3,1,,,,,,,,,
1039,23,,,BOSS将在{0}秒后释放重力冲击！赶快寻找掩体躲避！,4,1,4,,,,,,,,
1040,23,,,BOSS召唤了一个孢子，在它变成魔物前赶快击杀它！,3,1,,,,,,,,,
1041,23,,,莫古尔吸收了下水道的毒气，能力提升！,3,1,,,,,,,,,
1042,22,,,阴森的下水道，似乎有魔物的痕迹…,3,1,,,,1=20089,0=0=0,1,,,
1043,22,,,下水道的这些魔物可能受到了什么东西的侵蚀，你们务必要小心！,5,1,,,,1=20089,0=0=0,1,,,
1044,22,,,这里的毒气比上次更严重了！,5,1,,,,1=20089,0=0=0,1,,,
1045,22,,,蝙蝠为什么变的这么暴躁？！,5,1,,,,1=20089,0=0=0,1,,,
1046,22,,,上次我未能到达这里，感觉这里是调查的关键！,5,1,,,,1=20089,0=0=0,1,,,
1047,22,,,太好了，机关关闭了！不过后面你们要万分小心！,4,1,,,,1=20089,0=0=0,1,,,
1048,23,,,红色的爆炸蘑菇要爆炸了，快站到上面踩碎他！,3,1,,,,,,,,,
1049,22,,,竟然还有魔物看守这个开关，看来要先击退他们了,3,1,,,,1=20089,0=0=0,1,,,
1050,22,,,太好了，可以去打开开关了,3,1,,,,1=20089,0=0=0,1,,,
1051,22,,,最终区域的大门打开了！,3,1,,,,1=20089,0=0=0,1,,,
1052,22,,,这里毒雾很厉害，让我来为大家解毒,3,1,,,,1=20089,0=0=0,1,,,
1053,23,,,莫古尔再次吸收了毒气，能力大幅度提升！,3,1,,,,,,,,,
1054,23,,,莫古尔吸收了下水道的全部毒气，危险！危险！,3,1,,,,,,,,,
