Id,,Value
编号,文本名字（策划用）,描述（实际用的值）
ErrInvalidConfig,,配置错误
ErrInvalidRequest,,非法请求！！！
ErrSexNotRight,,不符合性别限制！
ErrLevelNotRight,,不符合等级要求！
ErrProfessionRight,,不符合职业要求！
ErrItemNotEnough,,道具不足，无法完成该操作！
ErrQaLevelNotEnough,,等级不足！
ErrCannotWeaponDuringSkill,,当前状态无法更换装备哦！
ErrVirtualItemLackZeny,,缺少铜币
ErrVirtualItemLackRomoney,,缺少Zeny币
ErrVirtualItemLackDiamond,,缺少喵喵果实
ErrShopTypeInvalid,,商店类型不存在
ErrShopItemLocked,,商店被锁定，无法买卖
ErrShopOverflow,,输入购买数字无效
ErrShopConfigError,,商店查询配置出错
ErrShopRecycleNull,,商品不可回收
ErrTaskSceneTriggerModifyFailed,,任务场景触发失败
ErrTaskCantGiveup,,任务无法放弃
ErrTaskAlreadyHaveEdenTask,,当前有进行中的乐园团委托
ErrTaskEdenTaskFull,,今日乐园团委托次数已满
ErrTaskWrongSex,,性别不符合任务需求
ErrTaskEdenNotExist,,请求的任务不在面板里
ErrTaskEdenAlreadyFinished,,乐园团委托重复接出错
ErrCookingNotEnoughRecipe,,没有足够的菜谱
ErrCookingNotEnoughIngredients,,没有足够的食材
ErrCookNotInRange,,已经离开范围了
ErrCookRoleInCarry,,手上拿有物品了
ErrCookRoleNotCarry,,手上没有拿物品
ErrCookFoodNotRaw,,需要没有切过的食物
ErrCookFoodNotChopped,,需要切过的食物
ErrVehicleNotEquip,,未装备载具，无法搭乘
ErrNotAllowedInfight,,战斗时无法搭乘载具
ErrVehicleNotDriver,,没有驾驶权限
ErrVehicleInCd,,加速冷却中
ErrVehicleCannotUseInThisScene,,该场景无法使用飞行载具
ErrItemStillFreeze,,物品有0.5秒冻结期不能拾取
ErrItemCannotUse,,物品不能使用
ErrBatchReadSuccess,,区分批量读取成功
ErrMainWeaponIsDoubleHands,,你的主武器是双手武器，因此副手上不能穿戴其他装备
ErrEyeIdNotExist,,不存在这种瞳孔哦！
ErrEyeStyleIdNotExist,,不存在这种瞳孔颜色哦！
ErrVirtualItemWillOverlap,,"虚拟物品:操作尝试越界,操作回滚"
ErrVirtualItemBadType,,虚拟物品:类型错误
ErrNavigateNoway,,当前场景无法进行寻路
ErrTargetRoleOffline,,目标玩家已经离线
ErrNotInWallArea,,不在场景物件区域内
ErrNavigateMapLimit,,便捷寻路地图限制
ErrVehicleAlreadyTakeVehicle,,你已经搭乘了载具
ErrBagSpaceNotEnough,,你的背包空间不够啦！
ErrItemForgeMaterialLack,,打造所需材料不足！
ErrTaskNoTask,,没有这个任务
ErrTaskPreid,,前置任务没有完成
ErrTaskLevel,,等级不对
ErrTaskItem,,没有任务道具
ErrTaskIdentity,,身份条件不满足
ErrTaskProfession,,职业不匹配
ErrTaskNotFinished,,任务还没有完成
ErrTaskFinished,,任务已经完成
ErrTaskUndergoing,,任务正在进行中
ErrTaskTimeOut,,任务超时失败
ErrTaskGiveUp,,任务放弃问题
ErrTaskAcceptNeedCaptain,,需要队长接取
ErrTaskFinishNeedCaptain,,需要队长交付
ErrTaskNeedAllMember,,需要全员在场
ErrTaskNeedTeam,,需要组队
ErrTaskTeamMemberWrong,,组队构成不正确
ErrTaskTeamMemberCountWrong,,队伍人数不符合任务要求
ErrTaskTeamSex,,队伍性别构成不符合任务要求
ErrTaskTeamDistance,,需要队员在身边
ErrTransferProfessionFighting,,正在战斗中，转职失败
ErrTransferProfessionTransFigure,,吃了变身药，转职失败
ErrTransferProfessionNoData,,没有对应职业配置，转职失败
ErrTransferProfessionWrongProfession,,职业不匹配，转职失败
ErrTransferProfessionBaseLevel,,基础等级不足：一转等级为10级、二转等级为50级
ErrTransferProfessionJobLevel,,职业等级不足：一转等级为10级、二转等级为50级
ErrTransferProfessionSkillPoing,,请先分配所有技能点数
ErrVehicleLandOneLimit,,搭乘载具无法使用该物品
ErrVehicleLandTwoLimit,,搭乘双人载具无法使用该物品
ErrVehicleSkyOneLimit,,搭乘飞行载具无法使用该物品
ErrVehicleSkyTwoLimit,,搭乘飞行载具无法使用该物品
ErrTransfiguredLimit,,变身状态无法使用该物品
PhotographCannotSelfyInBattle,,战斗状态无法自拍
ErrSkillResetFighting,,您正在战斗状态，无法重置技能点
ErrSkillResetTransfigured,,你正在变身状态，无法重置技能点
ErrRoleNotOnline,,该玩家不在线
ErrCommonVehicleTeamPlayerLimit,,队伍人数过多无法搭乘载具
ErrCommonVehicleNotCaptain,,需要队长开启载具
ErrVehicleCannotUseVehicle,,该场景无法使用载具
ErrItemCannotInQuick,,该物品不能放入快捷栏
ErrItemCannotStoreWarehouse,,该物品不能放入仓库
ErrOthersCannotVehicle,,对方状态无法搭乘载具
ErrItemNotexist,,物品不存在
ErrRoleAlreadyDead,,角色处于死亡状态
ErrVehicleWhenSinging,,吟唱状态无法搭乘载具
ErrIsInBuffSpecialAction,,特殊状态下无法执行该操作哦！
ErrBagFull,,背包已满
ErrWarehouseFull,,仓库已满
ErrIsInCollecting,,采集中，不能进行此操作
ErrCollectionNotExist,,对不起，采集物不存在
ErrCollectionLackNum,,目标繁忙中，无法执行该操作哦~
ErrCollectStatemachineLimit,,当前状态下不能进行该操作啦~
