LeaderID,SortID,Name,Des,TabType,SceneID,DeputyLeaderIds,SkillIds,Atlas,Icon,HeadAtlas,HeadIcon,LocalizationArea
首领ID,排序ID,怪物名称（备注）,描述,页签类型（1.野外MVP 2.贤者回忆）,场景ID,副首领ID（EntityID用竖线隔开，有几个填几个）,拥有的技能,图集名字,图标,头像图集名字,头像图标,本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加，例：日韩都上就配4+8=12)
1032,1,天使波利,身上长着羽翼和光圈的粉色波利，不要被它可爱的模样欺骗了，恶作剧意味十足，有时会把冒险者的脸喷成臭烘烘的兽人脸，对爱美的女生绝对是致命打击,1,13,,1000103202|1000103203|1000103204|1000103206|1000103210|1000103211,ThemeArround,UI_ThemeArround_tianshiboli.png,MonsterIcon_Boss001,Monster_TianShiBoLi.png,0
3001,2,黄金虫,通体金色的巨大盗虫！体内的杰勒比结晶体发生了变异，使之拥有了反射伤害的能力，同时长出了黄金外壳，头顶上也进化出了布满尖刺的黄金角,1,503,,1000300102|1000300103|1000300104|1000300105|1000300106|1000300107|1000300108|1000300109|1000300110,ThemeArround,UI_ThemeArround_Img_Huangjinchong.png,MonsterIcon_Boss001,Monster_HuangJinChong.png,0
1135,3,兽人英雄,带着古怪面具和精良装备的兽人族勇士，身体无比强壮，虽然兽人刀已经不再锋利，但它的怪力足以碾压一切令它们不爽的生物，包括冒险者,1,34,,1000113502|1000113503|1000113504|1000113505|1000113506|1000113507|1000113508,ThemeArround,UI_ThemeArround_Img_shourenyingxiong.png,MonsterIcon_Boss001,Monster_ShouRenYingXiong.png,0
1021,4,恶魔波利,通体紫色，长着恶魔的翅膀，萌萌的外表下恶魔波利彻头彻尾的是恶魔族，有操纵暗影的能力，是天使波利天生的对手,1,13,,1000102102|1000102103|1000102104|1000102105|1000102106|1000102108,ThemeArround,UI_ThemeArround_Img_emoboli.png,MonsterIcon_Boss001,Monster_EMoBoLi.png,0
1187,5,兽人酋长,皮糙肉厚的兽人酋长似乎和兽人英雄不同，身上并没有穿着古怪的兽人装备，但是同样极具危险性，它精通各种体术，看似笨重的身体却十分灵敏,1,34,,1000118702|1000118703|1000118704|1000118705|1000118706|1000118707|1000118708|1000118709|1000118710|1000118711,ThemeArround,UI_ThemeArround_Img_shourenqiuzhang.png,MonsterIcon_Boss001,Monster_ShouRenQiuZhang.png,0
1116,6,蚁后,传言蚁后曾经是人类少女，是少女的母性在驱使整个蚁群运作，但蚁后其实是非常危险的魔物，它们会用隐藏在背后的手镰砍向任何侵入蚁群领地的冒险者,1,506,,1000111602|1000111603|1000111604|1000111605|1000111606|1000111607|1000111608|1000111609,ThemeArround,UI_ThemeArround_Img_yihou.png,MonsterIcon_Boss001,Monster_Yihou.png,0
1012,7,哥布灵首领,残暴的哥布林族群的领导者，有着巨大的身躯，挥舞着致命的巨矛，任何进入哥布林森林的冒险者都会被它盯上，成为哥布林族群的食物,1,8,,1000101202|1000101203|1000101204|1000101205|1000101206|1000101207,ThemeArround,UI_ThemeArround_Img_gebulin.png,MonsterIcon_Boss001,Monster_GeBuLinShouLing.png,0
1121,8,蜂后,盘踞在苗勒尼山脉的蜂群首领，举止优雅。头上精致的黄金冠冕，是很多冒险者想翻山越岭找到她的原因，但见过它能活着回来的冒险者微乎其微,1,17,,1000112102|1000112103|1000112104|1000112105|1000112106|1000112107|1000112108|1000112109,ThemeArround,UI_ThemeArround_fenghou.png,MonsterIcon_Boss001,Monster_FengHou.png,0
1103,9,海盗之王,随着腐朽沉船的靠岸，销声匿迹的海盗又出现在人们眼前，这一次海盗们拥有了不死的身躯，其中最致命的就是它们的首领：海盗之王,1,507,,1000110302|1000110304|1000110305|1000110306|1000110307|1000110308|1000110309,ThemeArround,UI_ThemeArround_haidaozhiwang.png,MonsterIcon_Boss001,Monster_Haidaozhiwang.png,0
1107,10,俄塞里斯,金字塔的建造者，第一任法老，由于不明原因在金字塔内复活，似乎和最近的魔物暴动有些关系,1,512,,1000110702|1000110703|1000110704|1000110705|1000110706|1000110707|1000110708|1000110709|1000110710,ThemeArround,UI_ThemeArround_Img_esailisi.png,MonsterIcon_Boss001,Monster_Esailisi.png,0
1113,11,皮里恩,皮里恩是生活在沙漠的奇怪动物，长着锋利的牙齿和有些滑稽的大嘴巴，也许不断抖动双臂的皮里恩看起来憨态可掬，但这其实是皮里恩警惕起来的信号,1,38,,1000111302|1000111304|1000111305|1000111306|1000111307|1000111308|1000111309|1000111310,ThemeArround,UI_ThemeArround_Img_pilien.png,MonsterIcon_Boss001,Monster_Pilien.png,0
