ID,Name,ElfTypeID,Atlas,Icon,AwardID,Dialogue
精灵ID,名称（策划用）,精灵类型ID,图集,图标,奖励ID,对话
10101,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_1.png,4400010,Poring~Poring~
10102,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_2.png,4400010,Poring~Poring~
10103,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_3.png,4400010,Poring~Poring~
10104,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_4.png,4400010,Poring~Poring~
10105,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_5.png,4400010,Poring~Poring~
10106,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_1.png,4400010,Poring~Poring~
10107,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_2.png,4400010,Poring~Poring~
10108,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_3.png,4400010,Poring~Poring~
10109,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_4.png,4400010,Poring~Poring~
10110,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_5.png,4400010,Poring~Poring~
10111,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_1.png,4400010,Poring~Poring~
10112,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_2.png,4400010,Poring~Poring~
10113,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_3.png,4400010,Poring~Poring~
10114,喵利,101,PollyExpression,UI_PollyExpression_Miaoli_4.png,4400010,Poring~Poring~
10201,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_1.png,4400010,Poring~Poring~
10202,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_2.png,4400010,Poring~Poring~
10203,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_3.png,4400010,Poring~Poring~
10204,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_4.png,4400010,Poring~Poring~
10205,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_5.png,4400010,Poring~Poring~
10206,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_1.png,4400010,Poring~Poring~
10207,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_2.png,4400010,Poring~Poring~
10208,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_3.png,4400010,Poring~Poring~
10209,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_4.png,4400010,Poring~Poring~
10210,波利兔,102,PollyExpression,UI_PollyExpression_Bolitu_5.png,4400010,Poring~Poring~
