ID,Comment,TargetTime1,SkipRate11,SkipRate12,TargetTime2,SkipRate21,SkipRate22,TargetTime3,SkipRate31,SkipRate32,TargetTime4,SkipRate41,SkipRate42,TargetTime5,SkipRate51,SkipRate52,LocalizationArea
副本ID,注释,时间条件1（秒）,条件1跳层几率,条件1跳层几率2,时间条件2,条件2跳层几率,条件2跳层几率2,时间条件3,条件3跳层几率,条件3跳层几率2,时间条件1（秒）,条件4跳层几率,条件4跳层几率2,时间条件1（秒）,条件5跳层几率,条件5跳层几率2,
3101,无限塔第1层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3102,无限塔第2层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3103,无限塔第3层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3104,无限塔第4层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3105,无限塔第5层,43,5=100,,55,4=100,,67,3=100,,74,2=100,,95,2=100,,
3106,无限塔第6层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3107,无限塔第7层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3108,无限塔第8层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3109,无限塔第9层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3110,无限塔第10层,43,5=100,,55,4=100,,67,3=100,,74,2=100,,95,2=100,,
3111,无限塔第11层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3112,无限塔第12层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3113,无限塔第13层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3114,无限塔第14层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3115,无限塔第15层,43,5=100,,55,4=100,,67,3=100,,74,2=100,,95,2=100,,
3116,无限塔第16层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3117,无限塔第17层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3118,无限塔第18层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3119,无限塔第19层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
