ItemChangeReason,
道具获取途径(配置的值会用于统计真实收益),获取途径名称(策划用)
0,用于统计没记录的产出
1,挂机个人掉落
8,任务奖励
9,偷取
10,MVP
11,MVP
17,副本结算
25,功能开放发奖
30,采集
33,邮件
45,主线任务奖励
46,支线任务奖励
47,爱神任务奖励
48,伊甸园任务奖励
49,转职任务奖励
50,完成日常活动
51,抽奖券随机转盘
52,挖宝随机转盘
53,玩家礼物赠送
54,七日惊喜赠送
55,采集木
56,采集矿
63,mvp参与奖励
69,圣歌试炼副本通关
75,波利点数达到条件给物品
77,公会福利
80,公会宴会任务完成场景奖励
81,公会宴会吃菜
82,宴会场景奖励
85,pve奖励
86,pve额外奖励
92,冒险任务类型奖励
93,双人副本结算
94,猫手商会奖励
99,无限塔结算
100,战场结算
101,主题副本结算
104,Mini参与奖励
105,擂台结算
106,英雄挑战结算
108,共有掉落
109,个人掉落
110,单人触摸全Team获得
111,idip增加道具
112,公会发送邮件
113,roll点玩法
114,翻牌玩法
115,杀死mini
116,萌新手册奖励
127,委托任务活跃奖励
128,助战奖励
129,助战特殊奖励
130,三十次签到奖励
131,成就完成奖励
132,成就点奖励
135,大秘境周活跃奖励
140,公会狩猎最终奖励
141,公会狩猎副本奖励
142,迷宫副本奖励物品
144,抢红包
150,等级礼包相关
154,副本领奖
155,时尚评分参与奖励
156,委托任务活跃奖励
158,主题派对抽奖
161,恶搞宝箱 雕塑拍照
162,工会宴会奶油乱斗赢家
163,工会宴会奶油乱斗观战
165,公会礼盒
166,大世界果子采集
167,主题派对特别奖励
168,公会礼盒
171,挖宝
173,时尚度礼包
177,塔防奖励
192,主题派对跳对奖励
195,NPC馈赠
196,主题派对参与奖
198,开启公会宴会香槟祝福
202,周末宴会副本结算
203,助战萌新用户
204,助战回流用户
205,助战小号用户
207,战场助战奖励
210,领取免费礼包
211,剧情本
212,周末宴会副本结算
213,塔防周奖励
221,乐园团幸运奖励
222,乐园团职业
225,发现呀哈哈奖励
251,魔物图鉴发奖励
50103,发现呀哈哈奖励
