ID,Name,SortID,Atlas,Photo,FrameBot,Description,AutoUse,Default,isHide,LocalizationArea,ShowTimeRules,ShowTimeRulesPara
ID,名称,排序id,图集,上半部分,下半部分,描述,是否获得后自动使用（1是 0否）,默认,是否隐藏(配置1隐藏，0或不填正常显示),本地化区域划分(0所有1中2日4香港8韩16北美，多地区时数字叠加）,当ShowTimeRules配1时，ShowTimeRulesPara配自然时间，结束日期不能超过20301231，例：20210730=050000|20301231=045959\n4、当ShowTimeRules配2时，ShowTimeRulesPara配开服天数，例：1=100；当isHide填1时，ShowTime字段不生效,
1041001,默认头像框,1,Personal_Headframe02,UI_Headframe01_Icon_00_1.png,UI_Headframe01_Icon_00_2.png,,,1,,,,
1041002,魔物奇缘<疯兔>头像框,3,Personal_Headframe02,UI_Headframe01_Icon_01_1.png,UI_Headframe01_Icon_01_2.png,,,,,11,,
1041003,夏日物语头像框,2,Personal_Headframe02,UI_Headframe01_Icon_02_1.png,UI_Headframe01_Icon_02_2.png,,,,,9,,
1041004,天地树下头像框,4,Personal_Headframe02,UI_Headframe01_Icon_03_1.png,UI_Headframe01_Icon_03_2.png,,,,,9,,
1041005,卡普拉定制头像框,5,Personal_Headframe02,UI_Headframe01_Icon_04_1.png,UI_Headframe01_Icon_04_2.png,通过喵果返利活动获得,,,,27,,
1041006,月兔头像框,6,Personal_Headframe02,UI_Headframe01_Icon_05_1.png,UI_Headframe01_Icon_05_2.png,2020年秋夕活动——米莉的松饼屋，集齐所有特色松饼头像后获得,,,,9,,
1041007,时间之翼头像框,7,Personal_Headframe02,UI_Headframe01_Icon_06_1.png,UI_Headframe01_Icon_06_2.png,神秘商店中购买并开启“时间之翼扭蛋”时有几率获得,,,,9,,
1041008,万圣夜头像框,8,Personal_Headframe02,UI_Headframe01_Icon_08_1.png,UI_Headframe01_Icon_08_2.png,嘉年华商店中使用嘉年华纪念币兑换获得,,,,11,,
1041009,飞行员头像框,9,Personal_Headframe02,UI_Headframe01_Icon_09_1.png,UI_Headframe01_Icon_09_2.png,通过购买嘉年华特别通行证获得,,,,11,,
1041010,鬼魂头像框,10,Personal_Headframe02,UI_Headframe01_Icon_07_1.png,UI_Headframe01_Icon_07_2.png,,,,,9,,
1041011,喵喵相伴头像框,11,Personal_Headframe02,UI_Headframe01_Icon_10_1.png,UI_Headframe01_Icon_10_2.png,,,,,9,,
1041012,雪花节头像框,12,Personal_Headframe02,UI_Headframe01_Icon_11_1.png,UI_Headframe01_Icon_11_2.png,通过参与2020年雪花节雪仗原激战活动获得,,,,27,,
1041013,冬日头像框（15天）,13,Personal_Headframe02,UI_Headframe01_Icon_12_1.png,UI_Headframe01_Icon_12_2.png,,,,,27,,
1041014,玩具士兵头像框,14,Personal_Headframe02,UI_Headframe01_Icon_13_1.png,UI_Headframe01_Icon_13_2.png,,,,,9,,
