Cycle,Description,Time,Award,LableType
期数,注释(策划自用),对应TimeLimitTable表,对应AwardTable表,页签类型（依据填写的顺序排列）
1,第1期,700,3011400,2|3|1
2,第2期,701,3011400,1|2|3|4
3,第3期,702,3011400,1|2|3|4
4,第4期,703,3011400,1|2|3|4
5,第5期,704,3011400,1|2|3|4
6,第6期,705,3011400,1|2|3|4
7,第7期,706,3011400,1|2|3|4
8,第8期,707,3011400,1|2|3|4
9,第9期,708,3011400,1|2|3|4
10,第10期,709,3011400,1|2|3|4
11,第11期,710,3011400,1|2|3|4
12,第12期,711,3011400,1|2|3|4
13,第13期,712,3011400,1|2|3|4
14,第14期,713,3011400,1|2|3|4
15,第15期,714,3011400,1|2|3|4
16,第16期,715,3011400,1|2|3|4
17,第17期,716,3011400,1|2|3|4
18,第18期,717,3011400,1|2|3|4
19,第19期,718,3011400,1|2|3|4
20,第20期,719,3011400,1|2|3|4
21,第21期,720,3011400,1|2|3|4
