ItemID,,,FloatRange,Price,NodePrice1,NodePrice2,NodePrice3,NodePrice4,NodePrice5,NodePrice6,NodePrice7,NodePrice8,NodePrice9,NodePrice10,NodePrice11,NodePrice12,NodePrice13,NodePrice14,NodePrice15,NodePrice16,NodePrice17,NodePrice18,NodePrice19,NodePrice20,NodePrice21,NodePrice22,NodePrice23,NodePrice24,NodePrice25,NodePrice26,NodePrice27,NodePrice28,NodePrice29,NodePrice30
道具ID,道具名称(策划用),筛选(策划用，1摆摊2商会),允许浮动比例(万分比),期望价格\r\n(异常情况取不到值，用第一个合法值),服务器等级30\r\n(异常情况取不到价格时，使用节点价格1),服务器等级35,服务器等级40,服务器等级45,服务器等级50,服务器等级55,服务器等级60,服务器等级65,服务器等级70,服务器等级75,服务器等级80,服务器等级85,服务器等级90,服务器等级95,服务器等级100,服务器等级105,服务器等级110,服务器等级115,服务器等级120,服务器等级125,服务器等级130,服务器等级135,服务器等级140,服务器等级145,服务器等级150,服务器等级155,服务器等级160,服务器等级165,服务器等级170,服务器等级175
3040012,煤炭,1,1000,30=1250|35=1250|40=1250|45=1250|50=1250|55=1250|60=1250|65=1250|70=1250|75=1250|80=1250|85=1250|90=1250|95=1250|100=1250|105=1250|110=1250|115=1250|120=1250|125=1250|130=1250|135=1250|140=1250|145=1250|150=1250|155=1250|160=1250|165=1250|170=1250|175=1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
3040005,火灵原石,1,1000,30=8000|35=8000|40=8000|45=8000|50=8000|55=8000|60=8000|65=8000|70=8000|75=8000|80=8000|85=8000|90=8000|95=8000|100=8000|105=8000|110=8000|115=8000|120=8000|125=8000|130=8000|135=8000|140=8000|145=8000|150=8000|155=8000|160=8000|165=8000|170=8000|175=8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
3040006,水灵原石,1,1000,30=8000|35=8000|40=8000|45=8000|50=8000|55=8000|60=8000|65=8000|70=8000|75=8000|80=8000|85=8000|90=8000|95=8000|100=8000|105=8000|110=8000|115=8000|120=8000|125=8000|130=8000|135=8000|140=8000|145=8000|150=8000|155=8000|160=8000|165=8000|170=8000|175=8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
3040007,土灵原石,1,1000,30=8000|35=8000|40=8000|45=8000|50=8000|55=8000|60=8000|65=8000|70=8000|75=8000|80=8000|85=8000|90=8000|95=8000|100=8000|105=8000|110=8000|115=8000|120=8000|125=8000|130=8000|135=8000|140=8000|145=8000|150=8000|155=8000|160=8000|165=8000|170=8000|175=8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
3040008,风灵原石,1,1000,30=8000|35=8000|40=8000|45=8000|50=8000|55=8000|60=8000|65=8000|70=8000|75=8000|80=8000|85=8000|90=8000|95=8000|100=8000|105=8000|110=8000|115=8000|120=8000|125=8000|130=8000|135=8000|140=8000|145=8000|150=8000|155=8000|160=8000|165=8000|170=8000|175=8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
2025007,速效修复药剂,1,1000,30=1300|35=1300|40=1300|45=1300|50=1300|55=1300|60=1300|65=1300|70=1300|75=1300|80=1300|85=1300|90=1300|95=1300|100=1300|105=1300|110=1300|115=1300|120=1300|125=1300|130=1300|135=1300|140=1300|145=1300|150=1300|155=1300|160=1300|165=1300|170=1300|175=1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
2025008,强效修复药剂,1,1000,30=5000|35=5000|40=5000|45=5000|50=5000|55=5000|60=5000|65=5000|70=5000|75=5000|80=5000|85=5000|90=5000|95=5000|100=5000|105=5000|110=5000|115=5000|120=5000|125=5000|130=5000|135=5000|140=5000|145=5000|150=5000|155=5000|160=5000|165=5000|170=5000|175=5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
1290004,空瓶,1,2500,30=500|35=500|40=500|45=500|50=500|55=500|60=500|65=500|70=500|75=500|80=500|85=500|90=500|95=500|100=500|105=500|110=500|115=500|120=500|125=500|130=500|135=500|140=500|145=500|150=500|155=500|160=500|165=500|170=500|175=500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1290014,杰勒比结晶,1,2500,30=500|35=500|40=500|45=500|50=500|55=500|60=500|65=500|70=500|75=500|80=500|85=500|90=500|95=500|100=500|105=500|110=500|115=500|120=500|125=500|130=500|135=500|140=500|145=500|150=500|155=500|160=500|165=500|170=500|175=500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1290015,三叶幸运草,1,2500,30=500|35=500|40=500|45=500|50=500|55=500|60=500|65=500|70=500|75=500|80=500|85=500|90=500|95=500|100=500|105=500|110=500|115=500|120=500|125=500|130=500|135=500|140=500|145=500|150=500|155=500|160=500|165=500|170=500|175=500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1290008,昆虫外壳,1,2500,30=500|35=500|40=500|45=500|50=500|55=500|60=500|65=500|70=500|75=500|80=500|85=500|90=500|95=500|100=500|105=500|110=500|115=500|120=500|125=500|130=500|135=500|140=500|145=500|150=500|155=500|160=500|165=500|170=500|175=500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
