ID,ItemID,EventDescription,BuyOrSell,MultiplyFloat,EventQuality,Merchant,RandomWeight,NeedPay
随机事件ID,对应货物,事件详细,买入或卖出,随机参数浮动,事件质量标识,商人,随机权重,事件价格
1,9999901,普隆德拉的<color=$$Yellow$$>波利果冻</color>供应过多，购买价格下调,1,0.85=0.9,1,9991,10,100
2,9999902,普隆德拉的<color=$$Yellow$$>小恶魔餐叉</color>供应过多，购买价格下调,1,0.75=0.85,2,9992,10,1000
3,9999903,普隆德拉的<color=$$Yellow$$>卡纳多斯戒指</color>供应过多，购买价格下调,1,0.65=0.75,3,9993,10,8000
4,9999904,波利岛的<color=$$Yellow$$>溜溜香蕉</color>供应过多，购买价格下调,1,0.85=0.9,1,9994,10,100
5,9999905,波利岛的<color=$$Yellow$$>化石翅膀</color>供应过多，购买价格下调,1,0.75=0.85,2,9995,10,1000
6,9999906,波利岛的<color=$$Yellow$$>紫宝石项链</color>供应过多，购买价格下调,1,0.65=0.75,3,9996,10,8000
7,9999907,伊斯鲁得的<color=$$Yellow$$>风干人鱼唇</color>供应过多，购买价格下调,1,0.85=0.9,1,9991,10,100
8,9999908,伊斯鲁得的<color=$$Yellow$$>甲虫香水</color>供应过多，购买价格下调,1,0.75=0.85,2,9992,10,1000
9,9999909,伊斯鲁得的<color=$$Yellow$$>恶魔之眼</color>供应过多，购买价格下调,1,0.65=0.75,3,9993,10,8000
10,9999910,苏克拉特的<color=$$Yellow$$>神秘肉干</color>供应过多，购买价格下调,1,0.85=0.9,1,9994,10,100
11,9999911,苏克拉特的<color=$$Yellow$$>月夜猫指甲</color>供应过多，购买价格下调,1,0.75=0.85,2,9995,10,1000
12,9999912,苏克拉特的<color=$$Yellow$$>幻想花种子</color>供应过多，购买价格下调,1,0.65=0.75,3,9996,10,8000
13,9999913,沙漠之桥的<color=$$Yellow$$>减肥药剂</color>供应过多，购买价格下调,1,0.85=0.9,1,9991,10,100
14,9999914,沙漠之桥的<color=$$Yellow$$>大脚熊蜜饯</color>供应过多，购买价格下调,1,0.75=0.85,2,9992,10,1000
15,9999915,沙漠之桥的<color=$$Yellow$$>纯金耳环</color>供应过多，购买价格下调,1,0.65=0.75,3,9993,10,8000
55,9999901,普隆德拉的<color=$$Yellow$$>波利果冻</color>紧缺，各地收取价格上调,0,1.1=1.2,1,9991,10,100
56,9999902,普隆德拉的<color=$$Yellow$$>小恶魔餐叉</color>紧缺，各地收取价格上调,0,1.2=1.25,2,9992,10,1000
57,9999903,普隆德拉的<color=$$Yellow$$>卡纳多斯戒指</color>紧缺，各地收取价格上调,0,1.25=1.45,3,9993,10,8000
58,9999904,波利岛的<color=$$Yellow$$>溜溜香蕉</color>紧缺，各地收取价格上调,0,1.1=1.2,1,9994,10,100
59,9999905,波利岛的<color=$$Yellow$$>化石翅膀</color>紧缺，各地收取价格上调,0,1.2=1.25,2,9995,10,1000
60,9999906,波利岛的<color=$$Yellow$$>紫宝石项链</color>紧缺，各地收取价格上调,0,1.25=1.45,3,9996,10,8000
61,9999907,伊斯鲁得的<color=$$Yellow$$>风干人鱼唇</color>紧缺，各地收取价格上调,0,1.1=1.2,1,9991,10,100
62,9999908,伊斯鲁得的<color=$$Yellow$$>甲虫香水</color>紧缺，各地收取价格上调,0,1.2=1.25,2,9992,10,1000
63,9999909,伊斯鲁得的<color=$$Yellow$$>恶魔之眼</color>紧缺，各地收取价格上调,0,1.25=1.45,3,9993,10,8000
64,9999910,苏克拉特的<color=$$Yellow$$>神秘肉干</color>紧缺，各地收取价格上调,0,1.1=1.2,1,9994,10,100
65,9999911,苏克拉特的<color=$$Yellow$$>月夜猫指甲</color>紧缺，各地收取价格上调,0,1.2=1.25,2,9995,10,1000
66,9999912,苏克拉特的<color=$$Yellow$$>幻想花种子</color>紧缺，各地收取价格上调,0,1.25=1.45,3,9996,10,8000
67,9999913,沙漠之桥的<color=$$Yellow$$>减肥药剂</color>紧缺，各地收取价格上调,0,1.1=1.2,3,9991,10,100
68,9999914,沙漠之桥的<color=$$Yellow$$>大脚熊蜜饯</color>紧缺，各地收取价格上调,0,1.2=1.25,3,9992,10,1000
69,9999915,沙漠之桥的<color=$$Yellow$$>纯金耳环</color>紧缺，各地收取价格上调,0,1.25=1.45,3,9993,10,8000
