Id,SystemName,IndexType,Date,ActivityTime,PushTime,SkewTime,IntervalTime,ParticipationModel,PlayerManualModification,OpenSystemID,OffLineCondition,Priority,Text,Picture,SoundEffect,PushTriggerType
主键,(策划用，程序不读)功能名（推送名）,索引类型，不填 或 0 时，即不从其他表格索引，所有的推送信息都从当前表格中读取；\r\n当填1=X时，即从DailyActivitiesTable读取ID为X的活动的触发日期、组队模式、推送时间。,推送的日期（周一~周日）或者特定某一天（比如2020年元旦）\r\n（IndexType为1时此条不读),显示用的活动时间，开始时间 = 结束时间（24小时制）\r\n（IndexType为1时此条不读),推送时间（24小时制）\r\n（IndexType为1时此条不读),偏移时间（单位：分钟），配置方式为A=B分钟，即在A~B之间随机取一个整数值分钟，根据这个分钟值延迟或者提前推送，该值有2个参数，且可为负数。\r\n举例：\r\n0=30，即在（配置时间，配置时间+30分钟）内随机取一个时间延后推送。\r\n30=30，即在（配置时间+30分钟，配置时间+30分钟）内随机取一个时间推送，即为稳定延迟30分钟推送。\r\n-30=0，即在（配置时间-30分钟，配置时间）内随机取一个时间提前推送。\r\n-30=-30，即在（配置时间-30分钟，配置时间-30）内随机取一个时间推送，即为稳定提前30分钟推送。,间隔时间（单位：小时），即发送该条推送后，下次再推送该条时，需判断距离上次推送是否达到X小时。,参与模式，自定义文字，单人/组队/公会。\r\n（IndexType为1时此条不读),用于控制这条推送玩家是否可以手动修改（即玩家是否可见）。\r\n0或不填即为该条推送废弃；\r\n1=0即玩家可以手动修改，该推送初始状态为“不推送”；\r\n1=1即玩家可以手动修改，该推送初始状态为“推送”；\r\n2=0即为该条玩家不可修改，且该条默认不推送，效果等同于0；\r\n2=1即为该条玩家不可修改，且该条默认推送。\r\n2=2即为废弃推送。,功能ID，即需要该角色对应功能开放后才检测推送。\r\n（对应OpenSystemTable表的Id字段）,用于检测玩家下线时间的条件：\r\n配置为0或者不填时，则不检测该条件；\r\n配置为1时，则需要检测玩家是否满足当日（5点~现在）未登录过；\r\n配置为2=X，X为玩家下线的时间，单位为天（1天对应24小时）。,优先级排序，当有多个推送同时发送时，通过比较该行值的大小来确定谁的优先级更高，值越小则优先级越高。（若2个推送时间、优先级相同，则谁主键ID更小优先级更高）,(策划用，程序不读)推送文本，即推送中显示的文字内容。,推送的图片名，即推送中显示的图片内容。,背景音效，即弹出推送响起的音效。,检测该条推送的触发类型：\r\n若配置为0或不填，则该条推送可以重复发送（只要满足条件）；\r\n若配置为1，则该角色每次下线，该条推送只检测一次，上线后重置；\r\n若配置为2，该条推送只发送1次，终身制，推送完任何情况均不再推。
1,回流提醒（即触发回归礼包条件时）。,0=0,1|2|3|4|5|6|7,,1100,-30=30,240,,2=2,,1|2=20,1,叮，你有回归礼包可以领取，要不要上来看看呢,,,0
2,主题派对,1=16,,,,-30=0,,单人,1=1,2001,,2,主题派对即将开始，快上来看看吧,,,0
4,时尚周刊,0=0,3,500=2400,1130,,,单人,1=1,15010,1,3,时尚周刊已经开启，来参与评选时尚达人吧,,,0
5,公会宴会,1=11,,,,,,单人/组队,1=0,7000,,3,主题派对即将开始，快上来看看吧,,,0
6,公会匹配赛,1=20,,,,-10=-10,,公会,1=0,15101,,3,公会匹配赛将在10分钟后开始,,,0
7,极限挑战,1=14,,,,-10=-10,,组队,1=0,5140,,3,极限挑战将在10分钟后开始,,,0
8,擂台,1=10,,,,-10=-10,,组队,1=0,15002,,3,擂台挑战即将开始，来一较高下吧,,,0
9,战场,1=7,,,,-10=-10,,组队,1=0,15001,,3,战场即将开始，来一较高下吧,,,0
10,周末宴会,1=19,,,,,,单人,1=0,7012,,3,周末宴会已经开始，参与活动即可领取海量奖励,,,0
11,公会狩猎,1=15,,,,,,单人/组队,1=0,7009,,3,公会狩猎即将开始,,,0
14,日常唤回推送,0=0,7,,1200,0=30,,,2=1,,1,4,想知道米德加兹大陆又有什么新鲜事吗,,,0
19,双人天地树守卫战,0=0,6,1000=2400,1200,0=30,,组队,1=0,5161,1,3,双人天地树守卫战已经开放,,,0
110,(광고) 라그나로크 오리진!,0=0,20200707,,1230,,,,2=1,,,1,樂그나로크 5리眞! 12시 30분! 접속해서 보상받고 5가지의 찐 재미를 찾아보세요! (*●⁰ꈊ⁰●)ﾉ,,,
111,(광고) 라그나로크 오리진!,0=0,20200707,,1830,,,,2=1,,,1,길드 원과 함께 데비루치를 구출하자! ＼ ٩( ᐛ )و ／ 모험가님의 우편을 확인해주세요!,,,
112,(광고) 라그나로크 오리진!,0=0,20200708,,1230,,,,2=1,,,1,평일 중 제일 시간이 안가는 수요일! o(；△；)o 조금이라도 빨리 가라고 오전 보상을 드려요~,,,
