0,占位
1,恶魔宝藏
2,击杀mvp
3,摆摊获得zeny
4,鉴定稀有装备
5,精炼装备
6,无限塔
7,魔物驱逐 复仇的魔物
8,魔物驱逐 邪恶箱
9,饰品数量
10,被雷劈
11,击杀怪物·体型
12,击杀怪物·种族
13,武器孔
14,武器插卡
15,头顶表情拍照
16,击杀mvp的
17,工会宴会双人烹饪
18,精炼失败次数达到n
19,击杀精英怪还要野外
20,附魔次数达到n
21,m秒全队通关副本
22,收到队友的点赞
23,击杀所有mini
24,击杀过MINI的次数
25,首刀mvp
26,首刀mini
27,击杀boss并拍照
28,解锁指定配饰
29,解锁配置集合
30,使用所有的面部表情进行自拍
31,尾刀mvp
32,公会宴会排名
33,参与公会宴会
34,英雄挑战分数
35,时尚度的历史最大值达到过n
36,猫手商队填充货船次数达到n
37,达成职业n转
38,光辉勋章激活数量达到n
39,光辉勋章总等级达到n
40,神圣勋章激活数量达到n
41,玩家是否重置过素质点
42,玩家是否重置过技能点
43,分配属性点数最大值达到n(重置后不累加)
44,分配技能点数最大值达到n(重置后不累加)
45,累计参与战场n次(根据结算统计)
46,累计战场结算胜利n次
47,累计战场结算失败n次
48,玩家是否进行过攀爬
49,玩家是否穿戴过配饰
50,玩家是否查看过照片墙
51,玩家是否装备过载具
52,玩家是否完成过id为n的任务
53,玩家是否完成过id为n的成就
54,累计消耗委托证明达到n(实际消耗掉才计数)
55,最大好友数达到n
56,累计赠送n个道具
57,累计获赠n个道具
58,是否建立过聊天室
59,累计修改发型/发色次数达到n
60,累计修改瞳型/瞳色次数达到n
61,精炼转移次数达到n
62,生活技能，制造料理数量达到n
63,生活技能，制造药水数量达到n
64,拥有m个好友度达到n的好友
65,成功邀请玩家做双人动作，次数达到n
66,成功被邀请做双人动作，次数达到n
67,魔物图鉴点亮数量达到n
68,自拍次数达到n
69,解锁指定地图，地图id对应MapTable
70,是否被一击秒杀过
71,击杀过特定词缀的怪物，n对应AffixTable表中的id
72,擂台结算时，是否以15:0的比分赢得比赛
73,使用头顶表情次数达到n，头顶表情对应的表ShowExpressionTable
74,战场结算时，【获得胜利】且【己方大门未被攻破】
75,指定部位n穿戴过精炼+m的装备，n对应EquipPos
76,擂台达到n层
77,擂台达到n层m次
78,在PVP玩法中累计击杀n名玩家；
79,在PVP玩法中累计被击杀n次；
80,在PVP玩法中累计助攻n次；
81,装备锻造N次
82,商会出售道具获得Zeny币达到n
83,是否加入过公会
84,累计通关圣歌试炼达到n
85,在果实商店中，兑换道具数量达到n
86,通关下水道之谜
87,通关贤者回忆任意3个副本
88,通关贤者回忆任意3个大秘境
89,累计参与击杀n只MVP怪
90,使用过存储
91,跑商成就
92,累积获得n张任意卡片
93,全身穿戴装备的总精炼等级
94,全身装备的开洞数
95,主题派对中，是否获得过幸运之星1-3星
96,主题派对中，是否获得过幸运之星1等奖
97,主题派对，获得n次幸运奖
98,公会宴会，累积获得n次奶油乱斗的胜利
99,缘分考验
100,随机宝箱
101,通关大秘境第M章任意难度
102,呀哈哈数量
103,累积完成n次世界奇闻
104,完成n次公会祈福
105,成就勋章等级
106,大世界采集果子
107,累积参加n次卢恩杂志
108,武器等级
109,防具等级
110,类型为m的波利精灵n个
117,守卫天地树玩法中，在结算时累计击杀n波怪物
118,成功设置n名佣兵出战
119,累计n名佣兵升到m级
120,累计n名佣兵，全身5件装备升到m级
121,累计n名佣兵，解锁m个天赋
122,守卫天地树玩法中，坚持到第n波怪物刷新
123,在周末宴会比赛中取得第1名的成绩
124,在周末宴会比赛中取得第2-3名的成绩
125,在周末宴会比赛中取得第4-10名的成绩
126,累计获得N个协同之证
127,累计助战了N次
128,累计赠送过N个萌新玩家礼物
129,获得1次萌新玩家赠送的礼物
130,累计赠送过N个回归玩家礼物
131,获得1次回归玩家赠送的礼物
132,通关【贤者回忆】挑战玩法基础模式n次
