PackId,GroupContent,GroupWeight,GuarantGroup,GuarantLimit,txt,PackName,ProbabilityShows,ShowItemQuality,JobLimit,LevelLimit,ServerDaylLimit,GenderLimit,BindInfo
奖励包Id,奖励组内容（为-1则读取本表中的PackId）,奖励组权重,保底组（0为组保底，1为道具保底）,保底触发次数上限,策划用备注,组名,是否显示概率,获得显示奖励分级（0为绿色；1为蓝色；2为紫色；3为黄色）子包替换奖励组品质,"职业限制(职业Id|职业id,不填为通用)",等级限制,服务器开服天数,性别限制（1男2女0无限制）,配置道具的绑定状态（1绑定0不绑定，不配全绑）
1008,10081=-1|10082=-1,333|667,0=10081=10001,-1,,,1|1,,,,,,
10081,1070075=1|1070076=1|1070145=1|1070014=1|1070005=1|1070077=1|1070063=1|1070161=1|1070059=1|1080025=1|1080024=1|1090014=1|1090015=1,1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,,2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,
10082,3020003=2|3020004=2|3023001=1|2090020=1|2090025=1|3022001=2|2033001=1|3026005=1|1400201=1|1400301=1|2010012=10|2010001=200|2010005=200|2031002=20|3027001=5|3054001=2|3050006=2|3050010=2,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20,,,,,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,
100000,3024022=1|3024023=1|3024024=1,899|100|1,,,,,0,1|2|3,,,,,1
100010,3024022=1|3024023=1|3024024=1,635|330|35,,,,,0,1|2|3,,,,,
100020,1100002=1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100030,1100004=1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100040,1080037=1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100050,1070111=1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100060,1020024=1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100070,100071=-1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100071,100072=-1|100073=-1,,,,,,,3,,,,,
100072,1010005=1,,,,,,,3,,,,1,
100073,1010006=1,,,,,,,3,,,,2,
100025,1100002=1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100035,1100004=1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100045,1080037=1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100055,1070111=1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100065,1020024=1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100075,100076=-1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100076,100072=-1|100073=-1,,,,,,,3,,,,,
100077,1010005=1,,,,,,,3,,,,1,
100078,1010006=1,,,,,,,3,,,,2,
100080,100081=-1|3020003=5|3020004=5|3020013=1|3020014=1|3024002=3|3024003=2|3024004=3|3024005=1|2033001=5|2033002=3|3020010=1|3020007=4|40000010=200|3020008=1|3020009=1|3027004=2|3026005=5|2031016=10|2023001=1|2023002=1|2090045=1|2090024=1|2010008=2|2031004=10|3026006=15|3050006=10|3050010=10|3023002=2,37|600|600|150|150|500|500|500|50|200|100|50|300|200|200|200|500|300|200|50|50|50|50|100|300|200|400|400|500,,,,,0,3|0|0|1|1|1|2|0|2|0|1|0|0|2|0|0|0|0|0|1|1|1|1|1|0|0|0|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100081,100082=-1|100083=-1,,,,,,,3,,,,,
100082,1010019=1,,,,,,,3,,,,1,
100083,1010020=1,,,,,,,3,,,,2,
100085,100086=-1|3020003=20|3020004=20|3020005=4|3020006=4|3020013=3|3020014=3|3024002=10|3024003=5|3024004=10|3024005=3|2040016=2|3020010=3|3020008=3|3020009=3|3027004=6|3026005=15|2031016=30|2023001=3|2023002=3|2090045=3|2090024=3|2010008=6|3026006=50|3023002=6,105|600|600|600|600|150|150|500|500|500|50|200|50|200|200|500|300|200|50|50|50|50|100|200|500,,,,,0,3|0|0|1|1|1|1|1|2|0|2|0|0|0|0|0|0|0|1|1|1|1|1|0|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100086,100087=-1|100088=-1,,,,,,,3,,,,,
100087,1010019=1,,,,,,,3,,,,1,
100088,1010020=1,,,,,,,3,,,,2,
100090,1020003=1|100091=-1|100094=-1|1070193=1|1070250=1|1070169=1|1070251=1|1070253=1|1080038=1|1080078=1|1080086=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100091,100092=-1|100093=-1,,,,,,,3|3,,,,,
100092,1010053=1,,,,,,,3,,,,1,
100093,1010054=1,,,,,,,3,,,,2,
100094,100095=-1|100096=-1,,,,,,,3|3,,,,,
100095,1010061=1,,,,,,,3,,,,1,
100096,1010062=1,,,,,,,3,,,,2,
100110,1021046=1|1021041=1|100111=-1|100114=-1|1070250=1|1070169=1|1070251=1|1070253=1|1080038=1|1080078=1|1080086=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100111,100112=-1|100113=-1,,,,,,,3|3,,,,,
100112,1010074=1,,,,,,,3,,,,1,
100113,1010075=1,,,,,,,3,,,,2,
100114,100115=-1|100116=-1,,,,,,,3|3,,,,,
100115,1010033=1,,,,,,,3,,,,1,
100116,1010034=1,,,,,,,3,,,,2,
100120,1020031=1|1020030=1|100121=-1|1090064=1|1070250=1|1070169=1|1070251=1|1070253=1|1080038=1|1080078=1|1080086=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100121,100122=-1|100123=-1,,,,,,,3|3,,,,,
100122,1010068=1,,,,,,,3,,,,1,
100123,1010069=1,,,,,,,3,,,,2,
100130,1021047=1|100131=-1|100134=-1|1100021=1|1070250=1|1070169=1|1070251=1|1070253=1|1080038=1|1080078=1|1080086=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100131,100132=-1|100133=-1,,,,,,,3|3,,,,,
100132,1010005=1,,,,,,,3,,,,1,
100133,1010006=1,,,,,,,3,,,,2,
100134,100135=-1|100136=-1,,,,,,,3|3,,,,,
100135,1010059=1,,,,,,,3,,,,1,
100136,1010060=1,,,,,,,3,,,,2,
