Category,Name,Comment,Value
分类,名字,注释,值
基础数据,RoleSaveInterval,角色保存数据库时间间隔,3
,RoleVitalSaveInterval,角色关键数据保存数据库时间间隔（毫秒）,1000
,RoleSummarySaveInterval,角色基础信息保存数据库时间间隔,5
,Culture,语言,zh-CN
,MaxLevel,玩家等级上限,200
,LoginBlockTime,三次登录间隔时间,5
,MaxManualSlot,最大手动技能孔,12
,MaxAutoSlot,最大自动技能孔,6
,AutoSlotSkillID,自动栏初始技能ID,100001|100002|100005
,MaxSlotNum,最大技能孔数,6
,RecommendLevel,需要推荐流派的最低等级,1
,ResetSkillPointCost,重置技能需要的道具,2023002=1
,RepeatClickInterval,自动寻路重复点击触发间隔,500
创角,InitialReturnSceneID,创角场景ID,1
,InitialNoviceSkillID,初心者初始技能ID,1000
,RoleNameLenMin,起名最短字符数量,4
,RoleNameLenMax,起名最长字符数量,14
,InitialSceneID,出生场景ID,31
,BornRange,出生点范围,3
,PvpBornRange,PVP场景中玩家的出生范围,10
,BaseChangeLevel,玩家允许转职基础等级,10|40|70
,JobChangeLevel,玩家允许转职职业等级,10|50|90|130
,SkillPointDisplay,玩家技能面板需投技能点显示,0|40|40|40
,InitialRecordReviveScene,玩家初始记录复活场景,4
,JobMaxMail,Job经验上限邮件,4010
2.5D相机配置,MaxCameraDis,2.5D最大相机距离,28
,MinCameraDis,2.5D最小相机距离,7
,OrgCameraDis,2.5D默认相机距离,22
,OrgCameraDisPathFinding,2.5D模式自动寻路时默认相机距离,20
,MaxCameraRot,2.5D最大相机仰角,31
,MinCameraRot,2.5D最小相机仰角,6
,OrgCameraRot,2.5D默认相机仰角,31
,OrgCameraRotPathFinding,2.5D模式自动寻路时默认相机仰角,31
,CameraSpeedDis,2.5D相机距离缓动速度,6
,CameraSpeedRot,2.5D相机角度缓动速度,6
,CameraSpeedDisPathFinding,2.5D相机自动寻路时距离缓动速度,2
,CameraSpeedRotPathFinding,2.5D相机自动寻路时角度缓动速度,24
,CameraDelayTime,2.5D相机背追视角调整延迟,2
,CameraSpeedY,2.5D相机上下移动速度,0.09
,CameraSpeedX,2.5D相机左右移动速度,0.14
