ID,AddSkillQueue,ClassAbility,ThreeDimColor,ClassName,ClassEnglishName,ClassBGAtlas,ClassBGSprite,ClassIconAtlas,ClassIconSprite,ClassRecommandId,FeatureText,Difficulty,Desc
ID,技能加点（ID=技能ID，数字等于加到多少级）,"流派能力3个属性1~10 sequence<int, 3>（操作、伤害、生存）",流派能力颜色（红ff5858蓝93daff绿acff93黄ffe993）,流派名,流派英文名（填职业名即可）,流派背景颜色图集,流派背景颜色Sprite,流派头像图标图集,流派头像sprite,链接到成型预览表,特征(1 辅助 2 输出 3 防御),难度,描述（10字以内）
200001,200004=5|200005=1|200004=10|200005=5|200009=10|200005=10|200006=5|200011=5|210106=1|200012=10|210107=5|200013=5|210113=10|200013=10|200011=9|210204=10|210202=10|210207=5|210203=10|200007=5,,,,,,,,,,,,
300001,300001=5|300008=1|300002=5|300009=1|300002=10|300008=5|300003=5|300008=10|300012=5|300009=5|300015=1|300016=10|300015=2|310108=2|310102=5|310103=5|310111=5|300015=4|310112=5|310103=9|310203=10|310205=10|310202=5|310206=5|310207=5|310204=5,,,,,,,,,,,,
400001,400010=5|400005=5|400006=10|400005=10|400013=5|400014=5|400011=5|410108=5|410110=1|410111=3|410112=10|410108=10|410104=5|410105=5|410106=1|400017=5|410206=10|410212=10|410208=10|410205=10,,,,,,,,,,,,
500001,500024=5|500010=10|500024=10|500025=10|500011=5|500005=5|510109=5|510103=10|510109=10|510116=10|510110=5|510112=5|510206=10|510203=10|510207=10|510205=10,,,,,,,,,,,,
600001,600004=10|600005=1|610122=5|600014=10|600009=5|600010=5|600009=7|600010=7|610102=2|610103=3|610105=5|610107=1|610121=2|610106=3|610104=5|610106=5|610103=5|610102=5|610121=10|610108=4|610202=5|610217=10|610204=1|610205=10|610216=10|610203=4,,,,,,,,,,,,
700001,700005=10|700009=5|700004=10|700009=10|700006=5|700010=5|710106=1|710125=1|710128=10|710125=10|710107=10|710103=9|710202=10|710207=10|710203=5|710224=10|710203=10,,,,,,,,,,,,
210101,200004=5|200005=1|200004=10|200005=5|200009=10|200005=10|200006=5|200011=5|210106=1|200012=10|210107=5|200013=5|210113=10|200013=10|200011=9|210204=10|210202=10|210207=5|210203=10|200007=5,3=8=3,acff93,敏剑,Knight,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Minqi.png,210101,2|1|3,2,剑系高攻速输出
210102,200004=5|200005=1|200004=10|200005=5|200011=5|200005=10|200006=5|200011=10|200007=5|210106=1|210103=5|210104=10|210107=5|210103=10|210108=10|210112=4|210204=10|210205=10|210207=5|210208=5|210209=10,3=6=6,ff5858,枪骑,Knight,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Tiqi.png,210102,2|1|3,2,枪系技能伤害
210103,200004=5|200005=1|200004=10|200011=5|200006=10|200011=10|200007=9|210106=1|210114=5|210115=5|210109=10|210114=10|210107=5|210115=10|200007=10|210119=1|210105=2|210206=5|210204=10|210207=5|210208=5|210209=10|210108=5,5=5=8,ffe993,防御,Knight,Skill_UI,UI_Skill_Shools_04.png,Skill_School,UI_Skill_School_Fangqi.png,210103,3|1|2,3,持续减伤防御
