Id,des,Content,Time,
ID（1~999：cutscene黑幕用；1000~10000，剧情黑幕用）,策划备注用，该数据程序不读,文本内容(@段落分隔符 |时间)（这个列宽是字体不缩小的最大列宽，不要调动）,黑幕结束后自动关闭时间（0代表不会自动关闭需要玩家手动点击，大于0的数字为自动关闭的时间，单位秒）,
3,开场黑幕,301|302|303@304|305|306@307|308,2,
1000,标识任务英灵殿副本临时替代,100001|100002|100003|100004|100005|100006@100007,3,
1001,海利翁线索交代（已废弃）,100101|100102,3,
1002,海利翁线索交代（已废弃）,100201|100202|100203@100204,3,
1003,海利翁最终副本开场cutscene临时替代,100301|100302|100303|100304@100305|100306|100307|100308,3,
1004,海利翁最终副本结束cutscene临时替代,100401|100402|100403|100404|100405@100406|100407|100408|100409,3,
1005,海利翁线索交代（已废弃）,100501|100502|100503,3,
1006,王室诅咒线索交代,100601|100602|100603@100604|100605|100606|100607|100608,3,
1007,王室诅咒擂台赛临时交代,100701|100702,1,
1008,王室诅咒擂台赛临时交代,100801|100802|100803,3,
1009,刺客信条酒吧乱斗临时,100901|100902|100903|100904|100905,3,
1010,刺客信条露克希的记忆临时,101001|101002|101003|101004,3,
1011,刺客信条死亡报告临时,101101|101102|101103@101104|101105|101106,3,
1012,英灵殿奇遇临时,101201|101202|101203|101204@101205|101206|101207|101208|101209,3,
1013,英灵殿奇遇临时,101301|101302|101303|101304@101305|101306,3,
1014,鬼女用,101401|101402|101403|101404,4,
1015,鬼女用,101501|101502|101503|101504|101505@101506|101507|101508|101509|101510@101511|101512|101513|101514@101515|101516|101517|101518,5,
1016,鬼女用,101601|101602|101603|101604@101605|101606|101607|101608|101609@101610|101611|101612,4,
1017,鬼女用,101701|101702|101703|101704|101705,3,
1018,刺客信条酒吧乱斗,101801|101802|101803|101804,3,
1019,初遇露克希,101901|101902|101903|101904|101905,3,
1020,项链,102001|102002|102003,3,
1021,白女巫出场,102101|102102|102103|102104|102105@102106|102107|102108|102109|102110,3, 
1022,打断舞会,102201|102202|102203|102204@102205|102206,3,
1023,黑市大火,102301|102302|102303|102304,3,
1024,毕斯库斯,102401|102402,3,
1025,BGM房神秘人,102501|102502|102503,3,
1026,妙勒尼线（临时）,102601|102602|102603@102604|102605|102606|102607@102608|102609|102610@102611|102612|102613,3,
