Id,Profession,MaxLv,MinLv,Skill_Id_0,Skill_Lv_0,Skill_Id_1,Skill_Lv_1,Skill_Id_2,Skill_Lv_2,Skill_Id_3,Skill_Lv_3,Skill_Id_4,Skill_Lv_4
Id,流派,等级上限,等级下限,技能1的ID,技能1的等级,,,,,,,,
1,200001,50,20,200009,5,,,,,,,,
2,200001,100,50,200009,10,,,,,,,,
3,200002,50,20,200004,10,,,,,,,,
4,200003,50,20,210109,5,,,,,,,,
5,300001,50,20,300008,5,,,,,,,,
6,300002,50,20,300002,10,,,,,,,,
7,300003,50,20,300010,1,,,,,,,,
8,400001,50,20,400006,3,,,,,,,,
9,400002,50,20,400001,3,,,,,,,,
10,500001,50,20,500024,1,,,,,,,,
11,500002,50,20,500024,1,,,,,,,,
12,500003,50,20,500024,1,,,,,,,,
13,600001,50,20,610122,5,,,,,,,,
14,600002,50,20,600014,3,,,,,,,,
15,700001,50,20,700006,1,,,,,,,,
16,700002,50,20,700006,1,,,,,,,,
17,700003,50,20,710114,10,,,,,,,,
