ID,Comment,Type,SupportNav,DescShort
道具ID,注释,采集类型 1.采摘 2.挖矿 3.钓鱼,是否在采集寻路列表上显示,框架列表上的短描述
3051001,贝壳,3,0,
3051002,青背鱼,3,0,
3051003,鲑鱼,3,0,
3051004,岩蟹,3,1,
3051005,海蜇,3,0,
3051006,金枪鱼,3,1,
3051007,鱿鱼,3,0,
3051101,茉莉花,1,0,
3051102,薄荷药草,1,0,
3051103,幻想花,1,0,
3051104,养身药草,1,1,
3051201,谷物,1,0,
3051202,食用蘑菇,1,1,
3051203,白菜叶,1,0,
3051204,黄金蜜玉米,1,0,
3060028,人鱼的眼泪,3,0,
3040009,铁矿石,2,0,
3040012,煤炭,2,0,
3040013,煤矿,2,0,
3040014,星星的粉末,2,0,
3040015,星星的角,2,0,
3051010,蛤蜊,3,1,
3051008,鲜虾,3,1,
3051009,海苔,3,1,
3051205,迷迭香,1,1,
3051206,稻谷,1,1,
3051207,稞麦,1,1,
