ID,MonsterId,PosInfo
主键,怪物ID,场景ID列表(|分割多个)
1,1151,1|502
2,1029,1|45|2001
3,1008,1|23|3001
4,1005,1|501
5,1006,1|3002
6,3050,1
7,26205,1|4|5|8|9|10|11|12|13|17|19|34|35|38|53|54|56|67|501|504|505|506|507|508|509|510|511|512|513|514|516|517|518|519|521|522|5020|5030|5034
8,1063,1|4|5|8|9|10|12|13|23|34|35|36|37|53|54|56|67|502|504|514
9,1062,1|8|17|23|34|38|53|54|67|68|502|505|509|511|514|515|519|520|521|522|523|524
10,15216,1
11,1408,1
12,15217,1
13,15201,1|4|5
14,15202,1|4|5
15,15203,1
16,15204,1
17,15205,1
18,15206,1
19,15207,1
20,15213,1
21,15221,1
22,15209,1
23,15212,1
24,15211,1
25,15222,1
26,15208,1|4|5
27,15214,1
28,1001,4|10|12|13|23|45|1801|1806|1811|1816|1821|1826|1831|1836|1841|1846|1851|1856|2003|3001|7201|7202|7203|7204|7205|7206|7207|7208|7209|7211|7212|7213|7214|7215|7216|7217|7218|7219
29,1003,4|5|10
30,1004,4|45
31,1002,4|12|23|45|2001|3003
32,1168,4|8|9|13|17|36|68|502|504|520
33,1061,4|11|12|19|28|35|38|502|504|508|514|516|518
34,3131,4
35,120053,4|5|75
36,120054,4|5|75
37,120051,4|5|75
38,120055,4|5|75
39,120052,4|5|75
40,120056,4|5|75
41,120060,4|5|75
42,120059,4|5|75
43,120058,4|5|75
44,120057,4|5|75
45,1702,4|10|12|13
46,1402,4
47,1024,5|502
48,1011,5|12|502
49,1052,5|13|502|509
50,1060,5|10|12|17|28|37|56|68|502|504|506|510|513|514|517|522|523|524
51,1059,5|502
52,3051,5
53,1167,5|8|13|48|53|501|506|507|509|510|513|515|520|522|524
54,26204,5|7|11|16|19|21|26|34|35|38|47|50|504|507|509|510|513|514|521|522
55,1409,5|10
56,1704,5
57,25002,7
58,2988,7
59,9563,7
60,9557,7
61,9558,7
62,60026,7
63,9562,7
64,9566,7
65,2989,7
66,30542,7|29|59
67,60028,7
68,60029,7
69,60027,7
70,60002,7|2069
71,60004,7|2069
72,60003,7|2069
73,2987,7
74,9567,7
75,9559,7
76,26209,7|11|16|19|26|34|35|38|47|504|507|509|510|513|514|516|517|518|5020
77,26208,7|16|21|26|47|50
78,20173,7
79,20172,7
80,20171,7
81,20170,7
82,20169,7
83,20168,7
84,2986,7
85,2981,7
86,2984,7
87,2982,7
88,2985,7
89,2983,7
90,20211,7
91,1016,8|3002
92,1014,8
93,1015,8
94,1013,8
95,1018,8|3002
96,1017,8|3002
97,1039,8
98,1040,8
99,25331,8
100,3080,8
101,1028,9|17|53
102,1031,9|17|54|68
103,1037,9
104,1019,9|68
105,3072,9
106,1009,10|12|23|45|3003
107,1175,10
108,1010,10|12|2002
109,3057,10
110,25211,10
111,1023,10|48
112,1703,10|48
113,1076,11
114,1051,11
115,1067,11|28
116,3085,11
117,1054,11|13
118,3083,12
119,25181,12
120,1030,12
121,1049,12
122,3058,13
123,25391,13
124,1036,13
125,9461,16
126,9462,16
127,60032,16
