ID,NpcId,SceneId1,Pos1,SceneId2,Pos2,SceneId3,Pos3,SceneId4,Pos4,SceneId5,Pos5,TaskAccept,TaskFinish,TaskTarget1,TaskTarget2,TaskTarget3,TaskTarget4,TaskTarget5
主键,NPC主键,场景id1,坐标1,场景id2,坐标2,场景id3,坐标3,场景id4,坐标4,场景id5,坐标5,任务接取关联,任务交付关联,任务目标1关联,任务目标2关联,任务目标3关联,任务目标4关联,任务目标5关联
1,3752,1,"189.28,8.04,119.75",,,,,,,,,,,,,,,
2,3753,1,"189.51,7.67,112.9",,,,,,,,,,,,,,,
3,3750,1,"183.64,8.2,121.13",,,,,,,,,,,,,,,
4,3754,1,"142.7036,7.42,110.1408",,,,,,,,,19005100,19005130,,,,,
5,3751,1,"119.3671,7.33,104.0129",,,,,,,,,,12001210,,,12001210,,
6,40031,1,"162.53,13.02,179.61",,,,,,,,,,,,,,,
7,3764,1,"48.93592,8.59,126.6987",,,,,,,,,,,,,,,
8,3762,1,"30.89,7.48,122.92",,,,,,,,,,,,,,,
9,3755,1,"41.4124,7.39,120.9597",,,,,,,,,6006010|6006040|6007010,6004120|6006010|6006040|6007030,,,,,
10,3756,1,"30.95277,7.42,122.3384",,,,,,,,,,,,,,,
11,60943,1,"148.4358,7.4,120.9531",,,,,,,,,,,,,,,
12,17691,1,"25.41005,7.39,118.9958",,,,,,,,,,,,,,,
13,60944,1,"173.3528,12.55,160.5211",,,,,,,,,,,,,,,
14,60945,1,"183.1763,8.1,124.2204",,,,,,,,,,,,,,,
15,60946,1,"109.905,7.38,99.90049",,,,,,,,,,,,,,,
16,60947,1,"105.8968,7.41,83.14319",,,,,,,,,,,,,,,
17,60948,1,"156.4911,7.75,152.1747",,,,,,,,,,,,,,,
18,61794,1,"190.1917,7.67,105.8929",,,,,,,,,,,,,,,
19,61797,1,"189.6643,7.61,106.7051",,,,,,,,,,,,,,,
20,61798,1,"189.1208,7.72,105.6139",,,,,,,,,,,,,,,
21,61795,1,"188.927,7.74,106.0576",,,,,,,,,,,,,,,
22,61796,1,"185.8786,7.92,108.6324",,,,,,,,,,,,,,,
23,61799,1,"186.219,7.89,103.0797",,,,,,,,,,,,,,,
24,61793,1,"184.28,7.91,105.7071",,,,,,,,,,,,,,,
25,3721,4,"78.89,9.97,145.9",2246,"57.51,15.84,173.48",2247,"57.51,15.84,173.48",2248,"57.51,15.84,173.48",2249,"57.51,15.84,173.48",,,,,,,
26,3723,4,"152.49,14.09,90.5",,,,,,,,,1004010,,,,,,
27,3725,4,"83.13,9.95,143.48",,,,,,,,,,,,,,,
28,3726,4,"102.9203,10.06,137.958",,,,,,,,,,,,,,,
29,3722,4,"88.38,10.06,145.83",,,,,,,,,,,,,,,
30,3749,4,"100.0582,10.06,143.7749",,,,,,,,,,,,,,,
31,40061,4,"55.37,13.95,70.14",,,,,,,,,,,,,,,
32,3727,4,"65.25849,10.06,134.87",2246,"44.49939,15.84,159.515",2247,"44.49939,15.84,159.515",2248,"44.49939,15.84,159.515",2249,"44.49939,15.84,159.515",,,,,,,
33,3728,4,"119.396,10.43,133.7967",,,,,,,,,,,,,,,
34,3729,4,"119.7861,10.42,133.9438",,,,,,,,,,,,,,,
35,3730,4,"155.9517,6.48,121.4867",,,,,,,,,,,,,,,
36,3731,4,"156.23,6.48,121.85",,,,,,,,,,,,,,,
37,3732,4,"156.37,7.01,122.45",,,,,,,,,,,,,,,
38,3733,4,"124.6787,10.4,133.3413",,,,,,,,,,,,,,,
39,50600,4,"152.09,6.77,110.41",,,,,,,,,,,,,,,
40,60949,4,"112.955,10.01,129.4045",,,,,,,,,,,,,,,
41,60950,4,"61.96566,10.01,127.1357",,,,,,,,,,,,,,,
42,60951,4,"102.4457,10.01,146.0111",,,,,,,,,,,,,,,
43,60952,4,"65.3576,10.01,81.38307",,,,,,,,,,,,,,,
44,60953,4,"153.764,14.04,77.56332",,,,,,,,,,,,,,,
45,60954,4,"152.01,6.93,107.23",,,,,,,,,,,,,,,
46,61790,4,"77.55849,9.97,142.2653",,,,,,,,,,,,,,,
47,61791,4,"78.66344,10.01,141.9923",,,,,,,,,,,,,,,
48,61792,4,"75.12863,9.97,139.7943",,,,,,,,,,,,,,,
49,61789,4,"81.8499,10.01,141.496",,,,,,,,,,,,,,,
50,61788,4,"78.00478,10.01,142.0709",,,,,,,,,,,,,,,
51,61787,4,"77.73999,9.99,142.3593",,,,,,,,,,,,,,,
52,61786,4,"79.63147,10.01,138.8935",,,,,,,,,,,,,,,
53,40091,5,"67.56,10,92.64",,,,,,,,,,,,,,,
54,3840,5,"132.26,10,52.7",,,,,,,,,,,,,,,
55,3842,5,"118.11,10,53.76",,,,,,,,,,12001010,,,,,
56,3841,5,"127.77,10,53.39",,,,,,,,,,,,,,,
57,60955,5,"84.13621,10,42.22379",,,,,,,,,,,,,,,
58,60956,5,"150.4247,10,57.67001",,,,,,,,,,,,,,,
59,60957,5,"112.1413,10,49.4794",,,,,,,,,,,,,,,
60,60958,5,"93.4,10,111.19",,,,,,,,,,,,,,,
61,60959,5,"130.2952,13.07,177.4578",,,,,,,,,,,,,,,
62,60960,5,"96.52676,13.07,136.3115",,,,,,,,,,,,,,,
63,61712,5,"130.5921,10,57.53522",,,,,,,,,,,,,,,
64,61713,5,"130.1972,10,61.88963",,,,,,,,,,,,,,,
65,61714,5,"130.32,10,61.57",,,,,,,,,,,,,,,
66,61715,5,"127.6035,10,59.13434",,,,,,,,,,,,,,,
67,61716,5,"129.2806,10,61.42942",,,,,,,,,,,,,,,
68,61717,5,"131.153,10,61.47332",,,,,,,,,,,,,,,
69,61718,5,"133.588,10,59.41874",,,,,,,,,,,,,,,
70,1002,7,"97.91,9.83,34.34",2069,"97.90627,9.829405,34.34",2140,"97.91,9.83,34.34",,,,,,20000610|20000710|20000810|20000910|20001000|20001100,,,,,
71,1003,7,"89.05,9.83,87.51",2069,"89.049,9.829517,87.51428",2140,"89.05,9.83,87.51",,,,,,,,,,,
72,1004,7,"98.79,9.83,87.71",2069,"98.79063,9.829532,87.70671",2140,"98.79,9.83,87.71",,,,,,,,,,,
73,1005,7,"33.87,9.83,123.47",2069,"33.87316,9.829507,123.4652",2140,"33.87,9.83,123.47",,,,,,,,,,,
74,1006,7,"33.02,9.83,132.01",2069,"33.02132,9.829505,132.0102",2140,"33.02,9.83,132.01",,,,,19001400,19001400,,,,,
75,1007,7,"52.99,9.83,133.1",2069,"52.98663,9.829505,133.1046",2140,"52.99,9.83,133.1",,,,,,,,,,,
76,1008,7,"53.38,9.83,123.2",2069,"53.37598,9.828435,123.2005",2140,"53.38,9.83,123.2",,,,,,,,,,,
77,1009,7,"99.04,10.08,213.76",2069,"99.04,10.07753,213.765",2140,"99.04,10.08,213.76",,,,,,,,,,,
78,1010,7,"89.13,10.07,213.63",2069,"89.132,10.07386,213.6256",2140,"89.13,10.07,213.63",,,,,19001300,19001300,,,,,
79,1011,7,"98.96,9.83,192.22",2069,"98.96454,9.829498,192.223",2140,"98.96,9.83,192.22",,,,,,,,,,,
80,1012,7,"89.44,9.83,192.16",2069,"89.44154,9.829498,192.1589",2140,"89.44,9.83,192.16",,,,,,,,,,,
81,1013,7,"154.12,9.83,132.37",2069,"154.1173,9.829507,132.372",2140,"154.12,9.83,132.37",,,,,,,,,,,
82,1014,7,"154.26,9.83,123.82",2069,"154.2629,9.829512,123.82",2140,"154.26,9.83,123.82",,,,,,,,,,,
83,1015,7,"135.48,9.83,122.89",2069,"135.4757,9.82953,122.8906",2140,"135.48,9.83,122.89",,,,,,,,,,,
84,1016,7,"135.03,9.83,132.75",2069,"135.0271,9.829508,132.7492",2140,"135.03,9.83,132.75",,,,,,,,,,,
85,1017,7,"89.14,10.81,164.34",2069,"89.14214,10.80935,164.345",2140,"89.14,10.81,164.34",,,,,,,,,,,
86,1018,7,"98.72,10.81,164.29",2069,"98.71516,10.80898,164.2946",2140,"98.72,10.81,164.29",,,,,,,,,,,
87,1021,7,"87.99,9.8,66.64",,,,,,,,,6000800,6000800,,,,,
88,1022,7,"44.74,9.83,139.63",,,,,,,,,,,,,,,
89,1023,7,"88.2,9.83,209.95",,,,,,,,,,,,,,,
