ID,SkillId,ProfessionId
����,����ID,ְҵId
1,100001,1000
2,100002,1000
3,100003,1000
4,100005,1000
5,200001,2000
6,200002,2000
7,200003,2000
8,200004,2000
9,200005,2000
10,200006,2000
11,200007,2000
12,200009,2000
13,200010,2000
14,200011,2000
15,200012,2101
16,200013,2101
17,200022,2000
18,200027,2000
19,210101,2101
20,210103,2101
21,210104,2101
22,210105,2101
23,210106,2101
24,210107,2101
25,210108,2101
26,210109,2101
27,210112,2101
28,210113,2101
29,210114,2101
30,210115,2101
31,210119,2101
32,210201,2102
33,210202,2102
34,210203,2102
35,210204,2102
36,210205,2102
37,210206,2102
38,210207,2102
39,210208,2102
40,210209,2102
41,220101,2201
42,220102,2201
43,220103,2201
44,220105,2201
45,220106,2201
46,220107,2201
47,220108,2201
48,220109,2201
49,220110,2201
50,220111,2201
51,220112,2201
52,220113,2201
53,220114,2201
54,220115,2201
55,220116,2201
56,220201,2202
57,220202,2202
58,220203,2202
59,220206,2202
60,220207,2202
61,220208,2202
62,220209,2202
63,220210,2202
64,220211,2202
65,220212,2202
66,220213,2202
67,220214,2202
68,400001,4000
69,400002,4000
70,400003,4000
71,400004,4000
72,400005,4000
73,400006,4000
74,400007,4000
75,400008,4000
76,400009,4000
77,400010,4000
78,400011,4000
79,400012,4000
80,400013,4000
81,400014,4000
82,400015,4101
83,400016,4101
84,400017,4101
85,400030,4000
86,410101,4101
87,410102,4101
88,410103,4101
89,410104,4101
90,410105,4101
91,410106,4101
92,410108,4101
93,410110,4101
94,410111,4101
95,410112,4101
96,410114,4102
97,410201,4102
98,410202,4102
99,410204,4102
100,410205,4102
101,410206,4102
102,410207,4102
103,410208,4102
104,410209,4102
105,410210,4102
106,410212,4102
107,420101,4201
108,420103,4201
109,420104,4201
110,420105,4201
111,420106,4201
112,420107,4201
113,420108,4201
114,420109,4201
115,420110,4201
116,420112,4201
117,420113,4201
118,420114,4201
119,420115,4201
120,420116,4201
121,420117,4201
122,420118,4201
123,420201,4202
124,420203,4202
125,420204,4202
126,420205,4202
127,420206,4202
128,420207,4202
129,420208,4202
130,420209,4202
131,420210,4202
132,420211,4202
133,420212,4202
134,420213,4202
135,420214,4202
136,420215,4202
137,420216,4202
138,420217,4202
139,300001,3000
140,300002,3000
141,300003,3000
142,300004,3000
143,300005,3000
144,300006,3000
145,300007,3000
146,300008,3000
147,300009,3000
148,300010,3000
149,300011,3000
150,300012,3000
151,300013,3000
152,300014,3101
153,300015,3101
154,300016,3101
155,300025,3000
156,310101,3101
157,310102,3101
158,310103,3101
159,310104,3101
160,310105,3101
161,310106,3101
162,310107,3101
163,310108,3101
164,310109,3101
165,310111,3101
166,310112,3101
167,310114,3101
168,310201,3102
169,310202,3102
170,310203,3102
171,310204,3102
172,310205,3102
173,310206,3102
174,310207,3102
175,310208,3102
176,310209,3102
177,310210,3102
178,310211,3102
179,320101,3201
180,320102,3201
181,320103,3201
182,320104,3201
183,320105,3201
184,320106,3201
185,320107,3201
186,320108,3201
187,320109,3201
188,320110,3201
189,320111,3201
190,320112,3201
191,320113,3201
192,320201,3202
193,320202,3202
194,320203,3202
195,320204,3202
196,320205,3202
197,320206,3202
198,320207,3202
199,320208,3202
