ID,,Class,Description,KindID,Rarity,Quality,Department,ReleaseBase,ReleaseAddtional,Atlas,Icon,Scale,Horizontal,Height,Depth,PetStatId,BattleRoleLevel,HandBook,NormalAttackSkill,PrivateSkill,InitSkillCount,InitSkillId,CommonSkillGroupId,StatThreshold,InitialSTR,InitialINT,InitialAGI,InitialVIT,InitialDEX,InitialLUK,BaseAttr,SpecialAttrGroupID,LevelUpAttrGroupId,InteractiveOwnerAction,InteractiveOthersAction,TouchAction,SelfAction,ShowBubble,EntityID,BornSound,BornEffect,Shadow,InheritAttr,
宠物ID,宠物名（备注）,宠物种类,获取时界面上的描述,种类,稀有度（对应宠物颜色标识1=绿色2=蓝色3=紫色4=橙色）,品质（1=C品质，2=B品质，3=B+品质，4=A品质，5=S品质）,系别（1=物理|2=魔法）,放生时可以获得的基础道具(道具id=数量|道具id=数量),放生时可以额外获得的道具(道具id=数量),头像图集,头像,模型比例（仅用于主界面展示）,水平偏移（x轴偏移）,垂直偏移（y轴偏移）,深度（z轴偏移）,档次库id,出战等级要求（角色满足等级要求才允许出战）,是否在宠物图鉴显示（1显示，0不显示，默认0）,普攻id,天生技能（无法被顶掉）（技能id=权重|技能id=权重|…）,初始技能数量（数量=权重|数量=权重…）,初始技能（技能id=权重|技能id=权重|技能id=权重…，数量务必大于初始技能数量列填写的最大值）,学习技能库,资质阈值,力量资质（描述和属性id错位了，关注中文信息）,敏捷资质,体质资质,智力资质,灵巧资质,幸运资质,生成属性（属性id=下限=上限|属性id=下限=上限|…）10=亲密度,特殊属性库id,宠物升级属性库（1=普通宠物，2=神宠）,主人和宠物的交互动作(索引到ShowActionTable，再索引到AnimationTable),宠物和其他玩家/宠物交互的动作（直接索引到AnimationTable）,主界面点击模型随机播放的动作,宠物自己随机播动作（直接索引到AnimationTable）,宠物自己随机播动作时对应的喊话,关联entitytable,出生音效,是否播放出生特效,是否有阴影,自带属性,备注
1001,波利,波利,不开心的话，就抱抱我吧！,1001,1,1,1,90040=1,,Pokemon,Pokemon_boli.png,1.4,0,0,1.35,1,40,1,1000,,0=50|1=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=200=1200|374=200=1200|375=200=1400|376=200=1000|377=200=1400|378=200=1500,373=200=1200=100,374=200=1200=100,375=200=1400=100,376=200=1000=100,377=200=1400=100,378=200=1500=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=360=360|393=156=156|394=156=156|395=120=120|396=108=108|397=108=108|435=1500,5010,1,,27,27=9001|28=-1|29=-1,27,不开心的话，就抱抱我吧！|今天去哪里玩呢？|主人不要怕，我会保护你的！,230001,6001,1,1,额外生命+15%,物理_水_中_植物
1002,土人,土人,又把手弄脏了,1002,1,1,1,90040=1,,Pokemon,Pokemon_turen.png,1.2,0,0,1.35,1,60,1,1000,,0=50|1=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=200=1400|374=200=1200|375=200=1200|376=200=1500|377=200=1400|378=200=1000,373=200=1400=100,374=200=1200=100,375=200=1200=100,376=200=1500=100,377=200=1400=100,378=200=1000=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=360=360|393=156=156|394=156=156|395=120=120|396=108=108|397=108=108|172=1500,5010,1,21,27,27=9002|28=-1|29=-1,27,哼哼，我来啦|又把手弄脏了|我其实很厉害！|不要看不起我噢,230002,6002,1,1,风属性攻击+15%,物理_风_小_恶魔
1003,火山牛头犬,火山牛头犬,我跟在你身边，他们就不敢欺负你了！,1003,2,3,1,90040=1,90100=50,Pokemon,Pokemon_niutouquan.png,1.3,0,0,1.35,2,40,1,1000,43010=1,1=100|2=20,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1600|374=300=1400|375=300=1400|376=300=1500|377=300=1500|378=300=1600,373=300=1600=100,374=300=1400=100,375=300=1400=100,376=300=1500=100,377=300=1500=100,378=300=1600=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=435=435|393=188=188|394=188=188|395=145=145|396=130=130|397=130=130|405=2000,5030,3,,27,27=9003|28=-1|29=-1,27,汪？是蔬菜！|汪汪汪！|总有人说我笨笨的|我跟在你身边，他们就不敢欺负你了！|呜，占卜猫猫好可怕……,230003,6003,1,1,物理防御+20%,物理_火_待定_动物
1004,傀儡娃娃,傀儡娃娃,你害怕木偶吗？我很爱它们,1004,2,2,2,90040=1,,Pokemon,Pokemon_kuilei.png,1.2,0,0,1.35,1,80,1,1006,,1=100,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=300=1300|374=300=1500|375=300=1500|376=300=1300|377=300=1400|378=300=1400,373=300=1300=100,374=300=1500=100,375=300=1500=100,376=300=1300=100,377=300=1400=100,378=300=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|433=1000,5030,7,,27,27=9004|28=-1|29=-1,27,木偶发出咯吱咯吱的声音了|曾经有傀儡师与我共舞|我的木偶，会唱歌|是否真的存在一只看不见的手，在操纵我们的人生|你害怕木偶吗？我很爱它们,230004,6004,1,1,技能冷却加速10%,魔法_念_小_恶魔
1005,人鱼,人鱼,要听听我新学的歌谣吗？,1005,2,2,2,90040=1,,Pokemon,Pokemon_renyu.png,1.2,0,0,1.35,1,70,1,1002,,1=100,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=300=1400|374=300=1500|375=300=1300|376=300=1400|377=300=1500|378=300=1300,373=300=1400=100,374=300=1500=100,375=300=1300=100,376=300=1400=100,377=300=1500=100,378=300=1300=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|175=1500,5030,7,,27,27=9005|28=-1|29=-1,27,呜，我要离深海女巫远一些……|来到陆地上太久，需要涂一些油脂来保证鳞片的湿润~|眼泪变成珍珠了耶！|要听听我新学的歌谣吗？|海洋里不止有着无穷无尽的珍宝，还有一些可怕的东西……,230005,6005,1,1,水属性攻击+15%,魔法_水_中_鱼贝
1006,僵尸,僵尸,听说以前的人们会把铅粉当作化妆品，真可怕,1006,2,2,1,90040=1,,Pokemon,Pokemon_jiangshi.png,1.2,0,0,1.35,1,60,1,1001,,1=100,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1500|374=300=1300|375=300=1500|376=300=1400|377=300=1400|378=300=1300,373=300=1500=100,374=300=1300=100,375=300=1500=100,376=300=1400=100,377=300=1400=100,378=300=1300=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|67=800,5020,2,,27,27=9006|28=-1|29=-1,27,变成僵尸以后，脸色总是青青的，不太好看呢|听说以前的人们会把铅粉当作化妆品，真可怕|今天的你真漂亮~|打扮也是一门学问呢！|希望自己变得美美的~,230006,6006,1,1,物理伤害减免8%,物理_不死_中_不死
1007,妖道,妖道,我、我有一些话想对小僵尸说…,1007,2,2,1,90040=1,,Pokemon,Pokemon_yaodao.png,1.2,0,0,1.35,1,60,1,1000,,1=100,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1500|374=300=1400|375=300=1400|376=300=1500|377=300=1300|378=300=1300,373=300=1500=100,374=300=1400=100,375=300=1400=100,376=300=1500=100,377=300=1300=100,378=300=1300=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|68=800,5020,2,,27,27=9007|28=-1|29=-1,27,我、我有一些话想对小僵尸说……|今天的小僵尸，也很漂亮！|手臂弯不了呢|时不时地，总会想起以前的生活|每一天都要认真地过！,230007,6007,1,1,魔法伤害减免8%,物理_不死_中_不死
1008,摇滚蝗虫,摇滚蝗虫,这是我的新歌，唱给你听！,1008,1,1,1,90040=1,,Pokemon,Pokemon_huangchong.png,1.32,0,0,1.35,1,40,1,1000,,0=50|1=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=200=1200|374=200=1400|375=200=1400|376=200=1200|377=200=1500|378=200=1000,373=200=1200=100,374=200=1400=100,375=200=1400=100,376=200=1200=100,377=200=1500=100,378=200=1000=100,439=1|71=11000=11000|73=393=393|76=200=200|78=200=200|391=100=100|392=360=360|393=156=156|394=156=156|395=120=120|396=108=108|397=108=108,5010,1,,27,27=9008|28=-1|29=-1,27,跟着音乐，摇起来吧！|我最喜欢的乐队出新歌了！|哦吼！主唱的签名~|两张演唱会的票！你愿意和我一起去吗？|这是我的新歌，唱给你听！|音乐是献给灵魂的礼物,230008,6008,1,1,攻击速度+10%,物理_地_中_昆虫
1009,疯兔,疯兔,小兔子什么也不知道,1009,1,1,1,90040=1,,Pokemon,Pokemon_fengtu.png,1.2,0,0,1.35,1,40,1,1000,,0=50|1=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=200=1200|374=200=1000|375=200=1500|376=200=1200|377=200=1400|378=200=1400,373=200=1200=100,374=200=1000=100,375=200=1500=100,376=200=1200=100,377=200=1400=100,378=200=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=360=360|393=156=156|394=156=156|395=120=120|396=108=108|397=108=108|65=1000,5010,1,,27,27=9009|28=-1|29=-1,27,小兔子什么也不知道|我最喜欢苜蓿草啦，你也来尝一尝吧！|兔子急了也会咬人噢！|童话故事里，兔子总是被欺负……|我们兔子，也有力量！,230009,6009,1,1,物理伤害+10%,物理_无_小_动物
