PetEggID,,PetSelect
宠物蛋id（对应ItemTable的道具id）,名称（备注）,开启后获得宠物的权重：宠物id=权重|宠物id=权重|宠物id=权重
120100,宠物蛋-波利,1001=100
120110,宠物蛋-土人,1002=100
120120,宠物蛋-火山牛头犬,1003=100
120130,宠物蛋-傀儡娃娃,1004=100
120140,宠物蛋-人鱼,1005=100
120150,宠物蛋-僵尸,1006=100
120160,宠物蛋-妖道,1007=100
120170,宠物蛋-摇滚蝗虫,1008=100
120180,宠物蛋-疯兔,1009=100
120190,宠物蛋-鬼女,1010=100
120200,宠物蛋-蜡泪姑娘,1011=100
120210,宠物蛋-小鼠掌柜,1012=100
120220,宠物蛋-沙丘獭,1013=100
120230,宠物蛋-小巴风特,1014=100
120240,宠物蛋-国王小猪,1015=100
120250,宠物蛋-狐球,1016=100
120260,宠物蛋-行者浣熊,1017=100
120270,宠物蛋-火精灵,1018=100
120280,宠物蛋-松鼠女仆,1019=100
120290,宠物蛋-焰小鸡,1020=100
120300,宠物蛋-占卜猫猫,1021=100
120310,宠物蛋-八爪女巫,1022=100
120320,宠物蛋-白幽灵,1023=100
120330,宠物蛋-冰火鹿,1024=100
120340,宠物蛋-仙人掌,1025=100
120350,宠物蛋-小恶魔,1026=100
120360,宠物蛋-茶杯兔,1027=100
120370,宠物蛋-猫头鹰博士,1028=100
120380,宠物蛋-安塔夏σ型,1029=100
130100,随机宠物蛋C,1001=100|1002=100|1008=100|1009=100|1023=100
130110,随机宠物蛋B,1003=100|1004=150|1005=150|1006=150|1007=150|1013=50|1017=50
130120,随机宠物蛋A（不投放）,1011=100|1015=100|1016=100|1018=100|1021=100|1022=100
130130,随机宠物蛋,1001=500|1002=500|1008=500|1009=500|1023=500|1003=100|1004=150|1005=150|1006=150|1007=150|1013=100|1017=100|1014=50
130140,随机宠物蛋,1001=100|1007=900
