JobLv,Exp
等级,经验
1,170
2,180
3,190
4,240
5,260
6,330
7,450
8,490
9,750
10,970
11,1070
12,1150
13,1250
14,1360
15,1460
16,3570
17,3830
18,4120
19,4450
20,5800
21,6240
22,7250
23,7740
24,8270
25,8760
26,9340
27,9880
28,10460
29,11090
30,33010
31,36770
32,40590
33,43940
34,47140
35,56450
36,66790
37,81500
38,89390
39,102160
40,105790
41,110670
42,115280
43,120160
44,137850
45,177590
46,194730
47,212240
48,230910
49,261720
50,321660
51,351440
52,381880
53,414190
54,467960
55,509980
56,555490
57,602050
58,651260
59,733810
60,897700
61,975270
62,1054660
63,1138250
64,1279520
65,1388690
66,1505330
67,1624680
68,1749940
69,1963150
70,2233360
71,2416200
72,2603300
73,2799100
74,2821080
75,2861150
76,3090090
77,3324300
78,3390350
79,3391660
80,3540990
81,3569500
82,3656460
83,3680950
84,3736220
85,3887470
86,3907410
87,3968140
88,4008350
89,4112220
90,4239540
91,4352850
92,4443430
93,4514860
94,4631940
95,4675680
96,4707990
97,4764600
98,4795270
99,4824220
100,5162750
101,5183560
102,5198880
103,5213460
104,5227190
105,5235480
106,5245030
107,5249130
108,5252150
109,5253980
110,5298180
111,5344800
112,5387660
113,5430860
114,5474340
115,5514180
116,5556130
117,5594350
118,5632740
119,5671240
120,5706140
121,5742870
122,5775900
123,5808920
124,5841880
125,5871280
126,5902230
127,5929490
128,5956580
129,5983450
130,6674210
131,6701560
132,6724820
133,6747720
134,6770180
135,6788740
136,6808420
137,6824040
138,6839100
139,6853550
140,6864120
141,6875510
142,6882870
143,6889480
144,6895280
145,6897240
146,6991720
147,7084630
148,7179110
149,7275170
150,7369840
