SkillBookId,SkillItemId,SkillName,Atlas,Icon,SkillMechanism,SkillAttr,SkillBuff,SkillInfo,SpecializedPets,SkillType,SkillGroupId,SkillQuality,ExclusiveId,Notes,NeedAlterDescription,SkillDescription,HandBook,,VideoNeeded
Id,ItemId,技能名称,图集名字,图标,技能读取机制（0:属性，1:Buff，2:读取SkillEffectId列并索引技能效果表，支持0|1|2。）,技能属性（仅在技能机制栏为0时生效）,技能Buff（仅在技能机制栏为1时生效，buffid=类型，类型为0时是被动buff，类型为1时为登场buff）,技能信息（仅在技能机制栏为2时生效，技能id=技能等级）,同一技能不同宠物的另一个效果(填宠物ID),技能类型（1=属性，2=触发，3=主动，4=进场，5=光环，6=特殊…）,技能库id（id|id|id，支持多重配置）,技能品质,互斥Id（本列中数字相同的技能相互互斥，只能生效一个技能；不填代表不限制）,备注说明,是否需要特殊的技能描述来替换固有技能描述逻辑（0或默认：不需要；1需要）,特殊的技能描述,是否出现在技能图鉴中,备注,"是否需要视频演示(0=不需要, 1=需要)"
1000,110100,近战普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100103401=1,,,,,,近战普攻,,,,,
1001,110101,中距普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100103501=1,,,,,,中距普攻,,,,,
1002,110102,远程普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100103601=1,,,,,,远程普攻,,,,,
1003,110103,米莉普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100106401=1,,,,,,远程普攻,,,,,
1004,110104,冰火鹿普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100106801=1,,,,,,远程普攻,,,,,
1005,110105,近战普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100106901=1,,,,,,近战普攻,,,,,
1006,110106,中距普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100107001=1,,,,,,中距普攻,,,,,
1007,110107,安塔夏普攻,Skill_Common,UI_Icon_Skill_Common_GongJi.png,2,,,100108701=1,,,,,,近战普攻,,,,,
40000,140000,未知技能,Skill_pet,UI_Pokemen_emptyskill.png,0,,,,,1,1,1,,,1,暂时保密,,,
40010,140010,初级物理抗性,Skill_pet,PetSkill_wulikangxing1.png,0,405=800,,,,1,1,1,10,,1,物理防御+8%,1,,
40020,140020,初级魔法抗性,Skill_pet,PetSkill_mofakangxing1.png,0,406=800,,,,1,1,1,11,,1,魔法防御+8%,1,,
40030,140030,初级魔法上限提升,Skill_pet,PetSkill_mofatisheng1.png,0,404=1000,,,,1,1,1,12,,1,魔法值上限+10%,1,,
40040,140040,闪避提升,Skill_pet,PetSkill_shanbitisheng.png,0|1,53=10,1019701=0,,,1,1,1,,,1,闪避+10,1,,
40050,140050,初级生命提升,Skill_pet,PetSkill_shengmingtisheng1.png,0|1,401=1000,1019401=0,,,1,1,2,13,,1,生命值上限+10%,1,,
40060,140060,初级大体型减伤,Skill_pet,PetSkill_datixingjianshang1.png,0,231=1200|230=800,,,,1,1,2,14,,1,受大体型怪物伤害降低12%，受中体型怪物伤害降低8%,0,,
40070,140070,初级小体型减伤,Skill_pet,PetSkill_xiaotixingjianshang1.png,0,229=1200|230=800,,,,1,1,2,15,,1,受小体型怪物伤害降低12%，受中体型怪物伤害降低8%,0,,
40080,140080,初级暴击率增强,Skill_pet,PetSkill_baojilvzengqiang1.png,0,55=12,,,,1,1,2,18,,1,暴击+12,1,,
40090,140090,初级大体型增伤,Skill_pet,PetSkill_datixingzengshang1.png,0,224=1200|223=800,,,,1,1,2,16,,1,"对大体型种族伤害增加12%,对中体型种族伤害增加8%",1,,
40100,140100,初级小体型增伤,Skill_pet,PetSkill_xiaotixingzengshang1.png,0,222=1200|223=800,,,,1,1,2,17,,1,"对小体型种族伤害增加12%,对中体型种族伤害增加8%",1,,
40110,140110,初级元素系属性增强,Skill_pet,PetSkill_yuansuxishuxingzengqiang1.png,0,174=1200|175=1200|172=1200|173=1200,,,,1,1,2,19,,1,风，地，水，火属性技能伤害提升12%,0,,
40120,140120,初级黑暗系属性增强,Skill_pet,PetSkill_heianxishuxingzengqiang1.png,0,181=1200|178=1200|180=1200,,,,1,1,2,20,,1,毒，暗，不死属性技能伤害提升12%,0,,
40130,140130,初级光明系属性增强,Skill_pet,PetSkill_guangmingxishuxingzengqiang1.png,0,176=1200|177=1200|179=1200,,,,1,1,2,21,,1,无，圣，念属性技能伤害提升12%,0,,
40140,140140,初级暴击伤害增强,Skill_pet,PetSkill_baojizengqiang1.png,0,59=1200,,,,1,1,3,22,,1,暴击伤害+12%,1,,
40160,140160,异常抵抗,Skill_pet,PetSkill_yichangdikang.png,0,257=3000|258=3000|259=3000|260=3000|261=3000|262=3000|263=3000|264=3000|265=3000|266=3000|267=3000|268=3000|269=3000,,,,1,1,3,,,1,所有异常状态恢复+30%,1,,
40170,140170,初级物理伤害提升,Skill_pet,PetSkill_wuligongjili1.png,0,65=1200,,,,1,1,3,23,,1,物理伤害+12%,1,,
40180,140180,初级魔法伤害提升,Skill_pet,PetSkill_mofagongjili1.png,0,66=1200,,,,1,1,3,24,,1,魔法伤害+12%,1,,
40190,140190,高级大体型减伤,Skill_pet,PetSkill_datixingjianshang.png,0,231=1800|230=1200,,,,1,1,4,14,,1,宠物受大体型怪物伤害降低18%，受中体型怪物伤害降低12%,0,,
40200,140200,高级小体型减伤,Skill_pet,PetSkill_xiaotixingjianshang.png,0,229=1800|230=1200,,,,1,1,4,15,,1,宠物受小体型怪物伤害降低18%，受中体型怪物伤害降低12%,0,,
40210,140210,高级大体型增伤,Skill_pet,PetSkill_datixingzengshang.png,0,224=1800|223=1200,,,,1,1,4,16,,1,"对大体型种族伤害增加18%,对中体型种族伤害增加12%",1,,
40220,140220,高级小体型增伤,Skill_pet,PetSkill_xiaotixingzengshang.png,0,222=1800|223=1200,,,,1,1,4,17,,1,"对小体型种族伤害增加18%,对中体型种族伤害增加12%",1,,
40230,140230,高级魔法上限提升,Skill_pet,PetSkill_mofatisheng.png,0,404=3000,,,,1,1,4,12,,1,魔法值上限+30%,1,,
40240,140240,高级物理抗性,Skill_pet,PetSkill_wulikangxing.png,0,405=2000,,,,1,1,4,10,,1,物理防御+20%,1,,
40250,140250,高级魔法抗性,Skill_pet,PetSkill_mofakangxing.png,0,406=2000,,,,1,1,4,11,,1,魔法防御+20%,1,,
40260,140260,高级元素系属性增强,Skill_pet,PetSkill_yuansuxishuxingzengqiang.png,0,174=2000|175=2000|172=2000|173=2000,,,,1,1,5,19,,1,风，地，水，火属性技能伤害提升20%,0,,
40270,140270,高级生命提升,Skill_pet,PetSkill_shengmingtisheng.png,0|1,401=2000,1019501=0,,,1,1,4,13,,1,生命值上限+20%,1,,
40280,140280,高级黑暗系属性增强,Skill_pet,PetSkill_heianxishuxingzengqiang.png,0,181=2000|178=2000|180=2000,,,,1,1,5,20,,1,毒，暗，不死属性技能伤害提升20%,0,,
40290,140290,高级光明系属性增强,Skill_pet,PetSkill_guangmingxishuxingzengqiang.png,0,176=2000|177=2000|179=2000,,,,1,1,5,21,,1,无，圣，念属性技能伤害提升20%,1,专属,
40300,140300,高级暴击伤害增强,Skill_pet,PetSkill_baojizengqiang.png,0,59=2000,,,,1,1,5,22,,1,暴击伤害+20%,1,,
40310,140310,高级物理伤害提升,Skill_pet,PetSkill_wuligongjili.png,0,65=2000,,,,1,1,5,23,,1,物理伤害+20%,1,,
40320,140320,高级魔法伤害提升,Skill_pet,PetSkill_mofagongjili.png,0,66=2000,,,,1,1,5,24,,1,魔法伤害+20%,1,,
40330,140330,高级暴击率提升,Skill_pet,PetSkill_baojilvzengqiang.png,0,55=30,,,,1,1,5,18,,1,暴击+30,1,,
41010,141010,治疗光环,Skill_pet,PetSkill_zhiliaoguanghuan.png,1,,1008301=0,,,5,1,2,,,1,范围内友方单位每秒恢复生命值100点。进战后开启，脱战后或者蓝量低于20%关闭,1,,
41020,141020,忍耐光环,Skill_pet,PetSkill_fangyuguanghuan.png,1,,1008601=0,,,5,1,5,,,1,范围内友军的物理和魔法防御提升10%。进战后开启，脱战后或者蓝量低于20%关闭,1,,
41030,141030,冰脉光环,Skill_pet,PetSkill_chongwukexing.png,1,,1011901=0,,,5,1,5,,,1,范围内敌方每秒移动速度降低3%，最多叠加3次。进战后开启，脱战后或者蓝量低于20%关闭,1,,
41040,141040,物理强击光环,Skill_pet,PetSkill_gongjiguanghuan.png,1,,1008501=0,,,5,1,5,,,1,范围内友军的物理伤害提升8%。进战后开启，脱战后或者蓝量低于20%关闭,1,,
41050,141050,魔法强击光环,Skill_pet,PetSkill_gongjiguanghuan.png,1,,1011601=0,,,5,1,5,,,1,范围内友军的魔法伤害提升8%。进战后开启，脱战后或者蓝量低于20%关闭,1,,
41060,141060,献祭光环,Skill_pet,PetSkill_xianjiguanghuan.png,1,,1000401=0,,,5,1,5,,,1,"以宠物为圆心,5.5米为半径范围内的敌人每秒受到300的伤害,进战后开启，脱战后或者蓝量低于20%关闭",0,专属,
41110,141110,不稳定元素,Skill_pet,PetSkill_baozhaxingchuchang.png,1,,1010101=1,,,4,1,3,,,1,宠物上场立即对自身为5.5米范围内敌人造成500%物理伤害并击退敌人。,1,,1
41120,141120,出场恐吓,Skill_pet,PetSkill_chuchangkongxia.png,1,,1010301=1,,,4,1,3,,,1,宠物上场后范围内敌人物理和魔法防御下降10%，持续5秒。,1,,1
41130,141130,出场助威,Skill_pet,PetSkill_baozhaxingchuchang.png,1,,1010201=1,,,4,1,4,,,1,宠物上场后主人的物理伤害和魔法伤害提升20%，持续10秒。,1,,1
41140,141140,群体治愈,Skill_pet,PetSkill_chuchangqunliao.png,1,,1010401=1,,,4,1,4,,,1,"宠物上场时对范围内所有友军进行一次治疗,恢复20%点生命值和魔法值。",1,,1
41150,141150,寒冰领域,Skill_pet,PetSkill_hanbinglingyu.png,1,,1010001=1,,,4,1,5,,,1,宠物上场对自身为圆心5.5米为半径范围内敌人造成冰冻5秒，并且降低移动速度30%，持续5秒。,1,,1
41160,141160,火焰领域,Skill_pet,PetSkill_hanbinglingyu.png,1,,,,,4,1,5,,,1,宠物上场后对自身5.5米半径范围的的敌人进入灼烧状态，每秒对敌方造成5%最大生命值的伤害，持续5秒。,0,,
41210,141210,初级攻速提升,Skill_pet,PetSkill_gongsuzengqiang1.png,0,71=1500,,,,1,1,3,25,,1,攻速提升15%。,1,,
41220,141220,力量连携,Skill_pet,PetSkill_fennulianxie.png,1,,1007401=0,,,2,1,5,,,1,攻击时有5%概率对对方释放力量冲击,1,,
41230,141230,敏捷连携,Skill_pet,PetSkill_jifenglianxie.png,1,,1007501=0,,,2,1,5,,,1,攻击时有5%概率对对方释放敏捷冲击,1,,
41240,141240,智力连携,Skill_pet,PetSkill_mofalianxie.png,1,,1007601=0,,,2,1,5,,,1,攻击时有5%概率对对方释放智力冲击,1,,
41250,141250,高级攻速提升,Skill_pet,PetSkill_gongsuzengqiang.png,0,71=3000,,,,1,1,5,25,,1,攻速提升30%。,1,,
41260,141260,迷雾陷阱,Skill_pet,PetSkill_fanjiyazhi.png,1,,1012501=0,,,2,1,3,,,1,受到伤害时有35%的概率使敌方进入失明状态，降低命中率和暴击30点，持续5秒。,0,专属,
41270,141270,抵抗之力,Skill_pet,PetSkill_wulipofang.png,1,,1012801=0,,,2,1,5,,,1,每次受到攻击会提升自身的物理伤害和魔法伤害1%，持续3秒，最多叠加25层。,1,,
41280,141280,快速愈合,Skill_pet,PetSkill_mofazhiyu.png,1,,1013001=0,,,2,1,3,,,1,宠物血量低于30%时，提升50%物理和魔法防御，并且每秒回复最大生命值的5%，持续5秒，冷却时间20秒。,1,,
41310,141310,初级伤害浮动,Skill_pet,PetSkill_baojiguanghuan1.png,1,,1016801=0,,,2,1,3,26,,1,最终伤害在90%-120%之间浮动。,1,,
41320,141320,高级伤害浮动,Skill_pet,PetSkill_baojiguanghuan.png,1,,1016901=0,,,2,1,5,26,,1,最终伤害在100%-140%之间浮动。,1,,
41330,141330,复生,Skill_pet,PetSkill_kongju.png,1,,1013301=0,,,2,1,5,,,1,受到致死伤害时，进入无敌状态3秒，且血量恢复到最大血量的40%，冷却时间60秒。,1,,
41340,141340,神佑护盾,Skill_pet,PetSkill_wulikangxing.png,1,,1017201=0,,,3,1,5,2,,1,宠物攻击时20%概率为自身和主人生成各自生命值上限8%的护盾，持续15秒。该技能内置冷却时间10秒。,1,不投,
42010,142010,力量冲击,Skill_pet,PetSkill_liliangbaofa.png,2,,,100100201=1,,3,1,4,2,,1,宠物使用该技能攻击时，造成208%无属性物理伤害。此外，宠物每拥有75点力量资质额外增加10%无属性物理伤害并+1%本技能冷却回复速度。,1,,1
42020,142020,火箭术,Skill_Magician,UI_Icon_Skill_Magician_HuoJianShu.png,2,,,100104901=1,,3,1,3,2,,1,从天空落下火箭对指定单体目标造成350%火属性魔法伤害。,1,,1
42030,142030,雷击术,Skill_Magician,UI_Icon_Skill_Magician_LeiJiShu.png,2,,,100105001=1,,3,1,3,2,,1,从天空落下雷电对指定单体目标造成350%风属性魔法伤害。,1,,1
42040,142040,地震术,Skill_Magician,UI_Icon_Skill_Magician_DiZhenShu.png,2,,,100105101=1,,3,1,3,2,,1,使指定单体目标身下瞬间产生地震并造成350%地属性魔法伤害。,1,,1
42050,142050,火球术,Skill_Magician,UI_Icon_Skill_Magician_HuoQiuShu.png,2,,,100105201=1,,3,1,5,2,,1,召唤火球攻击目标并溅射其周围最多10只魔物造成525%火属性魔法伤害,1,,1
42060,142060,雷爆术,Skill_Magician,UI_Icon_Skill_Magician_LeiBaoShu.png,2,,,100105301=1,,3,1,5,2,,1,召唤雷电对目标区域内最多10只魔物造成525%风属性魔法伤害,1,,1
42070,142070,狂击,Skill_Swordman,UI_Icon_Skill_Swordman_kuangJi.png,2,,,100105401=1,,3,1,3,2,,1,"对指定单体目标造成360%无属性物理伤害,并有20%概率造成眩晕，持续1秒。",1,,1
42080,142080,连刺攻击,Skill_Swordman,UI_Icon_Skill_Swordman_LianCiGongJi.png,2,,,100105501=1,,3,1,3,2,,1,对指定单体目标连续突刺4次，每次攻击造成100%无属性物理伤害。,1,,1
42090,142090,音速投掷,Skill_Thief,UI_Icon_Skill_Thief_YinSuTouZhi.png,2,,,100105601=1,,3,1,5,2,,1,爆发潜能，对指定单体目标瞬间进行8段连击共造成900%无属性物理伤害，2%概率使目标眩晕1秒。,1,,1
42100,142100,暗物质攻击,Skill_pet,PetSkill_anwuzhigongji.png,2,,,100100101=1,,3,1,2,2,,1,宠物使用该技能攻击时造成250%无属性物理伤害，并有50%概率降低对方6%魔法防御与物理防御，持续5秒,1,,1
